r,mass_m
0.001,2.2785005076120114e-14
0.011,3.032691132762469e-11
0.020999999999999998,2.1101182865259238e-10
0.031,6.787871245560832e-10
0.041,1.5703615645862562e-09
0.051000000000000004,3.022442770250419e-09
0.061000000000000006,5.171736865120888e-09
0.07100000000000001,8.154948110522711e-09
0.081,1.2108778540568592e-08
0.091,1.7169927597101855e-08
0.10099999999999999,2.347509176462442e-08
0.11099999999999999,3.1160964205226764e-08
0.12099999999999998,4.036423439352529e-08
0.13099999999999998,5.122158775160973e-08
0.141,6.386970528400204e-08
0.151,7.844526321262834e-08
0.161,9.508493261180486e-08
0.171,1.1392537904323916e-07
0.18100000000000002,1.3510326219104782e-07
0.19100000000000003,1.587552354967914e-07
0.20100000000000004,1.8501794579452816e-07
0.21100000000000005,2.140280329458873e-07
0.22100000000000006,2.45922129475163e-07
0.23100000000000007,2.808368602044302e-07
0.24100000000000008,3.1890884188868343e-07
0.25100000000000006,3.6027468285099963e-07
0.26100000000000007,4.0507098261772586e-07
0.2710000000000001,4.5343433155369347e-07
0.2810000000000001,5.055013104974592e-07
0.2910000000000001,5.614084903965752e-07
0.3010000000000001,6.212924319428876e-07
0.3110000000000001,6.852896852078662e-07
0.3210000000000001,7.53536789277966e-07
0.3310000000000001,8.261702718900208e-07
0.34100000000000014,9.033266490666707e-07
0.35100000000000015,9.851424247518248e-07
0.36100000000000015,1.0717540904461595e-06
0.37100000000000016,1.1632981248426541e-06
0.38100000000000017,1.2599109934621644e-06
0.3910000000000002,1.361729148289035e-06
0.4010000000000002,1.4688890274067528e-06
0.4110000000000002,1.5815270546336411e-06
0.4210000000000002,1.699779639158597e-06
0.4310000000000002,1.8237831751768705e-06
0.4410000000000002,1.953674041525891e-06
0.45100000000000023,2.089588601321137e-06
0.46100000000000024,2.2316632015920544e-06
0.47100000000000025,2.3800341729180198e-06
0.48100000000000026,2.5348378290643573e-06
0.49100000000000027,2.696210466618401e-06
0.5010000000000002,2.8642883646256117e-06
0.5110000000000002,3.0392077842257435e-06
0.5210000000000002,3.2211049682890646e-06
0.5310000000000002,3.410116141052633e-06
0.5410000000000003,3.6063775077566276e-06
0.5510000000000003,3.8100252542807337e-06
0.5610000000000003,4.0211955467805894e-06
0.5710000000000003,4.240024531324289e-06
0.5810000000000003,4.466648333528946e-06
0.5910000000000003,4.701203058197315e-06
0.6010000000000003,4.943824788954482e-06
0.6110000000000003,5.194649587884609e-06
0.6210000000000003,5.45381349516775e-06
0.6310000000000003,5.721452528716729e-06
0.6410000000000003,5.997702683814082e-06
0.6510000000000004,6.282699932749073e-06
0.6610000000000004,6.57658022445477e-06
0.6710000000000004,6.879479484145199e-06
0.6810000000000004,7.191533612952559e-06
0.6910000000000004,7.51287848756452e-06
0.7010000000000004,7.843649959861581e-06
0.7110000000000004,8.183983856554516e-06
0.7210000000000004,8.534015978821881e-06
0.7310000000000004,8.893882101947607e-06
0.7410000000000004,9.263717974958664e-06
0.7510000000000004,9.643659320262807e-06
0.7610000000000005,1.00338418332864e-05
0.7710000000000005,1.0434401182112318e-05
0.7810000000000005,1.0845473007117936e-05
0.7910000000000005,1.126719292061319e-05
0.8010000000000005,1.1699696506478734e-05
0.8110000000000005,1.2143119319804177e-05
0.8210000000000005,1.2597596886526397e-05
0.8310000000000005,1.3063264703067959e-05
0.8410000000000005,1.35402582359756e-05
0.8510000000000005,1.4028712921558822e-05
0.8610000000000005,1.4528764165528565e-05
0.8710000000000006,1.5040547342635972e-05
0.8810000000000006,1.5564197796311247e-05
0.8910000000000006,1.6099850838302604e-05
0.9010000000000006,1.6647641748315318e-05
0.9110000000000006,1.720770577365086e-05
0.9210000000000006,1.778017812884613e-05
0.9310000000000006,1.8365193995312813e-05
0.9410000000000006,1.896288852097678e-05
0.9510000000000006,1.9573396819917648e-05
0.9610000000000006,2.0196853972008398e-05
0.9710000000000006,2.0833395022555118e-05
0.9810000000000006,2.148315498193683e-05
0.9910000000000007,2.214626882524545e-05
1.0010000000000006,2.282287149192582e-05
1.0110000000000006,2.351309788541586e-05
1.0210000000000006,2.421708287278684e-05
1.0310000000000006,2.493496128438374e-05
1.0410000000000006,2.5666867913465724e-05
1.0510000000000006,2.641293751584673e-05
1.0610000000000006,2.7173304809536185e-05
1.0710000000000006,2.7948104474379784e-05
1.0810000000000006,2.8737471151700448e-05
1.0910000000000006,2.954153944393934e-05
1.1010000000000006,3.0360443914297036e-05
1.1110000000000007,3.119431908637479e-05
1.1210000000000007,3.204329944381591e-05
1.1310000000000007,3.29075194299473e-05
1.1410000000000007,3.3787113447421054e-05
1.1510000000000007,3.468221585785623e-05
1.1610000000000007,3.559296098148071e-05
1.1710000000000007,3.65194830967732e-05
1.1810000000000007,3.746191644010533e-05
1.1910000000000007,3.842039520538392e-05
1.2010000000000007,3.939505354369336e-05
1.2110000000000007,4.0386025562938074e-05
1.2210000000000008,4.139344532748516e-05
1.2310000000000008,4.241744685780717e-05
1.2410000000000008,4.3458164130124954e-05
1.2510000000000008,4.451573107605071e-05
1.2610000000000008,4.559028158223111e-05
1.2710000000000008,4.668194948999062e-05
1.2810000000000008,4.779086859497488e-05
1.2910000000000008,4.891717264679427e-05
1.3010000000000008,5.0060995348667615e-05
1.3110000000000008,5.122247035706602e-05
1.3210000000000008,5.24017312813568e-05
1.3310000000000008,5.359891168344763e-05
1.3410000000000009,5.481414507743077e-05
1.3510000000000009,5.604756492922747e-05
1.3610000000000009,5.72993046562325e-05
1.3710000000000009,5.856949762695883e-05
1.381000000000001,5.985827716068246e-05
1.391000000000001,6.116577652708737e-05
1.401000000000001,6.249212894591068e-05
1.411000000000001,6.383746758658788e-05
1.421000000000001,6.520192556789826e-05
1.431000000000001,6.658563595761048e-05
1.441000000000001,6.798873177212829e-05
1.451000000000001,6.941134597613639e-05
1.461000000000001,7.085361148224646e-05
1.471000000000001,7.231566115064338e-05
1.481000000000001,7.379762778873148e-05
1.491000000000001,7.529964415078113e-05
1.501000000000001,7.682184293757533e-05
1.511000000000001,7.836435679605654e-05
1.521000000000001,7.992731831897363e-05
