species,impulse_strength,initial_energy,final_energy,energy_drift,centroid_x_shift,compact_radius_90_shift,chirality_integral_shift,response_ratio
scalar,0.02,0.0011933994073197222,0.0011940764876861502,6.77080366428065e-07,0.02239406393064169,0.015867100866851835,-0.000663859877987949,1.1197031965320845
scalar,0.04,0.0012449606718951283,0.001245296233124946,3.355612298175728e-07,0.044790398642522954,0.02551152504404275,-0.000576212892276301,1.1197599660630737
scalar,0.08,0.0014512057301967528,0.001452233013904022,1.0272837072692817e-06,0.08959896227357249,0.0388516731555808,-0.00022503531172357594,1.119987028419656
rich,0.02,0.0011933994073197222,0.0011940764876861502,6.77080366428065e-07,0.02239406393064169,0.015867100866851835,0.000663859877987949,1.1197031965320845
rich,0.04,0.0012449606718951283,0.001245296233124946,3.355612298175728e-07,0.044790398642522954,0.02551152504404275,0.000576212892276301,1.1197599660630737
rich,0.08,0.0014512057301967528,0.001452233013904022,1.0272837072692817e-06,0.08959896227357249,0.0388516731555808,0.00022503531172357594,1.119987028419656
phi_offsheet,0.02,0.0011933994073197222,0.0011940764876861502,6.77080366428065e-07,0.02239406393064169,0.015867100866851835,-0.00013188859770155853,1.1197031965320845
phi_offsheet,0.04,0.0012449606718951283,0.001245296233124946,3.355612298175728e-07,0.044790398642522954,0.02551152504404275,-0.00011447582970402354,1.1197599660630737
phi_offsheet,0.08,0.0014512057301967528,0.001452233013904022,1.0272837072692817e-06,0.08959896227357249,0.0388516731555808,-4.470761478538032e-05,1.119987028419656
