r,mass_m
0.0001,0.0
0.00011031813770111141,1.435640645552039e-14
0.00012017285594054849,3.0819244655541833e-14
0.00013120817796029467,5.27463229551315e-14
0.00014347865648056058,8.185696489187618e-14
0.00015717656743244383,1.2078831808510622e-13
0.00017252161383393325,1.7323389933227843e-13
0.00018977694490463002,2.4444859401624066e-13
0.0002092584045422752,3.4198517335159295e-13
0.0002313470617838088,4.768214136793457e-13
0.00025650515198508654,6.651038568197932e-13
0.00028529659803111436,9.30883409020657e-13
0.0003184136334338321,1.310470278727653e-12
0.00035671163364956056,1.859475822701961e-12
0.00040125509056410585,2.6643899531940954e-12
0.00045337886378221367,3.86195626030037e-12
0.0005147705962830557,5.672218290076318e-12
0.0005875827809733514,8.456041969968559e-12
0.000674586867661039,1.2817454944755455e-11
0.0007793877453009673,1.9790054605146756e-11
0.0009067261293865149,3.1185274239381064e-11
0.001062910838478997,5.026116609680317e-11
0.0012564460647386789,8.304552046129196e-11
0.0014989564274610523,1.4103977459791274e-10
0.0018065752724401348,2.4694372316634534e-10
0.002202068214639105,4.472548468109924e-10
0.0027181493436459593,8.412047478602527e-10
0.003402778629687822,1.6504160923771305e-09
0.004327837142390413,3.395554815663783e-09
0.005603728066511026,7.371095837645283e-09
0.007404706002121245,1.7006923484284645e-08
0.010014317812325202,4.206947034964516e-08
0.013910033910928526,1.127425286956401e-07
0.019927623013148967,3.3148952363645074e-07
0.02959585074614788,1.085915006869202e-06
0.04585539891526526,4.039008707261293e-06
0.07469963573164164,1.746058608086678e-05
0.12918572967492087,9.031231886475357e-05
0.24001756793860435,0.0005792052069691733
0.4843211516320268,0.004758868129668286
0.809985416368641,0.022260501894143272
1.1291190964483815,0.060300733974155266
1.4322249937654192,0.12306571229122357
1.7134748237422963,0.21073491148023338
1.9702177126520894,0.32036564921781224
2.1777459767962086,0.43263826412443535
2.3852245123836364,0.5684483864680095
2.5526323023407116,0.6967356153097062
2.719138719321898,0.8421652230767548
2.8711992294879867,0.9915010591853515
2.9928736493594785,1.1229704661374773
3.076417365649626,1.219660464973665
3.145341422991486,1.3034865939426925
3.198886435331418,1.371196379929053
3.2423858460805666,1.4278983275271389
3.277747961224428,1.4751285898409279
3.306793357738908,1.5146922296539935
3.3307776315327597,1.5478902466622477
3.3506761508610334,1.5757983055311124
3.3672440550549827,1.5992894504617252
3.381078351984353,1.6190826443721877
3.3850801682120113,1.6248384807417648
