phi,theta,omega0,theta0,phi0,rho0,A0,xp0,gradient_strength,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,sample_count,external_mass_proxy
-6.283185307179586,-6.283185307179586,0.5,-6.283185307179586,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725050228,0.00024895433450100455,49,0.0012447716725050228
-6.283185307179586,-4.487989505128276,0.5,-4.487989505128276,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725049987,0.0002489543345009997,49,0.0012447716725049987
-6.283185307179586,-2.6927937030769655,0.5,-2.6927937030769655,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725049595,0.0002489543345009919,49,0.0012447716725049595
-6.283185307179586,-0.8975979010256552,0.5,-0.8975979010256552,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.00124477167250474,0.000248954334500948,49,0.00124477167250474
-6.283185307179586,0.8975979010256552,0.5,0.8975979010256552,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725047385,0.0002489543345009477,49,0.0012447716725047385
-6.283185307179586,2.6927937030769655,0.5,2.6927937030769655,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725049625,0.0002489543345009925,49,0.0012447716725049625
-6.283185307179586,4.487989505128276,0.5,4.487989505128276,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725049963,0.0002489543345009993,49,0.0012447716725049963
-6.283185307179586,6.283185307179586,0.5,6.283185307179586,-6.283185307179586,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.0012447716725050204,0.00024895433450100406,49,0.0012447716725050204
-4.487989505128276,-6.283185307179586,0.5,-6.283185307179586,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.1344199164942458,0.02688398329884916,112,0.1344199164942458
-4.487989505128276,-4.487989505128276,0.5,-4.487989505128276,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441991649424798,0.026883983298849595,112,0.13441991649424798
-4.487989505128276,-2.6927937030769655,0.5,-2.6927937030769655,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441991649423551,0.026883983298847103,112,0.13441991649423551
-4.487989505128276,-0.8975979010256552,0.5,-0.8975979010256552,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441991649419438,0.026883983298838877,112,0.13441991649419438
-4.487989505128276,0.8975979010256552,0.5,0.8975979010256552,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441991649419474,0.026883983298838947,112,0.13441991649419474
-4.487989505128276,2.6927937030769655,0.5,2.6927937030769655,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441991649423338,0.026883983298846677,112,0.13441991649423338
-4.487989505128276,4.487989505128276,0.5,4.487989505128276,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.1344199164942503,0.026883983298850063,112,0.1344199164942503
-4.487989505128276,6.283185307179586,0.5,6.283185307179586,-4.487989505128276,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.13441991649424775,0.02688398329884955,112,0.13441991649424775
-2.6927937030769655,-6.283185307179586,0.5,-6.283185307179586,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6304050496306032,0.12608100992612065,118,0.6304050496306032
-2.6927937030769655,-4.487989505128276,0.5,-4.487989505128276,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6304050496306827,0.12608100992613652,118,0.6304050496306827
-2.6927937030769655,-2.6927937030769655,0.5,-2.6927937030769655,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6304050496308724,0.1260810099261745,118,0.6304050496308724
-2.6927937030769655,-0.8975979010256552,0.5,-0.8975979010256552,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6304050496317558,0.12608100992635116,118,0.6304050496317558
-2.6927937030769655,0.8975979010256552,0.5,0.8975979010256552,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6304050496317555,0.1260810099263511,118,0.6304050496317555
-2.6927937030769655,2.6927937030769655,0.5,2.6927937030769655,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6304050496308647,0.12608100992617294,118,0.6304050496308647
-2.6927937030769655,4.487989505128276,0.5,4.487989505128276,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6304050496306834,0.1260810099261367,118,0.6304050496306834
-2.6927937030769655,6.283185307179586,0.5,6.283185307179586,-2.6927937030769655,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.6304050496306067,0.12608100992612134,118,0.6304050496306067
-0.8975979010256552,-6.283185307179586,0.5,-6.283185307179586,-0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.881690551717095,0.376338110343419,131,1.881690551717095
-0.8975979010256552,-4.487989505128276,0.5,-4.487989505128276,-0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8816905517182314,0.3763381103436463,131,1.8816905517182314
-0.8975979010256552,-2.6927937030769655,0.5,-2.6927937030769655,-0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.881690551720911,0.3763381103441822,131,1.881690551720911
-0.8975979010256552,-0.8975979010256552,0.5,-0.8975979010256552,-0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.881690551734116,0.3763381103468232,131,1.881690551734116
-0.8975979010256552,0.8975979010256552,0.5,0.8975979010256552,-0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8816905517341231,0.37633811034682463,131,1.8816905517341231
-0.8975979010256552,2.6927937030769655,0.5,2.6927937030769655,-0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8816905517209062,0.37633811034418124,131,1.8816905517209062
-0.8975979010256552,4.487989505128276,0.5,4.487989505128276,-0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8816905517182325,0.3763381103436465,131,1.8816905517182325
-0.8975979010256552,6.283185307179586,0.5,6.283185307179586,-0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8816905517170903,0.3763381103434181,131,1.8816905517170903
0.8975979010256552,-6.283185307179586,0.5,-6.283185307179586,0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8816746920767933,0.37633493841535864,131,1.8816746920767933
0.8975979010256552,-4.487989505128276,0.5,-4.487989505128276,0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8816746920773368,0.3763349384154674,131,1.8816746920773368
0.8975979010256552,-2.6927937030769655,0.5,-2.6927937030769655,0.8975979010256552,0.0,0.005,"[0.0, 0.01, 0.01, 0.0]",0.0,10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.881674692078577,0.3763349384157154,131,1.881674692078577
