r,mass_m
0.0001,0.0
0.0001106031523604068,1.4793579354477537e-14
0.0001204692478351216,3.135860390746233e-14
0.0001315387792447186,5.346348578802653e-14
0.0001438469847251539,8.281239671060893e-14
0.00015758845559605585,1.2207050860690231e-13
0.0001729838930202201,1.7496771765670018e-13
0.00019029780492728777,2.4681255679552904e-13
0.0002098477002268015,3.452372249358541e-13
0.0002320167141894811,4.813385798844711e-13
0.00025726966181667917,6.714439937673114e-13
0.0002861737090558613,9.398827382884711e-13
0.0003194251966784297,1.3233997881005492e-12
0.000357884742871967,1.878296117518453e-12
0.0004026235877299002,2.692173699456565e-12
0.00045498535434169,3.90360135057497e-12
0.0005166691744932198,5.735675601223957e-12
0.0005898427556482382,8.554473858591623e-12
0.0006772979150084808,1.2973116647713326e-11
0.000782667124570444,2.004144549969762e-11
0.0009107289228586809,3.1600664112619304e-11
0.0010678446936552113,5.0964917169005807e-11
0.001262592749722298,8.427091566204282e-11
0.0015067038811734058,1.4323866902434425e-10
0.0018164661339323456,2.5102265479468304e-10
0.002214874772550461,4.551043442536565e-10
0.002734991815057523,8.569396957719888e-10
0.003425316281198033,1.6834282541506506e-09
0.004358585237086157,3.468444578968927e-09
0.0056465987479093725,7.541569540789115e-09
0.007465961099488263,1.743249271815124e-08
0.01010430764485145,4.321381694199754e-08
0.014046498578425218,1.1609337808569865e-07
0.02014224632389152,3.4231586022828075e-07
0.029947949904460237,1.1251350243069466e-06
0.046462248503997786,4.2014967487542235e-06
0.07580847488072127,1.8249738415219094e-05
0.13136015007262503,9.49498479296823e-05
0.2446792587334234,0.0006136133975474449
0.4951742743961092,0.005086014370865741
0.8207392876280324,0.023158958356563314
1.139475302664442,0.061975221836518414
1.4419290153296802,0.12558418955070796
1.722393812730267,0.21404282565255417
1.978305511625336,0.32432719648182284
2.185056716462774,0.43701003438917835
2.391746468393601,0.5731240986356945
2.5585381784615406,0.7015828010409705
2.7244087260652097,0.8470713605251463
2.8759724415793584,0.996454232739213
2.995863780628493,1.1263396540149073
3.079000489479722,1.2227353208872518
3.1472716600059836,1.30588784309634
3.200464300291801,1.3732264278427913
3.2436583671005375,1.429580186376847
3.2787907409409685,1.47653692748719
3.30765209459508,1.5158725833722717
3.331488718175302,1.5488818363203867
3.3512672968350627,1.5766324900036723
3.3677370581686845,1.5999920190299077
3.38149054697676,1.6196748778335934
3.3850801682119864,1.6248384807417542
