theta,rho,M_ADM_proxy
-3.141592653589793,-3.141592653589793,0.6790134104343776
-3.141592653589793,-1.8849555921538759,0.5740346599276862
-3.141592653589793,-0.6283185307179586,0.3969712623331432
-3.141592653589793,0.6283185307179586,0.39697126233540686
-3.141592653589793,1.8849555921538759,0.5740346599306988
-3.141592653589793,3.141592653589793,0.6790134104343776
-1.8849555921538759,-3.141592653589793,0.6790134104343482
-1.8849555921538759,-1.8849555921538759,0.5740346599278671
-1.8849555921538759,-0.6283185307179586,0.39697126233326435
-1.8849555921538759,0.6283185307179586,0.39697126233552843
-1.8849555921538759,1.8849555921538759,0.5740346599308795
-1.8849555921538759,3.141592653589793,0.6790134104343482
-0.6283185307179586,-3.141592653589793,0.6790134104342141
-0.6283185307179586,-1.8849555921538759,0.5740346599287579
-0.6283185307179586,-0.6283185307179586,0.3969712623338607
-0.6283185307179586,0.6283185307179586,0.39697126233612456
-0.6283185307179586,1.8849555921538759,0.574034659931769
-0.6283185307179586,3.141592653589793,0.6790134104342141
0.6283185307179586,-3.141592653589793,0.6790134104342131
0.6283185307179586,-1.8849555921538759,0.5740346599287574
0.6283185307179586,-0.6283185307179586,0.3969712623338617
0.6283185307179586,0.6283185307179586,0.39697126233612606
0.6283185307179586,1.8849555921538759,0.574034659931769
0.6283185307179586,3.141592653589793,0.6790134104342131
1.8849555921538759,-3.141592653589793,0.6790134104343483
1.8849555921538759,-1.8849555921538759,0.5740346599278668
1.8849555921538759,-0.6283185307179586,0.3969712623332645
1.8849555921538759,0.6283185307179586,0.3969712623355289
1.8849555921538759,1.8849555921538759,0.5740346599308793
1.8849555921538759,3.141592653589793,0.6790134104343483
3.141592653589793,-3.141592653589793,0.6790134104343777
3.141592653589793,-1.8849555921538759,0.5740346599276861
3.141592653589793,-0.6283185307179586,0.3969712623331432
3.141592653589793,0.6283185307179586,0.3969712623354066
3.141592653589793,1.8849555921538759,0.5740346599306989
3.141592653589793,3.141592653589793,0.6790134104343777
