theta,rho,e_flux
-3.141592653589793,-3.141592653589793,3.588626621414366
-3.141592653589793,-2.9249310912732556,3.349669319631721
-3.141592653589793,-2.708269528956718,3.1277803965478364
-3.141592653589793,-2.4916079666401805,2.9229598521627116
-3.141592653589793,-2.2749464043236434,2.735207686476348
-3.141592653589793,-2.058284842007106,2.5645238994887443
-3.141592653589793,-1.8416232796905683,2.410908491199901
-3.141592653589793,-1.624961717374031,2.2743614616098182
-3.141592653589793,-1.4083001550574934,2.1548828107184956
-3.141592653589793,-1.1916385927409558,2.0524725385259335
-3.141592653589793,-0.9749770304244185,1.9671306450321318
-3.141592653589793,-0.758315468107881,1.8988571302370902
-3.141592653589793,-0.5416539057913434,1.847651994140809
-3.141592653589793,-0.3249923434748059,1.8135152367432885
-3.141592653589793,-0.10833078115826877,1.796446858044528
-3.141592653589793,0.10833078115826877,1.796446858044528
-3.141592653589793,0.3249923434748063,1.8135152367432885
-3.141592653589793,0.5416539057913439,1.8476519941408094
-3.141592653589793,0.7583154681078814,1.8988571302370902
-3.141592653589793,0.9749770304244185,1.9671306450321318
-3.141592653589793,1.191638592740956,2.0524725385259335
-3.141592653589793,1.4083001550574936,2.1548828107184956
-3.141592653589793,1.6249617173740312,2.2743614616098182
-3.141592653589793,1.8416232796905687,2.4109084911999017
-3.141592653589793,2.0582848420071063,2.5645238994887447
-3.141592653589793,2.274946404323644,2.7352076864763486
-3.141592653589793,2.4916079666401814,2.922959852162712
-3.141592653589793,2.708269528956718,3.1277803965478364
-3.141592653589793,2.9249310912732556,3.349669319631721
-3.141592653589793,3.141592653589793,3.588626621414366
-2.9249310912732556,-3.141592653589793,3.349669319631721
-2.9249310912732556,-2.9249310912732556,3.1107120178490755
-2.9249310912732556,-2.708269528956718,2.8888230947651907
-2.9249310912732556,-2.4916079666401805,2.6840025503800664
-2.9249310912732556,-2.2749464043236434,2.496250384693703
-2.9249310912732556,-2.058284842007106,2.325566597706099
-2.9249310912732556,-1.8416232796905683,2.171951189417256
-2.9249310912732556,-1.624961717374031,2.035404159827173
-2.9249310912732556,-1.4083001550574934,1.9159255089358502
-2.9249310912732556,-1.1916385927409558,1.8135152367432883
-2.9249310912732556,-0.9749770304244185,1.7281733432494866
-2.9249310912732556,-0.758315468107881,1.6598998284544448
-2.9249310912732556,-0.5416539057913434,1.6086946923581638
-2.9249310912732556,-0.3249923434748059,1.5745579349606433
-2.9249310912732556,-0.10833078115826877,1.557489556261883
-2.9249310912732556,0.10833078115826877,1.557489556261883
-2.9249310912732556,0.3249923434748063,1.5745579349606433
-2.9249310912732556,0.5416539057913439,1.608694692358164
-2.9249310912732556,0.7583154681078814,1.6598998284544448
-2.9249310912732556,0.9749770304244185,1.7281733432494866
-2.9249310912732556,1.191638592740956,1.8135152367432883
-2.9249310912732556,1.4083001550574936,1.9159255089358507
-2.9249310912732556,1.6249617173740312,2.035404159827173
-2.9249310912732556,1.8416232796905687,2.171951189417256
-2.9249310912732556,2.0582848420071063,2.325566597706099
-2.9249310912732556,2.274946404323644,2.496250384693703
-2.9249310912732556,2.4916079666401814,2.6840025503800673
-2.9249310912732556,2.708269528956718,2.8888230947651907
-2.9249310912732556,2.9249310912732556,3.1107120178490755
-2.9249310912732556,3.141592653589793,3.349669319631721
-2.708269528956718,-3.141592653589793,3.1277803965478364
-2.708269528956718,-2.9249310912732556,2.8888230947651907
-2.708269528956718,-2.708269528956718,2.666934171681306
-2.708269528956718,-2.4916079666401805,2.4621136272961817
-2.708269528956718,-2.2749464043236434,2.2743614616098182
-2.708269528956718,-2.058284842007106,2.1036776746222143
-2.708269528956718,-1.8416232796905683,1.950062266333371
-2.708269528956718,-1.624961717374031,1.8135152367432883
-2.708269528956718,-1.4083001550574934,1.6940365858519657
-2.708269528956718,-1.1916385927409558,1.5916263136594038
-2.708269528956718,-0.9749770304244185,1.5062844201656016
-2.708269528956718,-0.758315468107881,1.4380109053705603
-2.708269528956718,-0.5416539057913434,1.3868057692742792
-2.708269528956718,-0.3249923434748059,1.3526690118767584
-2.708269528956718,-0.10833078115826877,1.3356006331779982
-2.708269528956718,0.10833078115826877,1.3356006331779982
-2.708269528956718,0.3249923434748063,1.3526690118767586
-2.708269528956718,0.5416539057913439,1.3868057692742792
-2.708269528956718,0.7583154681078814,1.4380109053705603
-2.708269528956718,0.9749770304244185,1.5062844201656016
-2.708269528956718,1.191638592740956,1.5916263136594038
-2.708269528956718,1.4083001550574936,1.6940365858519657
-2.708269528956718,1.6249617173740312,1.8135152367432885
-2.708269528956718,1.8416232796905687,1.9500622663333713
-2.708269528956718,2.0582848420071063,2.1036776746222148
-2.708269528956718,2.274946404323644,2.2743614616098182
-2.708269528956718,2.4916079666401814,2.4621136272961825
-2.708269528956718,2.708269528956718,2.666934171681306
