theta,phi,rho,e_flux
-6.283185307179586,-0.39269908169872414,-6.283185307179586,14.354506485657463
-6.283185307179586,-0.39269908169872414,-5.849862182546511,13.398677278526884
-6.283185307179586,-0.39269908169872414,-5.416539057913436,12.511121586191345
-6.283185307179586,-0.39269908169872414,-4.983215933280361,11.691839408650846
-6.283185307179586,-0.39269908169872414,-4.549892808647287,10.940830745905393
-6.283185307179586,-0.39269908169872414,-4.116569684014212,10.258095597954977
-6.283185307179586,-0.39269908169872414,-3.6832465593811365,9.643633964799603
-6.283185307179586,-0.39269908169872414,-3.249923434748062,9.097445846439273
-6.283185307179586,-0.39269908169872414,-2.816600310114987,8.619531242873983
-6.283185307179586,-0.39269908169872414,-2.3832771854819117,8.209890154103734
-6.283185307179586,-0.39269908169872414,-1.949954060848837,7.868522580128527
-6.283185307179586,-0.39269908169872414,-1.516630936215762,7.595428520948361
-6.283185307179586,-0.39269908169872414,-1.0833078115826869,7.390607976563236
-6.283185307179586,-0.39269908169872414,-0.6499846869496118,7.254060946973154
-6.283185307179586,-0.39269908169872414,-0.21666156231653755,7.185787432178112
-6.283185307179586,-0.39269908169872414,0.21666156231653755,7.185787432178112
-6.283185307179586,-0.39269908169872414,0.6499846869496126,7.254060946973154
-6.283185307179586,-0.39269908169872414,1.0833078115826877,7.3906079765632375
-6.283185307179586,-0.39269908169872414,1.5166309362157628,7.595428520948361
-6.283185307179586,-0.39269908169872414,1.949954060848837,7.868522580128527
-6.283185307179586,-0.39269908169872414,2.383277185481912,8.209890154103734
-6.283185307179586,-0.39269908169872414,2.8166003101149872,8.619531242873983
-6.283185307179586,-0.39269908169872414,3.2499234347480623,9.097445846439273
-6.283185307179586,-0.39269908169872414,3.6832465593811374,9.643633964799607
-6.283185307179586,-0.39269908169872414,4.1165696840142125,10.258095597954979
-6.283185307179586,-0.39269908169872414,4.549892808647288,10.940830745905394
-6.283185307179586,-0.39269908169872414,4.983215933280363,11.691839408650848
-6.283185307179586,-0.39269908169872414,5.416539057913436,12.511121586191345
-6.283185307179586,-0.39269908169872414,5.849862182546511,13.398677278526884
-6.283185307179586,-0.39269908169872414,6.283185307179586,14.354506485657463
-5.849862182546511,-0.39269908169872414,-6.283185307179586,13.398677278526884
-5.849862182546511,-0.39269908169872414,-5.849862182546511,12.442848071396302
-5.849862182546511,-0.39269908169872414,-5.416539057913436,11.555292379060763
-5.849862182546511,-0.39269908169872414,-4.983215933280361,10.736010201520266
-5.849862182546511,-0.39269908169872414,-4.549892808647287,9.985001538774812
-5.849862182546511,-0.39269908169872414,-4.116569684014212,9.302266390824396
-5.849862182546511,-0.39269908169872414,-3.6832465593811365,8.687804757669024
-5.849862182546511,-0.39269908169872414,-3.249923434748062,8.141616639308692
-5.849862182546511,-0.39269908169872414,-2.816600310114987,7.663702035743401
-5.849862182546511,-0.39269908169872414,-2.3832771854819117,7.254060946973153
-5.849862182546511,-0.39269908169872414,-1.949954060848837,6.912693372997946
