t,pos,amp
0.0,1.0,1.1563251633290363
0.01,1.02,1.17944856783083
0.02,1.04,1.2025532609342047
0.03,1.06,1.2256202150291629
0.04,1.08,1.2486300793967593
0.05,1.1,1.2715632052599122
0.06,1.12,1.2943996719110769
0.07,1.1400000000000001,1.3171193138737303
0.08,1.16,1.3397017490508953
0.09,1.18,1.3621264078102941
0.1,1.2,1.3843725629521852
0.11,1.22,1.4064193605025073
0.12,1.24,1.428245851270653
0.13,1.26,1.4498310231080391
0.14,1.28,1.471153833800624
0.15,1.3,1.4921932445256973
0.16,1.32,1.5129282538005961
0.17,1.34,1.5333379318485434
0.18,1.3599999999999999,1.5534014553045454
0.19,1.38,1.5730981421822345
0.2,1.4,1.592407487020726
0.21,1.42,1.611309196128987
0.22,1.44,1.6297832228438565
0.23,1.46,1.6478098027167927
0.24,1.48,1.665369488543589
0.25,1.5,1.682443185150737
0.26,1.52,1.6990121838518424
0.27,1.54,1.7150581964874716
0.28,1.56,1.7305633889620866
0.29,1.58,1.7455104141922653
0.3,1.6,1.759882444381231
0.31,1.62,1.7736632025358345
0.32,1.6400000000000001,1.7868369931435053
0.33,1.6600000000000001,1.7993887319283652
0.34,1.6800000000000002,1.8113039746076345
0.35000000000000003,1.7000000000000002,1.8225689445716597
0.36,1.72,1.8331705594133727
0.37,1.74,1.8430964562357075
0.38,1.76,1.8523350156684772
0.39,1.78,1.8608753845294206
0.4,1.8,1.868707497067572
0.41000000000000003,1.82,1.8758220947307584
0.42,1.8399999999999999,1.8822107444028877
0.43,1.8599999999999999,1.8878658550607508
0.44,1.88,1.8927806928042836
0.45,1.9,1.8969493942186328
0.46,1.92,1.9003669780309098
0.47000000000000003,1.94,1.9030293550291972
0.48,1.96,1.9049333362161547
0.49,1.98,1.9060766391744728
0.5,2.0,1.906457892626382
0.51,2.02,1.9060766391744728
0.52,2.04,1.9049333362161547
0.53,2.06,1.9030293550291972
0.54,2.08,1.9003669780309098
0.55,2.1,1.8969493942186328
0.56,2.12,1.8927806928042836
0.5700000000000001,2.14,1.8878658550607508
0.58,2.16,1.8822107444028877
0.59,2.1799999999999997,1.8758220947307587
0.6,2.2,1.868707497067572
0.61,2.2199999999999998,1.8608753845294208
0.62,2.24,1.852335015668477
0.63,2.26,1.8430964562357075
0.64,2.2800000000000002,1.8331705594133725
0.65,2.3,1.8225689445716597
0.66,2.3200000000000003,1.8113039746076343
0.67,2.34,1.7993887319283652
0.68,2.3600000000000003,1.7868369931435049
0.6900000000000001,2.38,1.7736632025358345
0.7000000000000001,2.4000000000000004,1.7598824443812306
0.71,2.42,1.7455104141922653
0.72,2.44,1.7305633889620866
0.73,2.46,1.7150581964874716
0.74,2.48,1.6990121838518424
0.75,2.5,1.682443185150737
0.76,2.52,1.665369488543589
0.77,2.54,1.6478098027167927
0.78,2.56,1.6297832228438565
0.79,2.58,1.611309196128987
0.8,2.6,1.592407487020726
0.81,2.62,1.5730981421822345
0.8200000000000001,2.64,1.5534014553045454
0.8300000000000001,2.66,1.5333379318485432
0.84,2.6799999999999997,1.5129282538005964
0.85,2.7,1.4921932445256971
0.86,2.7199999999999998,1.4711538338006243
0.87,2.74,1.449831023108039
0.88,2.76,1.4282458512706535
0.89,2.7800000000000002,1.406419360502507
0.9,2.8,1.3843725629521855
0.91,2.8200000000000003,1.362126407810294
0.92,2.84,1.3397017490508956
0.93,2.8600000000000003,1.3171193138737298
0.9400000000000001,2.88,1.2943996719110769
0.9500000000000001,2.9000000000000004,1.2715632052599115
0.96,2.92,1.2486300793967593
0.97,2.94,1.2256202150291629
0.98,2.96,1.2025532609342047
0.99,2.98,1.17944856783083
