phi_2,rho_2,dm
-3.141592653589793,-3.141592653589793,2.01223222041775
-3.141592653589793,-2.8108986900540254,2.115522798480012
-3.141592653589793,-2.4802047265182576,2.218813376542275
-3.141592653589793,-2.14951076298249,2.3221039546045383
-3.141592653589793,-1.8188167994467224,2.4253945326668016
-3.141592653589793,-1.4881228359109546,2.5286851107290627
-3.141592653589793,-1.157428872375187,2.631975688791327
-3.141592653589793,-0.8267349088394194,2.735266266853589
-3.141592653589793,-0.4960409453036516,2.8385568449158516
-3.141592653589793,-0.16534698176788387,2.9418474229781153
-3.141592653589793,0.16534698176788387,3.045138001040379
-3.141592653589793,0.4960409453036516,3.1484285791026396
-3.141592653589793,0.8267349088394189,3.251719157164904
-3.141592653589793,1.1574288723751867,3.3550097352271657
-3.141592653589793,1.4881228359109544,3.4583003132894286
-3.141592653589793,1.8188167994467221,3.5615908913516927
-3.141592653589793,2.14951076298249,3.6648814694139538
-3.141592653589793,2.4802047265182576,3.7681720474762157
-3.141592653589793,2.8108986900540254,3.871462625538479
-3.141592653589793,3.141592653589793,3.974753203600742
-2.8108986900540254,-3.141592653589793,1.908941642355486
-2.8108986900540254,-2.8108986900540254,2.01223222041775
-2.8108986900540254,-2.4802047265182576,2.1155227984800122
-2.8108986900540254,-2.14951076298249,2.218813376542275
-2.8108986900540254,-1.8188167994467224,2.3221039546045383
-2.8108986900540254,-1.4881228359109546,2.4253945326668016
-2.8108986900540254,-1.157428872375187,2.5286851107290627
-2.8108986900540254,-0.8267349088394194,2.631975688791327
-2.8108986900540254,-0.4960409453036516,2.735266266853589
-2.8108986900540254,-0.16534698176788387,2.8385568449158516
-2.8108986900540254,0.16534698176788387,2.9418474229781153
-2.8108986900540254,0.4960409453036516,3.045138001040379
-2.8108986900540254,0.8267349088394189,3.1484285791026396
-2.8108986900540254,1.1574288723751867,3.251719157164904
-2.8108986900540254,1.4881228359109544,3.3550097352271657
-2.8108986900540254,1.8188167994467221,3.4583003132894286
-2.8108986900540254,2.14951076298249,3.5615908913516927
-2.8108986900540254,2.4802047265182576,3.664881469413954
-2.8108986900540254,2.8108986900540254,3.7681720474762153
-2.8108986900540254,3.141592653589793,3.871462625538479
-2.4802047265182576,-3.141592653589793,1.8056510642932246
-2.4802047265182576,-2.8108986900540254,1.908941642355486
-2.4802047265182576,-2.4802047265182576,2.01223222041775
-2.4802047265182576,-2.14951076298249,2.115522798480012
-2.4802047265182576,-1.8188167994467224,2.218813376542275
-2.4802047265182576,-1.4881228359109546,2.322103954604539
-2.4802047265182576,-1.157428872375187,2.4253945326668016
-2.4802047265182576,-0.8267349088394194,2.5286851107290627
-2.4802047265182576,-0.4960409453036516,2.631975688791327
-2.4802047265182576,-0.16534698176788387,2.735266266853589
-2.4802047265182576,0.16534698176788387,2.8385568449158516
-2.4802047265182576,0.4960409453036516,2.9418474229781153
-2.4802047265182576,0.8267349088394189,3.045138001040379
-2.4802047265182576,1.1574288723751867,3.1484285791026396
-2.4802047265182576,1.4881228359109544,3.251719157164904
-2.4802047265182576,1.8188167994467221,3.3550097352271657
-2.4802047265182576,2.14951076298249,3.4583003132894286
-2.4802047265182576,2.4802047265182576,3.5615908913516927
-2.4802047265182576,2.8108986900540254,3.664881469413954
-2.4802047265182576,3.141592653589793,3.7681720474762157
-2.14951076298249,-3.141592653589793,1.7023604862309611
-2.14951076298249,-2.8108986900540254,1.8056510642932246
-2.14951076298249,-2.4802047265182576,1.908941642355486
-2.14951076298249,-2.14951076298249,2.01223222041775
-2.14951076298249,-1.8188167994467224,2.1155227984800122
-2.14951076298249,-1.4881228359109546,2.2188133765422746
-2.14951076298249,-1.157428872375187,2.3221039546045383
-2.14951076298249,-0.8267349088394194,2.425394532666801
-2.14951076298249,-0.4960409453036516,2.5286851107290627
-2.14951076298249,-0.16534698176788387,2.631975688791327
-2.14951076298249,0.16534698176788387,2.735266266853589
-2.14951076298249,0.4960409453036516,2.8385568449158516
-2.14951076298249,0.8267349088394189,2.9418474229781153
-2.14951076298249,1.1574288723751867,3.045138001040379
-2.14951076298249,1.4881228359109544,3.1484285791026396
-2.14951076298249,1.8188167994467221,3.251719157164904
-2.14951076298249,2.14951076298249,3.3550097352271657
-2.14951076298249,2.4802047265182576,3.4583003132894286
-2.14951076298249,2.8108986900540254,3.5615908913516927
-2.14951076298249,3.141592653589793,3.664881469413954
-1.8188167994467224,-3.141592653589793,1.5990699081686988
-1.8188167994467224,-2.8108986900540254,1.7023604862309611
-1.8188167994467224,-2.4802047265182576,1.8056510642932246
-1.8188167994467224,-2.14951076298249,1.9089416423554861
-1.8188167994467224,-1.8188167994467224,2.01223222041775
-1.8188167994467224,-1.4881228359109546,2.115522798480012
-1.8188167994467224,-1.157428872375187,2.218813376542275
-1.8188167994467224,-0.8267349088394194,2.3221039546045383
-1.8188167994467224,-0.4960409453036516,2.4253945326668016
-1.8188167994467224,-0.16534698176788387,2.5286851107290627
-1.8188167994467224,0.16534698176788387,2.631975688791327
-1.8188167994467224,0.4960409453036516,2.735266266853589
-1.8188167994467224,0.8267349088394189,2.8385568449158516
-1.8188167994467224,1.1574288723751867,2.9418474229781153
-1.8188167994467224,1.4881228359109544,3.045138001040379
-1.8188167994467224,1.8188167994467221,3.1484285791026405
-1.8188167994467224,2.14951076298249,3.251719157164904
-1.8188167994467224,2.4802047265182576,3.3550097352271657
-1.8188167994467224,2.8108986900540254,3.4583003132894286
-1.8188167994467224,3.141592653589793,3.5615908913516927
-1.4881228359109546,-3.141592653589793,1.4957793301064366
-1.4881228359109546,-2.8108986900540254,1.599069908168698
-1.4881228359109546,-2.4802047265182576,1.702360486230961
-1.4881228359109546,-2.14951076298249,1.8056510642932246
-1.4881228359109546,-1.8188167994467224,1.9089416423554855
-1.4881228359109546,-1.4881228359109546,2.01223222041775
-1.4881228359109546,-1.157428872375187,2.1155227984800122
-1.4881228359109546,-0.8267349088394194,2.2188133765422746
-1.4881228359109546,-0.4960409453036516,2.3221039546045383
-1.4881228359109546,-0.16534698176788387,2.425394532666801
-1.4881228359109546,0.16534698176788387,2.5286851107290627
-1.4881228359109546,0.4960409453036516,2.631975688791327
-1.4881228359109546,0.8267349088394189,2.735266266853589
-1.4881228359109546,1.1574288723751867,2.8385568449158516
-1.4881228359109546,1.4881228359109544,2.9418474229781153
-1.4881228359109546,1.8188167994467221,3.045138001040379
-1.4881228359109546,2.14951076298249,3.1484285791026396
-1.4881228359109546,2.4802047265182576,3.251719157164904
-1.4881228359109546,2.8108986900540254,3.3550097352271657
-1.4881228359109546,3.141592653589793,3.4583003132894286
-1.157428872375187,-3.141592653589793,1.3924887520441724
-1.157428872375187,-2.8108986900540254,1.4957793301064366
-1.157428872375187,-2.4802047265182576,1.5990699081686988
-1.157428872375187,-2.14951076298249,1.702360486230961
-1.157428872375187,-1.8188167994467224,1.8056510642932246
-1.157428872375187,-1.4881228359109546,1.908941642355486
-1.157428872375187,-1.157428872375187,2.01223222041775
-1.157428872375187,-0.8267349088394194,2.115522798480012
-1.157428872375187,-0.4960409453036516,2.218813376542275
-1.157428872375187,-0.16534698176788387,2.3221039546045383
-1.157428872375187,0.16534698176788387,2.4253945326668016
-1.157428872375187,0.4960409453036516,2.5286851107290627
-1.157428872375187,0.8267349088394189,2.631975688791327
-1.157428872375187,1.1574288723751867,2.735266266853589
-1.157428872375187,1.4881228359109544,2.8385568449158516
-1.157428872375187,1.8188167994467221,2.9418474229781153
-1.157428872375187,2.14951076298249,3.045138001040379
-1.157428872375187,2.4802047265182576,3.1484285791026396
-1.157428872375187,2.8108986900540254,3.251719157164904
