param,val,profile_success,dm,pair_compactness
theta,-6.283185307179586,True,0.0003588990815955155,9.630999999999839
theta,-4.71238898038469,True,0.0003588990815955155,9.630999999999839
theta,-3.141592653589793,True,0.0003588990815955155,9.630999999999839
theta,-1.5707963267948966,True,0.0003588990815955155,9.630999999999839
theta,0.0,True,0.0003588990815955155,9.630999999999839
theta,1.5707963267948966,True,0.0003588990815955155,9.630999999999839
theta,3.141592653589793,True,0.0003588990815955155,9.630999999999839
theta,4.71238898038469,True,0.0003588990815955155,9.630999999999839
theta,6.283185307179586,True,0.0003588990815955155,9.630999999999839
phi,-6.283185307179586,True,0.0003588990815955155,9.630999999999839
phi,-4.71238898038469,True,0.0003588990815955155,9.630999999999839
phi,-3.141592653589793,True,0.0003588990815955155,9.630999999999839
phi,-1.5707963267948966,True,0.0003588990815955155,9.630999999999839
phi,0.0,True,0.0003588990815955155,9.630999999999839
phi,1.5707963267948966,True,0.0003588990815955155,9.630999999999839
phi,3.141592653589793,True,0.0003588990815955155,9.630999999999839
phi,4.71238898038469,True,0.0003588990815955155,9.630999999999839
phi,6.283185307179586,True,0.0003588990815955155,9.630999999999839
rho,-6.283185307179586,True,0.0003588990815955155,9.630999999999839
rho,-4.71238898038469,True,0.0003588990815955155,9.630999999999839
rho,-3.141592653589793,True,0.0003588990815955155,9.630999999999839
rho,-1.5707963267948966,True,0.0003588990815955155,9.630999999999839
rho,0.0,True,0.0003588990815955155,9.630999999999839
rho,1.5707963267948966,True,0.0003588990815955155,9.630999999999839
rho,3.141592653589793,True,0.0003588990815955155,9.630999999999839
rho,4.71238898038469,True,0.0003588990815955155,9.630999999999839
rho,6.283185307179586,True,0.0003588990815955155,9.630999999999839
