theta_2,rho_2,dm
2.14951076298249,-0.4960409453036516,1.7281831307465267
2.14951076298249,-0.16534698176788387,1.831473708808789
2.14951076298249,0.16534698176788387,1.934764286871052
2.14951076298249,0.4960409453036516,2.0380548649333154
2.14951076298249,0.8267349088394189,2.141345442995578
2.14951076298249,1.1574288723751867,2.24463602105784
2.14951076298249,1.4881228359109544,2.347926599120104
2.14951076298249,1.8188167994467221,2.4512171771823668
2.14951076298249,2.14951076298249,2.554507755244629
2.14951076298249,2.4802047265182576,2.657798333306893
2.14951076298249,2.8108986900540254,2.7610889113691544
2.14951076298249,3.141592653589793,2.864379489431417
2.4802047265182576,-3.141592653589793,1.1084396623729498
2.4802047265182576,-2.8108986900540254,1.2117302404352128
2.4802047265182576,-2.4802047265182576,1.315020818497476
2.4802047265182576,-2.14951076298249,1.4183113965597383
2.4802047265182576,-1.8188167994467224,1.5216019746220009
2.4802047265182576,-1.4881228359109546,1.6248925526842644
2.4802047265182576,-1.157428872375187,1.7281831307465265
2.4802047265182576,-0.8267349088394194,1.8314737088087896
2.4802047265182576,-0.4960409453036516,1.9347642868710524
2.4802047265182576,-0.16534698176788387,2.0380548649333154
2.4802047265182576,0.16534698176788387,2.1413454429955783
2.4802047265182576,0.4960409453036516,2.2446360210578407
2.4802047265182576,0.8267349088394189,2.347926599120104
2.4802047265182576,1.1574288723751867,2.4512171771823668
2.4802047265182576,1.4881228359109544,2.554507755244629
2.4802047265182576,1.8188167994467221,2.657798333306893
2.4802047265182576,2.14951076298249,2.7610889113691544
2.4802047265182576,2.4802047265182576,2.864379489431417
2.4802047265182576,2.8108986900540254,2.9676700674936813
2.4802047265182576,3.141592653589793,3.070960645555943
2.8108986900540254,-3.141592653589793,1.315020818497476
2.8108986900540254,-2.8108986900540254,1.4183113965597383
2.8108986900540254,-2.4802047265182576,1.5216019746220009
2.8108986900540254,-2.14951076298249,1.6248925526842644
2.8108986900540254,-1.8188167994467224,1.7281831307465265
2.8108986900540254,-1.4881228359109546,1.831473708808789
2.8108986900540254,-1.157428872375187,1.934764286871052
2.8108986900540254,-0.8267349088394194,2.0380548649333154
2.8108986900540254,-0.4960409453036516,2.1413454429955783
2.8108986900540254,-0.16534698176788387,2.2446360210578407
2.8108986900540254,0.16534698176788387,2.3479265991201044
2.8108986900540254,0.4960409453036516,2.4512171771823668
2.8108986900540254,0.8267349088394189,2.554507755244629
2.8108986900540254,1.1574288723751867,2.657798333306893
2.8108986900540254,1.4881228359109544,2.7610889113691544
2.8108986900540254,1.8188167994467221,2.864379489431417
2.8108986900540254,2.14951076298249,2.967670067493681
2.8108986900540254,2.4802047265182576,3.070960645555943
2.8108986900540254,2.8108986900540254,3.1742512236182048
2.8108986900540254,3.141592653589793,3.2775418016804703
3.141592653589793,-3.141592653589793,1.5216019746220013
3.141592653589793,-2.8108986900540254,1.6248925526842644
3.141592653589793,-2.4802047265182576,1.7281831307465267
3.141592653589793,-2.14951076298249,1.8314737088087896
3.141592653589793,-1.8188167994467224,1.9347642868710524
3.141592653589793,-1.4881228359109546,2.038054864933316
3.141592653589793,-1.157428872375187,2.1413454429955783
3.141592653589793,-0.8267349088394194,2.2446360210578407
3.141592653589793,-0.4960409453036516,2.3479265991201044
3.141592653589793,-0.16534698176788387,2.4512171771823668
3.141592653589793,0.16534698176788387,2.554507755244629
3.141592653589793,0.4960409453036516,2.657798333306893
3.141592653589793,0.8267349088394189,2.7610889113691544
3.141592653589793,1.1574288723751867,2.864379489431417
3.141592653589793,1.4881228359109544,2.9676700674936813
3.141592653589793,1.8188167994467221,3.070960645555942
3.141592653589793,2.14951076298249,3.1742512236182048
3.141592653589793,2.4802047265182576,3.2775418016804703
3.141592653589793,2.8108986900540254,3.3808323797427313
3.141592653589793,3.141592653589793,3.4841229578049937
