distance,dm_scalar_pair,dm_rich_pair,dm_phi_offsheet_pair,force_scalar_pair,force_rich_pair,force_phi_offsheet_pair
1.5,0.0003726299482008006,0.0003726299482008006,0.0003726299482008006,1.2047729489276658e-05,1.2047729489276658e-05,1.2047729489276658e-05
2.0,0.0003666060834561623,0.0003666060834561623,0.0003666060834561623,1.3730866605285138e-05,1.3730866605285138e-05,1.3730866605285138e-05
2.5,0.0003588990815955155,0.0003588990815955155,0.0003588990815955155,1.706888957393526e-05,1.706888957393526e-05,1.706888957393526e-05
3.0,0.00034953719388222703,0.00034953719388222703,0.00034953719388222703,2.034436593950135e-05,2.034436593950135e-05,2.034436593950135e-05
3.5,0.00033855471565601413,0.00033855471565601413,0.00033855471565601413,2.3545216145195633e-05,2.3545216145195633e-05,2.3545216145195633e-05
4.0,0.0003259919777370314,0.0003259919777370314,0.0003259919777370314,2.6659798329376784e-05,2.6659798329376784e-05,2.6659798329376784e-05
4.5,0.00031189491732663735,0.00031189491732663735,0.00031189491732663735,2.8194120820788102e-05,2.8194120820788102e-05,2.8194120820788102e-05
