phi,mass
-6.283185307179586,0.019984123323699796
-5.621797380108051,1.8518787134089765
-4.960409453036515,0.19123170255122374
-4.29902152596498,0.5543883777532552
-3.6376335988934447,0.8559579208803006
-2.9762456718219092,0.09345259287701238
-2.314857744750374,2.452768255390085
-1.6534698176788387,0.03796916042241619
-0.9920818906073032,1.2771711437567903
-0.33069396353576774,0.3401301609628874
0.33069396353576774,0.3401345032525263
0.9920818906073032,1.277159131430883
1.6534698176788378,0.037970031215161126
2.3148577447503733,2.4527758816784617
2.976245671821909,0.09345075573542783
3.6376335988934443,0.8559665532791372
4.29902152596498,0.5543822157352828
4.960409453036515,0.1912346547060941
5.621797380108051,1.8518630094766395
6.283185307179586,0.019984123323699834
