configuration,test_type,parameter,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
phi_sheet_anchor,amplitude_sensitivity,0.01,0.5,0.0,0.7853981633974483,0.0,0.01,"[0.0, 0.0, 0.01, 0.0]",20.0,1,A termination event occurred.,True,[3.384911316718863],3.384911316718863,1.6247574320250544,2.7187127376542444,0.5976201198170444,0.9600000000000001
phi_sheet_anchor,amplitude_sensitivity,0.02,0.5,0.0,0.7853981633974483,0.0,0.02,"[0.0, 0.0, 0.01, 0.0]",20.0,1,A termination event occurred.,True,[3.3842251993597814],3.3842251993597814,1.624428095692695,2.906202013336613,0.5589522298306056,0.96
phi_sheet_anchor,amplitude_sensitivity,0.04,0.5,0.0,0.7853981633974483,0.0,0.04,"[0.0, 0.0, 0.01, 0.0]",20.0,1,A termination event occurred.,True,[3.381468920479311],3.381468920479311,1.623105081830069,2.7803094479911823,0.5837857663659662,0.9599999999999999
