test_type,parameter,mass,r_half
seeding_pressure,0.01,1.6247574320250544,2.7187127376542444
seeding_pressure,0.02,1.624428095692695,2.906202013336613
seeding_pressure,0.04,1.623105081830069,2.7803094479911823
boundary_compression,20.0,1.624428095692695,2.906202013336613
boundary_compression,15.0,1.624428095692695,2.906202013336613
boundary_compression,10.0,1.624428095692695,2.906202013336613
