rho,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-6.283185307179586,0.5,0.0,0.39269908169872414,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.493654266984516,5.158968148383803,0.09568856654778293,0.0987308533969032
-5.621797380108051,0.5,0.0,0.39269908169872414,-5.621797380108051,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.28968442179945214,5.366411134861882,0.05398103397586736,0.05793688435989043
-4.960409453036515,0.5,0.0,0.39269908169872414,-4.960409453036515,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.40943100088147116,5.370184373143067,0.07624151657233307,0.08188620017629424
-4.29902152596498,0.5,0.0,0.39269908169872414,-4.29902152596498,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.3417665224675633,5.298859887796586,0.06449812406903994,0.06835330449351265
-3.6376335988934447,0.5,0.0,0.39269908169872414,-3.6376335988934447,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.3184704193393029,5.381300280661442,0.059180941915428324,0.06369408386786059
-2.9762456718219092,0.5,0.0,0.39269908169872414,-2.9762456718219092,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.44739088518837683,5.234551090806007,0.08546881622268938,0.08947817703767537
-2.314857744750374,0.5,0.0,0.39269908169872414,-2.314857744750374,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.2839504795847766,5.445932915255012,0.052139915052824386,0.056790095916955316
-1.6534698176788387,0.5,0.0,0.39269908169872414,-1.6534698176788387,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.4798353316701664,5.22458045327165,0.09184188777678634,0.09596706633403328
-0.9920818906073032,0.5,0.0,0.39269908169872414,-0.9920818906073032,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.3012173683339547,5.412472718711005,0.055652450180975775,0.060243473666790934
-0.33069396353576774,0.5,0.0,0.39269908169872414,-0.33069396353576774,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.37249768175482795,5.391631564504293,0.06908811874445568,0.0744995363509656
0.33069396353576774,0.5,0.0,0.39269908169872414,0.33069396353576774,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.37249768175482795,5.391631564504293,0.06908811874445568,0.0744995363509656
0.9920818906073032,0.5,0.0,0.39269908169872414,0.9920818906073032,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.3012173683339547,5.412472718711005,0.055652450180975775,0.060243473666790934
1.6534698176788378,0.5,0.0,0.39269908169872414,1.6534698176788378,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.47983533167016607,5.2245804532446405,0.09184188777726107,0.09596706633403321
2.3148577447503733,0.5,0.0,0.39269908169872414,2.3148577447503733,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.2839504795847766,5.445932915300632,0.05213991505238762,0.056790095916955316
2.976245671821909,0.5,0.0,0.39269908169872414,2.976245671821909,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.44739088518837666,5.234551090799379,0.08546881622279756,0.08947817703767533
3.6376335988934443,0.5,0.0,0.39269908169872414,3.6376335988934443,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.31847041933930287,5.381300280656399,0.05918094191548377,0.06369408386786057
4.29902152596498,0.5,0.0,0.39269908169872414,4.29902152596498,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.3417665224675633,5.298859887796586,0.06449812406903994,0.06835330449351265
4.960409453036515,0.5,0.0,0.39269908169872414,4.960409453036515,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.40943100088147116,5.370184373143067,0.07624151657233307,0.08188620017629424
5.621797380108051,0.5,0.0,0.39269908169872414,5.621797380108051,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.28968442179945214,5.366411134861882,0.05398103397586736,0.05793688435989043
6.283185307179586,0.5,0.0,0.39269908169872414,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.493654266984516,5.158968148383803,0.09568856654778293,0.0987308533969032
