phi,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-6.283185307179586,0.5,0.0,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.01998411733075852,8.030362537745505,0.0024885697547061165,0.003996823466151704
-5.621797380108051,0.5,0.0,-5.621797380108051,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8518708488294096,4.479117049683339,0.413445513543865,0.3703741697658819
-4.960409453036515,0.5,0.0,-4.960409453036515,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.19123317561053615,5.497743621055182,0.03478393842851347,0.03824663512210723
-4.29902152596498,0.5,0.0,-4.29902152596498,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.5543853222756712,5.2845465494972395,0.104906885970834,0.11087706445513423
-3.6376335988934447,0.5,0.0,-3.6376335988934447,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.8559622162629598,4.985807447372732,0.17167975805283225,0.17119244325259195
-2.9762456718219092,0.5,0.0,-2.9762456718219092,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.09345167554662721,5.888204307288951,0.015870997450096,0.018690335109325443
-2.314857744750374,0.5,0.0,-2.314857744750374,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,2.452771902716934,3.644620735769185,0.6729841266183996,0.4905543805433868
-1.6534698176788387,0.5,0.0,-1.6534698176788387,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.03796959512091505,7.02114168760208,0.005407894728568389,0.00759391902418301
-0.9920818906073032,0.5,0.0,-0.9920818906073032,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.27716510875516,4.935557190370091,0.258768171351975,0.255433021751032
-0.33069396353576774,0.5,0.0,-0.33069396353576774,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.34013233374394036,5.445014184418181,0.062466748886951654,0.06802646674878807
0.33069396353576774,0.5,0.0,0.33069396353576774,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.34013233374394036,5.445014184418181,0.062466748886951654,0.06802646674878807
0.9920818906073032,0.5,0.0,0.9920818906073032,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.27716510875516,4.935557190370091,0.258768171351975,0.255433021751032
1.6534698176788378,0.5,0.0,1.6534698176788378,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.03796959512091418,7.0211416876328245,0.005407894728544585,0.0075939190241828365
2.3148577447503733,0.5,0.0,2.3148577447503733,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,2.4527719027169295,3.6446207358125653,0.6729841266103882,0.4905543805433859
2.976245671821909,0.5,0.0,2.976245671821909,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.09345167554662977,5.888204307446446,0.015870997449671922,0.018690335109325953
3.6376335988934443,0.5,0.0,3.6376335988934443,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.8559622162629412,4.9858074473019744,0.17167975805526497,0.17119244325258826
4.29902152596498,0.5,0.0,4.29902152596498,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.5543853222756712,5.2845465494972395,0.104906885970834,0.11087706445513423
4.960409453036515,0.5,0.0,4.960409453036515,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.19123317561053615,5.497743621055182,0.03478393842851347,0.03824663512210723
5.621797380108051,0.5,0.0,5.621797380108051,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,1.8518708488294096,4.479117049683339,0.413445513543865,0.3703741697658819
6.283185307179586,0.5,0.0,6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.01998411733075852,8.030362537745505,0.0024885697547061165,0.003996823466151704
