phi,theta,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-6.283185307179586,-6.283185307179586,0.5,-6.283185307179586,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081702381,5.0,0.0005512158163404762,0.0011024316326809524
-6.283185307179586,-4.886921905584122,0.5,-4.886921905584122,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081701946,5.0,0.0005512158163403891,0.0011024316326807783
-6.283185307179586,-3.490658503988659,0.5,-3.490658503988659,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081701175,5.0,0.0005512158163402351,0.0011024316326804702
-6.283185307179586,-2.0943951023931957,0.5,-2.0943951023931957,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081699357,5.0,0.0005512158163398714,0.0011024316326797429
-6.283185307179586,-0.6981317007977319,0.5,-0.6981317007977319,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.0027560790816904164,5.0,0.0005512158163380833,0.0011024316326761665
-6.283185307179586,0.6981317007977319,0.5,0.6981317007977319,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.0027560790816904164,5.0,0.0005512158163380833,0.0011024316326761665
-6.283185307179586,2.094395102393195,0.5,2.094395102393195,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081699357,5.0,0.0005512158163398714,0.0011024316326797429
-6.283185307179586,3.4906585039886586,0.5,3.4906585039886586,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081701175,5.0,0.0005512158163402351,0.0011024316326804702
-6.283185307179586,4.886921905584122,0.5,4.886921905584122,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081701946,5.0,0.0005512158163403891,0.0011024316326807783
-6.283185307179586,6.283185307179586,0.5,6.283185307179586,-6.283185307179586,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081702381,5.0,0.0005512158163404762,0.0011024316326809524
-4.886921905584122,-6.283185307179586,0.5,-6.283185307179586,-4.886921905584122,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308335791,2.6750637986081123,0.016187102941577894,0.017320613233343163
-4.886921905584122,-4.886921905584122,0.5,-4.886921905584122,-4.886921905584122,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308334094,2.67506357547862,0.016187104291752567,0.017320613233336377
-4.886921905584122,-3.490658503988659,0.5,-3.490658503988659,-4.886921905584122,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308331187,2.675063174681952,0.01618710671700684,0.017320613233324747
-4.886921905584122,-2.0943951023931957,0.5,-2.0943951023931957,-4.886921905584122,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308324213,2.675062242453604,0.016187112358000827,0.017320613233296853
-4.886921905584122,-0.6981317007977319,0.5,-0.6981317007977319,-4.886921905584122,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308289768,2.6750576450080876,0.01618714017759672,0.01732061323315907
-4.886921905584122,0.6981317007977319,0.5,0.6981317007977319,-4.886921905584122,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308289768,2.6750576450080876,0.01618714017759672,0.01732061323315907
-4.886921905584122,2.094395102393195,0.5,2.094395102393195,-4.886921905584122,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308324213,2.675062242453604,0.016187112358000827,0.017320613233296853
-4.886921905584122,3.4906585039886586,0.5,3.4906585039886586,-4.886921905584122,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308331187,2.675063174681952,0.01618710671700684,0.017320613233324747
