theta,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-6.283185307179586,0.5,-6.283185307179586,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.493654266984516,5.158968148383803,0.09568856654778293,0.0987308533969032
-5.621797380108051,0.5,-5.621797380108051,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.4936542669844969,5.158968089248734,0.09568856764461678,0.09873085339689938
-4.960409453036515,0.5,-4.960409453036515,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.49365426698447246,5.158968014297448,0.09568856903480892,0.0987308533968945
-4.29902152596498,0.5,-4.29902152596498,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.493654266984441,5.158967916459944,0.09568857084949345,0.0987308533968882
-3.6376335988934447,0.5,-3.6376335988934447,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.4936542669843982,5.158967783070036,0.09568857332360212,0.09873085339687963
-2.9762456718219092,0.5,-2.9762456718219092,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.4936542669843368,5.158967590659687,0.09568857689241896,0.09873085339686735
-2.314857744750374,0.5,-2.314857744750374,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.4936542669842396,5.158967288933021,0.09568858248882933,0.09873085339684792
-1.6534698176788387,0.5,-1.6534698176788387,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.49365426698406617,5.158966747488766,0.09568859253151081,0.09873085339681323
-0.9920818906073032,0.5,-0.9920818906073032,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.49365426698366266,5.158965492968392,0.09568861580030096,0.09873085339673253
-0.33069396353576774,0.5,-0.33069396353576774,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.49365426698170645,5.158959399873887,0.09568872881491838,0.09873085339634129
0.33069396353576774,0.5,0.33069396353576774,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.49365426698170645,5.158959399873887,0.09568872881491838,0.09873085339634129
0.9920818906073032,0.5,0.9920818906073032,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.49365426698366266,5.158965492968392,0.09568861580030096,0.09873085339673253
1.6534698176788378,0.5,1.6534698176788378,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.49365426698406617,5.158966747488766,0.09568859253151081,0.09873085339681323
2.3148577447503733,0.5,2.3148577447503733,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.4936542669842396,5.158967288933021,0.09568858248882933,0.09873085339684792
2.976245671821909,0.5,2.976245671821909,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.4936542669843368,5.158967590659687,0.09568857689241896,0.09873085339686735
3.6376335988934443,0.5,3.6376335988934443,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.4936542669843982,5.158967783070036,0.09568857332360212,0.09873085339687963
4.29902152596498,0.5,4.29902152596498,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.493654266984441,5.158967916459944,0.09568857084949345,0.0987308533968882
4.960409453036515,0.5,4.960409453036515,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.49365426698447246,5.158968014297448,0.09568856903480892,0.0987308533968945
5.621797380108051,0.5,5.621797380108051,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.4936542669844969,5.158968089248734,0.09568856764461678,0.09873085339689938
6.283185307179586,0.5,6.283185307179586,0.39269908169872414,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",10.0,0,The solver successfully reached the end of the integration interval.,False,[],10.0,0.493654266984516,5.158968148383803,0.09568856654778293,0.0987308533969032
