label,omega,theta,phi,rho,success,final_mass,integrated_abs_ricci,half_mass_radius,mass_90_radius,ricci_half_radius,ricci_90_radius,settling_radius,core_radius,soft_region_width
phi_slice_00,0.5,3.141592653589793,-6.283185307179586,1.5707963267948966,True,0.1082188762469576,0.00784699578837507,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_01,0.5,3.141592653589793,-5.497787143782138,1.5707963267948966,True,0.10821887624695707,0.007846995788375048,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_02,0.5,3.141592653589793,-4.71238898038469,1.5707963267948966,True,0.1082188762469576,0.00784699578837507,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_03,0.5,3.141592653589793,-3.9269908169872414,1.5707963267948966,True,0.10821887624695709,0.00784699578837505,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_04,0.5,3.141592653589793,-3.141592653589793,1.5707963267948966,True,0.1082188762469576,0.00784699578837507,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_05,0.5,3.141592653589793,-2.356194490192345,1.5707963267948966,True,0.10821887624695709,0.007846995788375048,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_06,0.5,3.141592653589793,-1.5707963267948966,1.5707963267948966,True,0.1082188762469576,0.00784699578837507,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_07,0.5,3.141592653589793,-0.7853981633974483,1.5707963267948966,True,0.10821887624695709,0.00784699578837505,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_08,0.5,3.141592653589793,0.0,1.5707963267948966,True,0.1082188762469576,0.00784699578837507,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_09,0.5,3.141592653589793,0.7853981633974483,1.5707963267948966,True,0.10821887624695709,0.00784699578837505,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_10,0.5,3.141592653589793,1.5707963267948966,1.5707963267948966,True,0.1082188762469576,0.00784699578837507,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_11,0.5,3.141592653589793,2.356194490192344,1.5707963267948966,True,0.10821887624695714,0.007846995788375052,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_12,0.5,3.141592653589793,3.141592653589793,1.5707963267948966,True,0.1082188762469576,0.00784699578837507,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_13,0.5,3.141592653589793,3.9269908169872423,1.5707963267948966,True,0.1082188762469571,0.007846995788375048,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_14,0.5,3.141592653589793,4.71238898038469,1.5707963267948966,True,0.1082188762469576,0.00784699578837507,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_15,0.5,3.141592653589793,5.497787143782137,1.5707963267948966,True,0.10821887624695714,0.007846995788375052,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
phi_slice_16,0.5,3.141592653589793,6.283185307179586,1.5707963267948966,True,0.1082188762469576,0.00784699578837507,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327
