input_energy,status,surplus
0.0,Sub-threshold fluctuation,0.0
0.10204081632653061,Sub-threshold fluctuation,0.10204081632653061
0.20408163265306123,Sub-threshold fluctuation,0.20408163265306123
0.30612244897959184,Sub-threshold fluctuation,0.30612244897959184
0.40816326530612246,Sub-threshold fluctuation,0.40816326530612246
0.5102040816326531,Sub-threshold fluctuation,0.5102040816326531
0.6122448979591837,Sub-threshold fluctuation,0.6122448979591837
0.7142857142857143,Sub-threshold fluctuation,0.7142857142857143
0.8163265306122449,Sub-threshold fluctuation,0.8163265306122449
0.9183673469387755,Sub-threshold fluctuation,0.9183673469387755
1.0204081632653061,Sub-threshold fluctuation,1.0204081632653061
1.1224489795918369,Sub-threshold fluctuation,1.1224489795918369
1.2244897959183674,Sub-threshold fluctuation,1.2244897959183674
1.3265306122448979,Sub-threshold fluctuation,1.3265306122448979
1.4285714285714286,Sub-threshold fluctuation,1.4285714285714286
1.5306122448979593,Sub-threshold fluctuation,1.5306122448979593
1.6326530612244898,Sub-threshold fluctuation,1.6326530612244898
1.7346938775510203,Sub-threshold fluctuation,1.7346938775510203
1.836734693877551,Sub-threshold fluctuation,1.836734693877551
1.9387755102040818,Sub-threshold fluctuation,1.9387755102040818
2.0408163265306123,Sub-threshold fluctuation,2.0408163265306123
2.142857142857143,Sub-threshold fluctuation,2.142857142857143
2.2448979591836737,Sub-threshold fluctuation,2.2448979591836737
2.3469387755102042,Sub-threshold fluctuation,2.3469387755102042
2.4489795918367347,Sub-threshold fluctuation,2.4489795918367347
2.5510204081632653,L+R Pair Created,0.5510204081632653
2.6530612244897958,L+R Pair Created,0.6530612244897958
2.7551020408163267,L+R Pair Created,0.7551020408163267
2.857142857142857,L+R Pair Created,0.8571428571428572
2.9591836734693877,L+R Pair Created,0.9591836734693877
3.0612244897959187,L+R Pair Created,1.0612244897959187
3.163265306122449,L+R Pair Created,1.1632653061224492
3.2653061224489797,L+R Pair Created,1.2653061224489797
3.36734693877551,L+R Pair Created,1.3673469387755102
3.4693877551020407,L+R Pair Created,1.4693877551020407
3.5714285714285716,L+R Pair Created,1.5714285714285716
3.673469387755102,L+R Pair Created,1.6734693877551021
3.7755102040816326,L+R Pair Created,1.7755102040816326
3.8775510204081636,L+R Pair Created,1.8775510204081636
3.979591836734694,L+R Pair Created,1.979591836734694
4.081632653061225,L+R Pair Created,2.0816326530612246
4.183673469387755,L+R Pair Created,2.183673469387755
4.285714285714286,L+R Pair Created,2.2857142857142856
4.387755102040816,L+R Pair Created,2.387755102040816
4.4897959183673475,L+R Pair Created,2.4897959183673475
4.591836734693878,L+R Pair Created,2.591836734693878
4.6938775510204085,L+R Pair Created,2.6938775510204085
4.795918367346939,L+R Pair Created,2.795918367346939
4.8979591836734695,L+R Pair Created,2.8979591836734695
5.0,L+R Pair Created,3.0
