theta,phi,rho,creation_prob_proxy,chi
-6.283185307179586,-6.283185307179586,0.0,0.9090909090909091,1.0
-6.283185307179586,-5.849862182546511,0.0,1.3379961879979034,0.647386284781827
-6.283185307179586,-5.416539057913436,0.0,3.819972393702925,-0.16178199655276587
-6.283185307179586,-4.983215933280361,0.0,1.045088049613847,-0.85685717616759
-6.283185307179586,-4.549892808647287,0.0,0.9545143636333367,-0.9476531711828025
-6.283185307179586,-4.116569684014212,0.0,2.1270343379745285,-0.370138155339914
-6.283185307179586,-3.6832465593811365,0.0,1.7592982939677309,0.46840844069979076
-6.283185307179586,-3.249923434748062,0.0,0.9288323492397453,0.9766205557100868
-6.283185307179586,-2.816600310114987,0.0,1.1159555165316823,0.7960930657056434
-6.283185307179586,-2.3832771854819117,0.0,6.487654604391116,0.0541389085854167
-6.283185307179586,-1.949954060848837,0.0,1.2106603604721153,-0.7259954919231311
-6.283185307179586,-1.516630936215762,0.0,0.91396152876444,-0.9941379571543596
-6.283185307179586,-1.0833078115826869,0.0,1.5124312806269475,-0.5611870653623816
-6.283185307179586,-0.6499846869496118,0.0,2.7208786239499467,0.26752833852922203
-6.283185307179586,-0.21666156231653755,0.0,0.9924815358502583,0.907575419670957
-6.283185307179586,0.21666156231653755,0.0,0.9924815358502583,0.907575419670957
-6.283185307179586,0.6499846869496126,0.0,2.72087862394996,0.2675283385292203
-6.283185307179586,1.0833078115826877,0.0,1.5124312806269442,-0.561187065362383
-6.283185307179586,1.5166309362157628,0.0,0.91396152876444,-0.9941379571543597
-6.283185307179586,1.949954060848837,0.0,1.2106603604721153,-0.7259954919231311
-6.283185307179586,2.383277185481912,0.0,6.4876546043910785,0.05413890858541758
-6.283185307179586,2.8166003101149872,0.0,1.1159555165316817,0.796093065705644
-6.283185307179586,3.2499234347480623,0.0,0.9288323492397456,0.9766205557100865
-6.283185307179586,3.6832465593811374,0.0,1.7592982939677355,0.4684084406997892
-6.283185307179586,4.1165696840142125,0.0,2.127034337974521,-0.3701381553399157
-6.283185307179586,4.549892808647288,0.0,0.9545143636333364,-0.947653171182803
-6.283185307179586,4.983215933280363,0.0,1.0450880496138493,-0.8568571761675882
-6.283185307179586,5.416539057913436,0.0,3.819972393702925,-0.16178199655276587
-6.283185307179586,5.849862182546511,0.0,1.3379961879979034,0.647386284781827
-6.283185307179586,6.283185307179586,0.0,0.9090909090909091,1.0
-5.849862182546511,-6.283185307179586,0.0,0.9090909090909091,1.0
-5.849862182546511,-5.849862182546511,0.0,1.3379961879979034,0.647386284781827
-5.849862182546511,-5.416539057913436,0.0,3.819972393702925,-0.16178199655276587
-5.849862182546511,-4.983215933280361,0.0,1.045088049613847,-0.85685717616759
-5.849862182546511,-4.549892808647287,0.0,0.9545143636333367,-0.9476531711828025
-5.849862182546511,-4.116569684014212,0.0,2.1270343379745285,-0.370138155339914
-5.849862182546511,-3.6832465593811365,0.0,1.7592982939677309,0.46840844069979076
-5.849862182546511,-3.249923434748062,0.0,0.9288323492397453,0.9766205557100868
-5.849862182546511,-2.816600310114987,0.0,1.1159555165316823,0.7960930657056434
-5.849862182546511,-2.3832771854819117,0.0,6.487654604391116,0.0541389085854167
-5.849862182546511,-1.949954060848837,0.0,1.2106603604721153,-0.7259954919231311
-5.849862182546511,-1.516630936215762,0.0,0.91396152876444,-0.9941379571543596
-5.849862182546511,-1.0833078115826869,0.0,1.5124312806269475,-0.5611870653623816
-5.849862182546511,-0.6499846869496118,0.0,2.7208786239499467,0.26752833852922203
-5.849862182546511,-0.21666156231653755,0.0,0.9924815358502583,0.907575419670957
-5.849862182546511,0.21666156231653755,0.0,0.9924815358502583,0.907575419670957
-5.849862182546511,0.6499846869496126,0.0,2.72087862394996,0.2675283385292203
-5.849862182546511,1.0833078115826877,0.0,1.5124312806269442,-0.561187065362383
-5.849862182546511,1.5166309362157628,0.0,0.91396152876444,-0.9941379571543597
-5.849862182546511,1.949954060848837,0.0,1.2106603604721153,-0.7259954919231311
-5.849862182546511,2.383277185481912,0.0,6.4876546043910785,0.05413890858541758
-5.849862182546511,2.8166003101149872,0.0,1.1159555165316817,0.796093065705644
-5.849862182546511,3.2499234347480623,0.0,0.9288323492397456,0.9766205557100865
-5.849862182546511,3.6832465593811374,0.0,1.7592982939677355,0.4684084406997892
-5.849862182546511,4.1165696840142125,0.0,2.127034337974521,-0.3701381553399157
