param,val,status,chi_left,chi_right,chi_gap,expected_partner_phi,phi_gap,theta_gap,rho_gap,pair_score,released_energy_proxy
rho,-6.283185307179586,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,2.4492935982947064e-16,1.8613243022769778e-16,1.0
rho,-6.156252270670907,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,0.12693303650867918,0.03173325912716992,1.0
rho,-6.029319234162229,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,0.2538660730173572,0.06346651825433942,1.0
rho,-5.90238619765355,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,0.3807991095260362,0.09519977738150917,0.9048002226184908
rho,-5.775453161144872,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,0.5077321460347142,0.12693303650867865,0.8730669634913213
rho,-5.648520124636193,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,0.6346651825433931,0.1586662956358484,0.8413337043641516
rho,-5.521587088127515,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,0.7615982190520711,0.1903995547630179,0.809600445236982
rho,-5.394654051618836,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,0.8885312555607502,0.22213281389018769,0.7778671861098123
rho,-5.267721015110158,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,1.0154642920694281,0.25386607301735714,0.7461339269826428
rho,-5.140787978601479,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,1.142397328578107,0.2855993321445269,0.7144006678554731
rho,-5.013854942092801,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,1.269330365086785,0.3173325912716964,0.6826674087283036
rho,-4.886921905584122,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,1.396263401595464,0.3490658503988661,0.6509341496011338
rho,-4.759988869075444,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,1.523196438104142,0.38079910952603563,0.6192008904739643
rho,-4.6330558325667655,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,1.650129474612821,0.41253236865320536,0.5874676313467946
rho,-4.5061227960580865,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,1.7770625111215,0.4442656277803751,0.5557343722196249
rho,-4.3791897595494085,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,1.903995547630178,0.4759988869075446,0.5240011130924553
rho,-4.25225672304073,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,2.030928584138856,0.5077321460347141,0.49226785396528594
rho,-4.1253236865320515,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,2.1578616206475347,0.5394654051618838,0.4605345948381162
rho,-3.998390650023373,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,2.2847946571562137,0.5711986642890535,0.4288013357109465
rho,-3.8714576135146945,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,2.4117276936648917,0.602931923416223,0.39706807658377696
rho,-3.744524577006016,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,2.5386607301735706,0.6346651825433928,0.36533481745660723
rho,-3.6175915404973376,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,2.6655937666822487,0.6663984416705623,0.3336015583294377
rho,-3.490658503988659,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,2.7925268031909276,0.698131700797732,0.301868299202268
rho,-3.3637254674799806,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,2.919459839699606,0.7298649599249016,0.27013504007509836
rho,-3.2367924309713016,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,3.046392876208285,0.7615982190520714,0.23840178094792863
rho,-3.109859394462623,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,3.109859394462623,0.7774648486156559,0.2225351513843441
rho,-2.9829263579539447,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0,2.9829263579539447,0.7457315894884863,0.2542684105115137
