label,phi,creation_prob_proxy,chi
phi_zero,0.0,0.9090909090909091,1.0
phi_pos_pi_over_4,0.7853981633974483,9.999999999999995,6.123233995736766e-17
phi_neg_pi_over_4,-0.7853981633974483,9.999999999999995,6.123233995736766e-17
phi_pi_over_2,1.5707963267948966,0.9090909090909091,-1.0
