param,val,status,net_chi
phi,-6.283185307179586,Residual Dipole,0.7071067811865479
phi,-6.026728764029399,Residual Dipole,1.1978243331904856
phi,-5.770272220879212,Residual Dipole,1.5622495441918935
phi,-5.513815677729025,Residual Dipole,1.7065929973872354
phi,-5.257359134578838,Residual Dipole,1.5937060875595477
phi,-5.00090259142865,Residual Dipole,1.2526416823970954
phi,-4.744446048278463,Residual Dipole,0.7711770011672597
phi,-4.487989505128276,Residual Dipole,0.273223042068989
phi,-4.231532961978089,Residual Dipole,-0.11306547341040851
phi,-3.9750764188279017,Residual Dipole,-0.28827233176265077
phi,-3.7186198756777147,Residual Dipole,-0.20730584182926526
phi,-3.462163332527527,Residual Dipole,0.10899625069533159
phi,-3.20570678937734,Residual Dipole,0.5792296195020413
phi,-2.949250246227153,Residual Dipole,1.0823737860659213
phi,-2.6927937030769655,Residual Dipole,1.4889382636545774
phi,-2.4363371599267785,Residual Dipole,1.6942885646009977
phi,-2.1798806167765914,Residual Dipole,1.645575203236308
phi,-1.9234240736264043,Residual Dipole,1.3553351764943362
phi,-1.6669675304762173,Residual Dipole,0.8982654098879206
phi,-1.4105109873260302,Residual Dipole,0.39199856316292786
phi,-1.1540544441758431,Vacuum,-0.03317121588876715
phi,-0.8975979010256552,Residual Dipole,-0.26782113099527616
phi,-0.6411413578754681,Residual Dipole,-0.2515610718501132
phi,-0.38468481472528104,Vacuum,0.011424230583060746
phi,-0.12822827157509398,Residual Dipole,0.45345219727703934
phi,0.1282282715750931,Residual Dipole,0.9607613650960538
phi,0.38468481472528016,Residual Dipole,1.402789331790033
phi,0.6411413578754672,Residual Dipole,1.6657746342232076
phi,0.8975979010256552,Residual Dipole,1.682034693368371
phi,1.1540544441758422,Residual Dipole,1.4473847782618632
phi,1.4105109873260293,Residual Dipole,1.0222149992101688
phi,1.6669675304762164,Residual Dipole,0.515948152485176
phi,1.9234240736264034,Vacuum,0.05887838587875993
phi,2.1798806167765914,Residual Dipole,-0.2313616408632131
phi,2.4363371599267776,Residual Dipole,-0.28007500222790294
phi,2.6927937030769655,Vacuum,-0.07472470128148245
phi,2.9492502462271517,Residual Dipole,0.3318397763071712
phi,3.2057067893773397,Residual Dipole,0.8349839428710527
phi,3.462163332527526,Residual Dipole,1.3052173116777612
phi,3.718619875677714,Residual Dipole,1.6215194042023593
phi,3.9750764188279,Residual Dipole,1.7024858941357461
phi,4.231532961978088,Residual Dipole,1.5272790357835044
phi,4.487989505128276,Residual Dipole,1.140990520304106
phi,4.744446048278462,Residual Dipole,0.643036561205837
phi,5.00090259142865,Residual Dipole,0.16157187997599953
phi,5.257359134578836,Residual Dipole,-0.1794925251864512
phi,5.513815677729024,Residual Dipole,-0.29237943501414043
phi,5.77027222087921,Residual Dipole,-0.1480359818188005
phi,6.026728764029398,Residual Dipole,0.21638922918260783
phi,6.283185307179586,Residual Dipole,0.707106781186547
