theta,rho,E0
-3.141592653589793,-3.141592653589793,0.9093699942084978
-3.141592653589793,-1.8849555921538759,0.9093699942084978
-3.141592653589793,-0.6283185307179586,0.9093699942084978
-3.141592653589793,0.6283185307179586,0.9093699942084978
-3.141592653589793,1.8849555921538759,0.9093699942084978
-3.141592653589793,3.141592653589793,0.9093699942084978
-1.8849555921538759,-3.141592653589793,0.9093699942084978
-1.8849555921538759,-1.8849555921538759,0.9093699942084978
-1.8849555921538759,-0.6283185307179586,0.9093699942084978
-1.8849555921538759,0.6283185307179586,0.9093699942084978
-1.8849555921538759,1.8849555921538759,0.9093699942084978
-1.8849555921538759,3.141592653589793,0.9093699942084978
-0.6283185307179586,-3.141592653589793,0.9093699942084978
-0.6283185307179586,-1.8849555921538759,0.9093699942084978
-0.6283185307179586,-0.6283185307179586,0.9093699942084978
-0.6283185307179586,0.6283185307179586,0.9093699942084978
-0.6283185307179586,1.8849555921538759,0.9093699942084978
-0.6283185307179586,3.141592653589793,0.9093699942084978
0.6283185307179586,-3.141592653589793,0.9093699942084978
0.6283185307179586,-1.8849555921538759,0.9093699942084978
0.6283185307179586,-0.6283185307179586,0.9093699942084978
0.6283185307179586,0.6283185307179586,0.9093699942084978
0.6283185307179586,1.8849555921538759,0.9093699942084978
0.6283185307179586,3.141592653589793,0.9093699942084978
1.8849555921538759,-3.141592653589793,0.9093699942084978
1.8849555921538759,-1.8849555921538759,0.9093699942084978
1.8849555921538759,-0.6283185307179586,0.9093699942084978
1.8849555921538759,0.6283185307179586,0.9093699942084978
1.8849555921538759,1.8849555921538759,0.9093699942084978
1.8849555921538759,3.141592653589793,0.9093699942084978
3.141592653589793,-3.141592653589793,0.9093699942084978
3.141592653589793,-1.8849555921538759,0.9093699942084978
3.141592653589793,-0.6283185307179586,0.9093699942084978
3.141592653589793,0.6283185307179586,0.9093699942084978
3.141592653589793,1.8849555921538759,0.9093699942084978
3.141592653589793,3.141592653589793,0.9093699942084978
