phi,chi,E0
-6.283185307179586,1.0,0.9173867490363242
-5.497787143782138,-4.286263797015729e-16,0.8897181842063497
-4.71238898038469,-1.0,0.8611611041539671
-3.9269908169872414,3.0616169978683807e-16,0.88971818420635
-3.141592653589793,1.0,0.9173867490363242
-2.356194490192345,-1.836970198721032e-16,0.8897181842063497
-1.5707963267948966,-1.0,0.8611611041539671
-0.7853981633974483,6.123233995736787e-17,0.8897181842063497
0.0,1.0,0.9173867490363242
0.7853981633974483,6.123233995736787e-17,0.8897181842063497
1.5707963267948966,-1.0,0.8611611041539671
2.356194490192344,-1.960053859272358e-15,0.8897181842063498
3.141592653589793,1.0,0.9173867490363242
3.9269908169872423,-1.4701951396134161e-15,0.8897181842063498
4.71238898038469,-1.0,0.8611611041539671
5.497787143782137,-2.204983219101818e-15,0.8897181842063498
6.283185307179586,1.0,0.9173867490363242
