run,theta,phi,rho,chirality,mode_count,n,energy
Scalar Anchor,0.0,0.0,0.0,1.0,1,0,0.9173867490363242
Right-Handed Base,0.0,0.39269908169872414,0.0,0.7071067811865476,1,0,0.9093699942084978
Parity Partner,0.0,-0.39269908169872414,0.0,0.7071067811865476,1,0,0.9093699942084978
Left-Handed Flip,0.0,1.9634954084936207,0.0,-0.7071067811865477,1,0,0.869622394058611
