r,omega,theta,phi,rho,m
0.0101,0.5,3.141592653589793,0.0,0.0,1.715486666903329e-11
0.0201,0.4999983512787293,3.141592653589793,1.1999999999999999e-05,0.0,1.7502335363246119e-07
0.030100000000000002,0.49999831863078337,3.141592653589793,1.2237623762376235e-05,0.0,8.680948612092489e-07
0.040100000000000004,0.49999666974980334,3.141592653589793,2.4238997966693178e-05,0.0,2.4224212682682413e-06
0.050100000000000006,0.4999944677523048,3.141592653589793,4.026623294991632e-05,0.0,5.181187087158564e-06
0.06010000000000001,0.4999917152921427,3.141592653589793,6.0300222334914275e-05,0.0,9.487673138099747e-06
0.07010000000000001,0.49998841290632284,3.141592653589793,8.433725538783038e-05,0.0,1.568526150983716e-05
0.0801,0.49998456077655856,3.141592653589793,0.00011237624049382765,0.0,2.4117457754670713e-05
0.0901,0.4999801589830765,3.141592653589793,0.00014441686438124255,0.0,3.512791310453085e-05
0.1001,0.49997520756830593,3.141592653589793,0.00018045913020823043,0.0,4.906044665617583e-05
0.11009999999999999,0.4999697065581554,3.141592653589793,0.00022050320324610445,0.0,6.625906751361802e-05
0.12009999999999998,0.4999636559705367,3.141592653589793,0.0002645493490544581,0.0,8.706799688032213e-05
0.1301,0.499957055819243,3.141592653589793,0.0003125979053418992,0.0,0.00011183169009458183
0.1401,0.49994990611588985,3.141592653589793,0.0003646492678779395,0.0,0.0001408948586016934
0.1501,0.49994220687096114,3.141592653589793,0.00042070388289512076,0.0,0.00017460249185659402
0.16010000000000002,0.4999339580944067,3.141592653589793,0.00048076224273792777,0.0,0.00021329987915062818
0.17010000000000003,0.49992515979600144,3.141592653589793,0.00054482488324374,0.0,0.0002573326313560811
0.18010000000000004,0.49991581198556945,3.141592653589793,0.0006128923820979776,0.0,0.00030704670258208317
0.19010000000000005,0.49990591467312956,3.141592653589793,0.0006849653577620219,0.0,0.00036278841173544864
0.20010000000000006,0.4998954678689919,3.141592653589793,0.0007610444687508013,0.0,0.00042490446397996673
0.21010000000000006,0.4998844715838244,3.141592653589793,0.0008411304131308205,0.0,0.0004937419720876133
0.22010000000000007,0.49987292582869874,3.141592653589793,0.0009252239281610761,0.0,0.0005696484776750996
0.23010000000000008,0.499860830615124,3.141592653589793,0.0010133257900288282,0.0,0.0006529719723191187
0.2401000000000001,0.4998481859550704,3.141592653589793,0.0011054368136496546,0.0,0.0007440609185435898
0.2501000000000001,0.49983499186098734,3.141592653589793,0.0012015578525118428,0.0,0.0008432642706721412
0.2601000000000001,0.49982124834581637,3.141592653589793,0.0013016897985518145,0.0,0.0009509314955390047
0.2701000000000001,0.49980695542300174,3.141592653589793,0.001405833582051536,0.0,0.0010674125930514278
0.2801000000000001,0.4997921131064979,3.141592653589793,0.0015139901715516457,0.0,0.0011930581165966393
0.29010000000000014,0.4997767214107756,3.141592653589793,0.0016261605737758823,0.0,0.0013282191932863269
0.30010000000000014,0.4997607803508267,3.141592653589793,0.0017423458335636605,0.0,0.0014732475440315113
0.31010000000000015,0.4997442899421679,3.141592653589793,0.0018625470338085074,0.0,0.0016284955034406225
0.32010000000000016,0.4997272502008436,3.141592653589793,0.001986765295400674,0.0,0.0017943160395334932
0.33010000000000017,0.49970966114342835,3.141592653589793,0.0021150017771726813,0.0,0.0019710627732639086
0.3401000000000002,0.499691522787029,3.141592653589793,0.002247257675846852,0.0,0.0021590899978432554
0.3501000000000002,0.49967283514928595,3.141592653589793,0.002383534225984122,0.0,0.002358752697857725
0.3601000000000002,0.4996535982483747,3.141592653589793,0.0025238326999335796,0.0,0.002570406568171429
0.3701000000000002,0.4996338121030066,3.141592653589793,0.002668154407782305,0.0,0.0027944080326076895
0.3801000000000002,0.4996134767324302,3.141592653589793,0.0028165006973051828,0.0,0.0030311142624006634
0.3901000000000002,0.4995925921564313,3.141592653589793,0.002968872953914414,0.0,0.003280883194409364
0.40010000000000023,0.4995711583953343,3.141592653589793,0.00312527260060853,0.0,0.003544073549086026
0.41010000000000024,0.49954917547000194,3.141592653589793,0.0032857010979207256,0.0,0.0038210448481906605
0.42010000000000025,0.49952664340183633,3.141592653589793,0.0034501599438663813,0.0,0.004112157432243537
0.43010000000000026,0.49950356221277886,3.141592653589793,0.003618650673889657,0.0,0.0044177724777072
0.44010000000000027,0.49947993192531076,3.141592653589793,0.0037911748608090655,0.0,0.004738252013889533
0.4501000000000003,0.4994557525624531,3.141592653589793,0.003967734114761942,0.0,0.005073958939559246
0.4601000000000003,0.4994310241477672,3.141592653589793,0.004148330083147747,0.0,0.005425257039265052
0.4701000000000003,0.4994057467053544,3.141592653589793,0.00433296445057014,0.0,0.0057925109993496576
0.4801000000000003,0.4993799202598568,3.141592653589793,0.00452163893877778,0.0,0.006176086423649593
0.4901000000000003,0.4993535448364566,3.141592653589793,0.004714355306603798,0.0,0.006576349848871748
0.5001000000000003,0.4993266204608769,3.141592653589793,0.004911115349903912,0.0,0.006993668759637367
0.5101000000000003,0.4992991471593811,3.141592653589793,0.005111920901493149,0.0,0.007428411603184113
0.5201000000000003,0.49927112495877346,3.141592653589793,0.0053167738310811305,0.0,0.007880947803716684
0.5301000000000003,0.49924255388639877,3.141592653589793,0.0055256760452059035,0.0,0.008351647776396307
0.5401000000000004,0.49921343397014245,3.141592653589793,0.005738629487166284,0.0,0.008840882940959319
0.5501000000000004,0.49918376523843067,3.141592653589793,0.00595563613695269,0.0,0.009349025734954879
0.5601000000000004,0.49915354772023013,3.141592653589793,0.006176698011176431,0.0,0.009876449626591722
