theta,phi,detJ
-6.283185307179586,-6.283185307179586,7.389056101191935
-6.283185307179586,-5.621797380108051,1.8139060364562725
-6.283185307179586,-4.960409453036515,-6.498480887106831
-6.283185307179586,-4.29902152596498,-5.004471529028165
-6.283185307179586,-3.6376335988934447,4.041430624480693
-6.283185307179586,-2.9762456718219092,6.988696660388413
-6.283185307179586,-2.314857744750374,-0.6101834164429807
-6.283185307179586,-1.6534698176788387,-7.288279005099435
-6.283185307179586,-0.9920818906073032,-2.968150027946753
-6.283185307179586,-0.33069396353576774,5.831003494609102
-6.283185307179586,0.33069396353576774,5.831003494615721
-6.283185307179586,0.9920818906073032,-2.9681500279008013
-6.283185307179586,1.6534698176788378,-7.288279005530603
-6.283185307179586,2.3148577447503733,-0.610183416408899
-6.283185307179586,2.976245671821909,6.988696660338271
-6.283185307179586,3.6376335988934443,4.041430624818977
-6.283185307179586,4.29902152596498,-5.00447152904036
-6.283185307179586,4.960409453036515,-6.4984808869727395
-6.283185307179586,5.621797380108051,1.8139060365241138
-6.283185307179586,6.283185307179586,7.389056101191935
-5.621797380108051,-6.283185307179586,7.38905610110213
-5.621797380108051,-5.621797380108051,1.8139060364944906
-5.621797380108051,-4.960409453036515,-6.498480887029667
-5.621797380108051,-4.29902152596498,-5.004471528693269
-5.621797380108051,-3.6376335988934447,4.041430625422648
-5.621797380108051,-2.9762456718219092,6.988696660313817
-5.621797380108051,-2.314857744750374,-0.61018341688147
-5.621797380108051,-1.6534698176788387,-7.288279005146133
-5.621797380108051,-0.9920818906073032,-2.9681500282342856
-5.621797380108051,-0.33069396353576774,5.831003494366802
-5.621797380108051,0.33069396353576774,5.831003494227816
-5.621797380108051,0.9920818906073032,-2.968150028634299
-5.621797380108051,1.6534698176788378,-7.288279005091749
-5.621797380108051,2.3148577447503733,-0.6101834168768276
-5.621797380108051,2.976245671821909,6.988696660517796
-5.621797380108051,3.6376335988934443,4.0414306244412135
-5.621797380108051,4.29902152596498,-5.0044715289723385
-5.621797380108051,4.960409453036515,-6.4984808878194755
-5.621797380108051,5.621797380108051,1.8139060363116273
-5.621797380108051,6.283185307179586,7.389056101131958
-4.960409453036515,-6.283185307179586,7.3890561010815485
-4.960409453036515,-5.621797380108051,1.8139060363460875
-4.960409453036515,-4.960409453036515,-6.498480887638965
-4.960409453036515,-4.29902152596498,-5.004471529186885
-4.960409453036515,-3.6376335988934447,4.041430624717013
-4.960409453036515,-2.9762456718219092,6.988696660379394
-4.960409453036515,-2.314857744750374,-0.6101834163341465
-4.960409453036515,-1.6534698176788387,-7.288279004797326
-4.960409453036515,-0.9920818906073032,-2.968150028395878
-4.960409453036515,-0.33069396353576774,5.831003494449048
-4.960409453036515,0.33069396353576774,5.8310034945118785
-4.960409453036515,0.9920818906073032,-2.9681500280073507
-4.960409453036515,1.6534698176788378,-7.288279005017016
-4.960409453036515,2.3148577447503733,-0.6101834163277925
-4.960409453036515,2.976245671821909,6.988696660303022
-4.960409453036515,3.6376335988934443,4.041430624769957
-4.960409453036515,4.29902152596498,-5.004471529075981
-4.960409453036515,4.960409453036515,-6.498480887273673
-4.960409453036515,5.621797380108051,1.8139060363013908
-4.960409453036515,6.283185307179586,7.389056100947897
-4.29902152596498,-6.283185307179586,7.389056101067584
-4.29902152596498,-5.621797380108051,1.8139060366935225
-4.29902152596498,-4.960409453036515,-6.498480887321088
-4.29902152596498,-4.29902152596498,-5.004471529343673
-4.29902152596498,-3.6376335988934447,4.04143062459321
-4.29902152596498,-2.9762456718219092,6.988696660626045
-4.29902152596498,-2.314857744750374,-0.6101834162006985
-4.29902152596498,-1.6534698176788387,-7.288279004959907
-4.29902152596498,-0.9920818906073032,-2.968150028120701
-4.29902152596498,-0.33069396353576774,5.831003494818646
-4.29902152596498,0.33069396353576774,5.831003494836117
-4.29902152596498,0.9920818906073032,-2.9681500280662236
-4.29902152596498,1.6534698176788378,-7.288279005039141
-4.29902152596498,2.3148577447503733,-0.6101834159090653
-4.29902152596498,2.976245671821909,6.988696659736806
-4.29902152596498,3.6376335988934443,4.041430625135083
-4.29902152596498,4.29902152596498,-5.004471529470045
-4.29902152596498,4.960409453036515,-6.498480887329271
-4.29902152596498,5.621797380108051,1.8139060364824244
-4.29902152596498,6.283185307179586,7.389056101099534
-3.6376335988934447,-6.283185307179586,7.389056100661687
-3.6376335988934447,-5.621797380108051,1.8139060367388071
-3.6376335988934447,-4.960409453036515,-6.498480887057031
-3.6376335988934447,-4.29902152596498,-5.004471529547014
-3.6376335988934447,-3.6376335988934447,4.041430625038486
-3.6376335988934447,-2.9762456718219092,6.98869666045918
-3.6376335988934447,-2.314857744750374,-0.6101834161548433
-3.6376335988934447,-1.6534698176788387,-7.2882790049118436
-3.6376335988934447,-0.9920818906073032,-2.968150027978627
-3.6376335988934447,-0.33069396353576774,5.831003494757203
-3.6376335988934447,0.33069396353576774,5.831003494896535
-3.6376335988934447,0.9920818906073032,-2.9681500277970074
-3.6376335988934447,1.6534698176788378,-7.28827900545476
-3.6376335988934447,2.3148577447503733,-0.6101834167199859
-3.6376335988934447,2.976245671821909,6.988696660690768
-3.6376335988934447,3.6376335988934443,4.0414306251852326
-3.6376335988934447,4.29902152596498,-5.004471528866486
-3.6376335988934447,4.960409453036515,-6.498480886773708
-3.6376335988934447,5.621797380108051,1.8139060368959044
-3.6376335988934447,6.283185307179586,7.389056100737868
-2.9762456718219092,-6.283185307179586,7.38905610103828
-2.9762456718219092,-5.621797380108051,1.813906036383036
-2.9762456718219092,-4.960409453036515,-6.498480887180882
-2.9762456718219092,-4.29902152596498,-5.004471529376034
-2.9762456718219092,-3.6376335988934447,4.041430624923734
-2.9762456718219092,-2.9762456718219092,6.988696660822696
-2.9762456718219092,-2.314857744750374,-0.6101834165616101
-2.9762456718219092,-1.6534698176788387,-7.288279005028601
-2.9762456718219092,-0.9920818906073032,-2.968150028519434
-2.9762456718219092,-0.33069396353576774,5.8310034948605285
-2.9762456718219092,0.33069396353576774,5.83100349478598
-2.9762456718219092,0.9920818906073032,-2.968150028231347
-2.9762456718219092,1.6534698176788378,-7.28827900498354
-2.9762456718219092,2.3148577447503733,-0.6101834165897128
-2.9762456718219092,2.976245671821909,6.98869666052099
-2.9762456718219092,3.6376335988934443,4.0414306249908805
-2.9762456718219092,4.29902152596498,-5.004471529324455
-2.9762456718219092,4.960409453036515,-6.498480886925814
-2.9762456718219092,5.621797380108051,1.813906036825414
-2.9762456718219092,6.283185307179586,7.3890561011517875
-2.314857744750374,-6.283185307179586,7.389056101122183
-2.314857744750374,-5.621797380108051,1.8139060364424775
-2.314857744750374,-4.960409453036515,-6.498480887557759
-2.314857744750374,-4.29902152596498,-5.004471529953953
-2.314857744750374,-3.6376335988934447,4.041430625250082
-2.314857744750374,-2.9762456718219092,6.988696660538401
-2.314857744750374,-2.314857744750374,-0.6101834160679978
-2.314857744750374,-1.6534698176788387,-7.288279005000484
-2.314857744750374,-0.9920818906073032,-2.9681500284166744
-2.314857744750374,-0.33069396353576774,5.831003494876895
-2.314857744750374,0.33069396353576774,5.831003494651983
-2.314857744750374,0.9920818906073032,-2.9681500283555913
-2.314857744750374,1.6534698176788378,-7.288279005936531
-2.314857744750374,2.3148577447503733,-0.6101834161496255
-2.314857744750374,2.976245671821909,6.988696660456773
-2.314857744750374,3.6376335988934443,4.041430625221563
-2.314857744750374,4.29902152596498,-5.004471529509751
-2.314857744750374,4.960409453036515,-6.498480887216069
-2.314857744750374,5.621797380108051,1.8139060366206277
-2.314857744750374,6.283185307179586,7.389056101142845
-1.6534698176788387,-6.283185307179586,7.389056099383306
-1.6534698176788387,-5.621797380108051,1.8139060362062234
-1.6534698176788387,-4.960409453036515,-6.498480885698196
-1.6534698176788387,-4.29902152596498,-5.004471528051603
-1.6534698176788387,-3.6376335988934447,4.041430624041743
-1.6534698176788387,-2.9762456718219092,6.988696658524713
-1.6534698176788387,-2.314857744750374,-0.6101834164342816
-1.6534698176788387,-1.6534698176788387,-7.288279003474954
-1.6534698176788387,-0.9920818906073032,-2.968150027293319
-1.6534698176788387,-0.33069396353576774,5.831003493709425
-1.6534698176788387,0.33069396353576774,5.831003493347079
-1.6534698176788387,0.9920818906073032,-2.9681500274520296
-1.6534698176788387,1.6534698176788378,-7.288279003463635
-1.6534698176788387,2.3148577447503733,-0.6101834162197048
-1.6534698176788387,2.976245671821909,6.98869665885876
-1.6534698176788387,3.6376335988934443,4.041430624276649
-1.6534698176788387,4.29902152596498,-5.0044715278736565
-1.6534698176788387,4.960409453036515,-6.498480885656142
-1.6534698176788387,5.621797380108051,1.81390603600383
-1.6534698176788387,6.283185307179586,7.389056099397219
-0.9920818906073032,-6.283185307179586,7.389056100022917
-0.9920818906073032,-5.621797380108051,1.8139060362294426
-0.9920818906073032,-4.960409453036515,-6.498480887106274
-0.9920818906073032,-4.29902152596498,-5.004471528446945
-0.9920818906073032,-3.6376335988934447,4.041430624449736
-0.9920818906073032,-2.9762456718219092,6.988696659788936
-0.9920818906073032,-2.314857744750374,-0.6101834169829097
-0.9920818906073032,-1.6534698176788387,-7.288279004611915
-0.9920818906073032,-0.9920818906073032,-2.9681500278793407
-0.9920818906073032,-0.33069396353576774,5.831003494099637
-0.9920818906073032,0.33069396353576774,5.831003493644967
-0.9920818906073032,0.9920818906073032,-2.9681500283021567
-0.9920818906073032,1.6534698176788378,-7.288279004769215
-0.9920818906073032,2.3148577447503733,-0.6101834168454023
-0.9920818906073032,2.976245671821909,6.988696659575506
-0.9920818906073032,3.6376335988934443,4.041430624889467
-0.9920818906073032,4.29902152596498,-5.004471529107489
-0.9920818906073032,4.960409453036515,-6.4984808861881715
-0.9920818906073032,5.621797380108051,1.813906036337438
-0.9920818906073032,6.283185307179586,7.3890561000878625
-0.33069396353576774,-6.283185307179586,7.389056099894237
-0.33069396353576774,-5.621797380108051,1.8139060360181511
-0.33069396353576774,-4.960409453036515,-6.498480885724704
-0.33069396353576774,-4.29902152596498,-5.004471528324092
-0.33069396353576774,-3.6376335988934447,4.041430624116625
-0.33069396353576774,-2.9762456718219092,6.988696658948708
-0.33069396353576774,-2.314857744750374,-0.6101834162361849
-0.33069396353576774,-1.6534698176788387,-7.288279004257561
-0.33069396353576774,-0.9920818906073032,-2.9681500275013746
-0.33069396353576774,-0.33069396353576774,5.831003493582532
-0.33069396353576774,0.33069396353576774,5.83100349332647
-0.33069396353576774,0.9920818906073032,-2.968150027507744
