phi,rho,detJ
-6.283185307179586,-6.283185307179586,7.241766926572127
-6.283185307179586,-5.621797380108051,7.241766926469045
-6.283185307179586,-4.960409453036515,7.241766926360072
-6.283185307179586,-4.29902152596498,7.241766926436583
-6.283185307179586,-3.6376335988934447,7.241766926075273
-6.283185307179586,-2.9762456718219092,7.241766926550456
-6.283185307179586,-2.314857744750374,7.2417669265005244
-6.283185307179586,-1.6534698176788387,7.241766924803748
-6.283185307179586,-0.9920818906073032,7.241766925471782
-6.283185307179586,-0.33069396353576774,7.241766925249766
-6.283185307179586,0.33069396353576774,7.2417669252457735
-6.283185307179586,0.9920818906073032,7.241766925535597
-6.283185307179586,1.6534698176788378,7.241766925232103
-6.283185307179586,2.3148577447503733,7.241766925832452
-6.283185307179586,2.976245671821909,7.24176692652238
-6.283185307179586,3.6376335988934443,7.241766926560716
-6.283185307179586,4.29902152596498,7.241766926478961
-6.283185307179586,4.960409453036515,7.241766926451299
-6.283185307179586,5.621797380108051,7.2417669265355356
-6.283185307179586,6.283185307179586,7.241766926572127
-5.621797380108051,-6.283185307179586,7.2417669264690465
-5.621797380108051,-5.621797380108051,7.241766926684919
-5.621797380108051,-4.960409453036515,7.2417669264345355
-5.621797380108051,-4.29902152596498,7.241766926177571
-5.621797380108051,-3.6376335988934447,7.241766926329543
-5.621797380108051,-2.9762456718219092,7.241766925886645
-5.621797380108051,-2.314857744750374,7.241766926574958
-5.621797380108051,-1.6534698176788387,7.24176692485791
-5.621797380108051,-0.9920818906073032,7.241766926519709
-5.621797380108051,-0.33069396353576774,7.241766924656834
-5.621797380108051,0.33069396353576774,7.2417669250459475
-5.621797380108051,0.9920818906073032,7.241766926105195
-5.621797380108051,1.6534698176788378,7.241766924693065
-5.621797380108051,2.3148577447503733,7.241766926054404
-5.621797380108051,2.976245671821909,7.241766926303428
-5.621797380108051,3.6376335988934443,7.241766925616733
-5.621797380108051,4.29902152596498,7.241766926543173
-5.621797380108051,4.960409453036515,7.241766927259979
-5.621797380108051,5.621797380108051,7.2417669254170525
-5.621797380108051,6.283185307179586,7.241766926497525
-4.960409453036515,-6.283185307179586,7.241766926360072
-4.960409453036515,-5.621797380108051,7.241766926306409
-4.960409453036515,-4.960409453036515,7.2417669271879115
-4.960409453036515,-4.29902152596498,7.241766926604081
-4.960409453036515,-3.6376335988934447,7.241766926422859
-4.960409453036515,-2.9762456718219092,7.241766926080533
-4.960409453036515,-2.314857744750374,7.2417669272651795
-4.960409453036515,-1.6534698176788387,7.241766924467734
-4.960409453036515,-0.9920818906073032,7.241766926578938
-4.960409453036515,-0.33069396353576774,7.241766924967006
-4.960409453036515,0.33069396353576774,7.241766925261964
-4.960409453036515,0.9920818906073032,7.241766926299157
-4.960409453036515,1.6534698176788378,7.241766924826716
-4.960409453036515,2.3148577447503733,7.2417669272023195
-4.960409453036515,2.976245671821909,7.241766926526429
-4.960409453036515,3.6376335988934443,7.241766926616649
-4.960409453036515,4.29902152596498,7.241766926678812
-4.960409453036515,4.960409453036515,7.241766926644456
-4.960409453036515,5.621797380108051,7.241766927139501
-4.960409453036515,6.283185307179586,7.241766926463339
-4.29902152596498,-6.283185307179586,7.241766926436583
-4.29902152596498,-5.621797380108051,7.241766925698197
-4.29902152596498,-4.960409453036515,7.241766926884884
-4.29902152596498,-4.29902152596498,7.2417669270067035
-4.29902152596498,-3.6376335988934447,7.241766926206467
-4.29902152596498,-2.9762456718219092,7.241766925772072
-4.29902152596498,-2.314857744750374,7.241766927190131
-4.29902152596498,-1.6534698176788387,7.241766924697851
-4.29902152596498,-0.9920818906073032,7.241766926042429
-4.29902152596498,-0.33069396353576774,7.241766925433049
-4.29902152596498,0.33069396353576774,7.241766925760407
-4.29902152596498,0.9920818906073032,7.241766925696548
-4.29902152596498,1.6534698176788378,7.241766924898773
-4.29902152596498,2.3148577447503733,7.241766926091307
-4.29902152596498,2.976245671821909,7.241766926584339
-4.29902152596498,3.6376335988934443,7.241766926358652
-4.29902152596498,4.29902152596498,7.241766926883801
-4.29902152596498,4.960409453036515,7.241766926683442
-4.29902152596498,5.621797380108051,7.241766926652996
-4.29902152596498,6.283185307179586,7.241766926478961
-3.6376335988934447,-6.283185307179586,7.241766926075273
-3.6376335988934447,-5.621797380108051,7.241766926786495
-3.6376335988934447,-4.960409453036515,7.241766926230957
-3.6376335988934447,-4.29902152596498,7.241766926755692
-3.6376335988934447,-3.6376335988934447,7.24176692657023
-3.6376335988934447,-2.9762456718219092,7.241766927011662
-3.6376335988934447,-2.314857744750374,7.241766927466574
-3.6376335988934447,-1.6534698176788387,7.241766924783623
-3.6376335988934447,-0.9920818906073032,7.24176692619931
-3.6376335988934447,-0.33069396353576774,7.2417669255531045
-3.6376335988934447,0.33069396353576774,7.241766925079052
-3.6376335988934447,0.9920818906073032,7.241766925948545
-3.6376335988934447,1.6534698176788378,7.24176692510295
-3.6376335988934447,2.3148577447503733,7.241766926644017
-3.6376335988934447,2.976245671821909,7.241766926469505
-3.6376335988934447,3.6376335988934443,7.241766927480387
-3.6376335988934447,4.29902152596498,7.241766926722613
-3.6376335988934447,4.960409453036515,7.241766926266865
-3.6376335988934447,5.621797380108051,7.2417669271287926
-3.6376335988934447,6.283185307179586,7.241766926150475
-2.9762456718219092,-6.283185307179586,7.241766926562702
-2.9762456718219092,-5.621797380108051,7.241766926463487
-2.9762456718219092,-4.960409453036515,7.241766926321293
-2.9762456718219092,-4.29902152596498,7.241766926447357
-2.9762456718219092,-3.6376335988934447,7.241766926782247
-2.9762456718219092,-2.9762456718219092,7.241766926855745
-2.9762456718219092,-2.314857744750374,7.241766927282951
-2.9762456718219092,-1.6534698176788387,7.241766924825667
-2.9762456718219092,-0.9920818906073032,7.241766926496199
-2.9762456718219092,-0.33069396353576774,7.241766925618174
-2.9762456718219092,0.33069396353576774,7.24176692568306
-2.9762456718219092,0.9920818906073032,7.241766926401448
-2.9762456718219092,1.6534698176788378,7.241766924731073
-2.9762456718219092,2.3148577447503733,7.241766926445021
-2.9762456718219092,2.976245671821909,7.241766926689736
-2.9762456718219092,3.6376335988934443,7.241766927154229
-2.9762456718219092,4.29902152596498,7.241766927221625
-2.9762456718219092,4.960409453036515,7.241766926390459
-2.9762456718219092,5.621797380108051,7.241766926708689
-2.9762456718219092,6.283185307179586,7.241766926437645
-2.314857744750374,-6.283185307179586,7.241766926479566
-2.314857744750374,-5.621797380108051,7.241766926082288
-2.314857744750374,-4.960409453036515,7.241766927021819
