val,detJ
-6.283185307179586,7.241766925834128
-6.156252270670907,7.24176692563441
-6.029319234162229,7.2417669253469485
-5.90238619765355,7.24176692546383
-5.775453161144872,7.241766925586937
-5.648520124636193,7.241766925117288
-5.521587088127515,7.241766925563441
-5.394654051618836,7.241766925308104
-5.267721015110158,7.241766925598165
-5.140787978601479,7.24176692511948
-5.013854942092801,7.24176692483555
-4.886921905584122,7.241766925221798
-4.759988869075444,7.241766925041733
-4.6330558325667655,7.24176692555516
-4.5061227960580865,7.241766925325885
-4.3791897595494085,7.24176692581734
-4.25225672304073,7.24176692494699
-4.1253236865320515,7.241766924345264
-3.998390650023373,7.241766925708729
-3.8714576135146945,7.241766925918178
-3.744524577006016,7.241766925555211
-3.6175915404973376,7.241766925198173
-3.490658503988659,7.241766925436898
-3.3637254674799806,7.241766925304758
-3.2367924309713016,7.241766925399371
-3.109859394462623,7.241766925365445
-2.9829263579539447,7.241766925931057
-2.855993321445266,7.241766925230544
-2.7290602849365877,7.241766925547459
-2.602127248427909,7.241766925909816
-2.4751942119192307,7.241766925613048
-2.3482611754105522,7.241766925368774
-2.2213281389018737,7.241766925600399
-2.094395102393195,7.241766925759504
-1.9674620658845168,7.241766924336039
-1.8405290293758378,7.241766924339293
-1.7135959928671598,7.241766924401079
-1.5866629563584809,7.241766923498942
-1.4597299198498028,7.241766923830826
-1.332796883341124,7.2417669236177025
-1.2058638468324459,7.241766923115948
-1.078930810323767,7.241766923765849
-0.9519977738150889,7.241766924985634
-0.82506473730641,7.241766924184768
-0.6981317007977319,7.241766924505836
-0.571198664289053,7.241766924307375
-0.4442656277803749,7.241766924214973
-0.317332591271696,7.241766924352151
-0.19039955476301706,7.241766924281917
-0.06346651825433902,7.2417669244076865
0.06346651825433991,7.241766924386834
0.19039955476301795,7.241766924686784
0.3173325912716969,7.241766924232802
0.4442656277803749,7.241766924266516
0.5711986642890539,7.2417669254771395
0.6981317007977319,7.241766924075553
0.8250647373064108,7.241766923944543
0.9519977738150889,7.2417669242011184
1.0789308103237678,7.241766923910728
1.2058638468324459,7.241766923245972
1.3327968833411248,7.241766924038438
1.4597299198498028,7.241766923797644
1.5866629563584818,7.241766924076406
1.7135959928671598,7.24176692428975
1.8405290293758387,7.241766923712756
1.9674620658845168,7.241766924014149
2.0943951023931966,7.241766925199275
2.2213281389018746,7.2417669248903245
2.3482611754105527,7.241766925846078
2.4751942119192307,7.241766925705842
2.6021272484279105,7.24176692594513
2.7290602849365886,7.241766925535301
2.8559933214452666,7.241766925496327
2.9829263579539447,7.241766925596215
3.1098593944626245,7.241766925815829
3.2367924309713025,7.241766925505693
3.3637254674799806,7.241766925019729
3.4906585039886586,7.241766925803424
3.6175915404973384,7.241766925457881
3.7445245770060165,7.241766925640792
3.8714576135146945,7.241766925718465
3.9983906500233743,7.241766925176715
4.125323686532052,7.241766925659432
4.25225672304073,7.241766924962065
4.3791897595494085,7.241766925559112
4.506122796058088,7.241766925307709
4.633055832566766,7.241766925272075
4.759988869075444,7.241766925588262
4.886921905584122,7.24176692545685
5.013854942092802,7.241766925471127
5.14078797860148,7.2417669258751864
5.267721015110158,7.241766925759885
5.394654051618836,7.241766925651993
5.521587088127516,7.241766925451971
5.648520124636194,7.241766925906083
5.775453161144872,7.241766925628906
5.902386197653552,7.241766925594566
6.02931923416223,7.241766925626674
6.156252270670908,7.2417669255795145
6.283185307179586,7.241766925832901
