val,detJ
-6.283185307179586,7.241766925832901
-6.156252270670907,7.241766925503199
-6.029319234162229,7.241766925158866
-5.90238619765355,7.24176692585147
-5.775453161144872,7.241766925892331
-5.648520124636193,7.241766925984864
-5.521587088127515,7.241766924957619
-5.394654051618836,7.241766925548378
-5.267721015110158,7.241766925831798
-5.140787978601479,7.241766925532497
-5.013854942092801,7.241766925420201
-4.886921905584122,7.2417669256488075
-4.759988869075444,7.2417669257104595
-4.6330558325667655,7.241766925092913
-4.5061227960580865,7.24176692531331
-4.3791897595494085,7.241766925606101
-4.25225672304073,7.2417669253664485
-4.1253236865320515,7.241766924984105
-3.998390650023373,7.241766925662608
-3.8714576135146945,7.241766925848157
-3.744524577006016,7.241766925469824
-3.6175915404973376,7.241766925150466
-3.490658503988659,7.241766925407148
-3.3637254674799806,7.2417669250747485
-3.2367924309713016,7.241766925505246
-3.109859394462623,7.2417669257932715
-2.9829263579539447,7.241766925717249
-2.855993321445266,7.241766925421124
-2.7290602849365877,7.241766925438471
-2.602127248427909,7.241766925490881
-2.4751942119192307,7.241766925484289
-2.3482611754105522,7.2417669255888795
-2.2213281389018737,7.241766924844408
-2.094395102393195,7.241766926435367
-1.9674620658845168,7.241766923970101
-1.8405290293758378,7.241766924187648
-1.7135959928671598,7.241766924186754
-1.5866629563584809,7.241766923969157
-1.4597299198498028,7.241766923913371
-1.332796883341124,7.241766924033057
-1.2058638468324459,7.241766923375077
-1.078930810323767,7.241766923744691
-0.9519977738150889,7.241766924368015
-0.82506473730641,7.2417669245833505
-0.6981317007977319,7.241766924526223
-0.571198664289053,7.2417669246342
-0.4442656277803749,7.241766924487324
-0.317332591271696,7.241766924065857
-0.19039955476301706,7.241766924418375
-0.06346651825433902,7.241766924498745
0.06346651825433991,7.2417669244732865
0.19039955476301795,7.241766924928189
0.3173325912716969,7.24176692393921
0.4442656277803749,7.241766924376953
0.5711986642890539,7.241766925346588
0.6981317007977319,7.241766925163918
0.8250647373064108,7.241766924925355
0.9519977738150889,7.241766924961234
1.0789308103237678,7.241766924188807
1.2058638468324459,7.241766923484881
1.3327968833411248,7.241766924151621
1.4597299198498028,7.241766923934365
1.5866629563584818,7.241766923478257
1.7135959928671598,7.241766924618598
1.8405290293758387,7.241766924196415
1.9674620658845168,7.24176692439636
2.0943951023931966,7.241766925502823
2.2213281389018746,7.241766924931219
2.3482611754105527,7.241766924957648
2.4751942119192307,7.241766925472248
2.6021272484279105,7.241766925677987
2.7290602849365886,7.2417669258516595
2.8559933214452666,7.241766925740814
2.9829263579539447,7.241766926104586
3.1098593944626245,7.241766925759456
3.2367924309713025,7.241766925510855
3.3637254674799806,7.241766925333858
3.4906585039886586,7.241766925525983
3.6175915404973384,7.24176692582594
3.7445245770060165,7.241766925499754
3.8714576135146945,7.241766925511198
3.9983906500233743,7.241766925086844
4.125323686532052,7.2417669257023105
4.25225672304073,7.241766925338338
4.3791897595494085,7.241766925761466
4.506122796058088,7.241766925758703
4.633055832566766,7.241766925635556
4.759988869075444,7.241766925638339
4.886921905584122,7.24176692541985
5.013854942092802,7.241766925897306
5.14078797860148,7.2417669252589185
5.267721015110158,7.241766925544815
5.394654051618836,7.24176692527785
5.521587088127516,7.2417669249786245
5.648520124636194,7.241766925387385
5.775453161144872,7.241766925794805
5.902386197653552,7.241766925325141
6.02931923416223,7.241766925807927
6.156252270670908,7.241766925800633
6.283185307179586,7.241766925834128
