val,detJ
-6.283185307179586,7.241766925832901
-6.156252270670907,7.241766925470454
-6.029319234162229,7.241766925226952
-5.90238619765355,7.241766925178027
-5.775453161144872,7.241766925628907
-5.648520124636193,7.24176692623951
-5.521587088127515,7.241766924809006
-5.394654051618836,7.241766925651996
-5.267721015110158,7.241766925759885
-5.140787978601479,7.2417669254152415
-5.013854942092801,7.241766925320745
-4.886921905584122,7.24176692545685
-4.759988869075444,7.241766925588262
-4.6330558325667655,7.241766925207711
-4.5061227960580865,7.241766925230609
-4.3791897595494085,7.241766925559112
-4.25225672304073,7.241766924962065
-4.1253236865320515,7.241766924599515
-3.998390650023373,7.241766925286821
-3.8714576135146945,7.241766925718461
-3.744524577006016,7.2417669256774255
-3.6175915404973376,7.241766925261953
-3.490658503988659,7.241766925442965
-3.3637254674799806,7.241766925019729
-3.2367924309713016,7.241766925448169
-3.109859394462623,7.24176692528588
-2.9829263579539447,7.241766925596215
-2.855993321445266,7.241766925429929
-2.7290602849365877,7.241766925296582
-2.602127248427909,7.241766925742092
-2.4751942119192307,7.241766925705842
-2.3482611754105522,7.241766925212803
-2.2213281389018737,7.24176692474987
-2.094395102393195,7.241766926285508
-1.9674620658845168,7.241766924014149
-1.8405290293758378,7.241766924196291
-1.7135959928671598,7.241766924289748
-1.5866629563584809,7.241766923933799
-1.4597299198498028,7.241766923797644
-1.332796883341124,7.241766924021048
-1.2058638468324459,7.241766923245972
-1.078930810323767,7.2417669239638025
-0.9519977738150889,7.2417669242011184
-0.82506473730641,7.241766924330337
-0.6981317007977319,7.241766924075553
-0.571198664289053,7.241766924280657
-0.4442656277803749,7.241766924266517
-0.317332591271696,7.2417669246974326
-0.19039955476301706,7.241766924439891
-0.06346651825433902,7.241766924259804
0.06346651825433991,7.241766924544752
0.19039955476301795,7.241766924729535
0.3173325912716969,7.241766924759064
0.4442656277803749,7.241766924214973
0.5711986642890539,7.2417669250740735
0.6981317007977319,7.241766924505834
0.8250647373064108,7.2417669245277905
0.9519977738150889,7.241766924985634
1.0789308103237678,7.241766924182549
1.2058638468324459,7.241766923115948
1.3327968833411248,7.2417669241896645
1.4597299198498028,7.241766923830826
1.5866629563584818,7.241766923451624
1.7135959928671598,7.241766924401079
1.8405290293758387,7.2417669239192834
1.9674620658845168,7.241766924336039
2.0943951023931966,7.241766925429033
2.2213281389018746,7.241766924854624
2.3482611754105527,7.2417669249320396
2.4751942119192307,7.241766925613051
2.6021272484279105,7.241766925810549
2.7290602849365886,7.241766925829957
2.8559933214452666,7.241766925655791
2.9829263579539447,7.241766925931057
3.1098593944626245,7.241766925828874
3.2367924309713025,7.241766925443457
3.3637254674799806,7.241766925304759
3.4906585039886586,7.241766925753924
3.6175915404973384,7.24176692564392
3.7445245770060165,7.2417669262388955
3.8714576135146945,7.24176692591818
3.9983906500233743,7.241766924595029
4.125323686532052,7.241766925900049
4.25225672304073,7.241766924946992
4.3791897595494085,7.24176692581734
4.506122796058088,7.241766925812404
4.633055832566766,7.241766925656656
4.759988869075444,7.241766925041735
4.886921905584122,7.241766925221796
5.013854942092802,7.241766925216106
5.14078797860148,7.2417669253831045
5.267721015110158,7.241766925598165
5.394654051618836,7.241766925308098
5.521587088127516,7.241766924978025
5.648520124636194,7.241766925649375
5.775453161144872,7.241766925586937
5.902386197653552,7.241766925023257
6.02931923416223,7.241766925831931
6.156252270670908,7.241766925551815
6.283185307179586,7.241766925834128
