val,detJ
-6.283185307179586,7.38905610037992
-6.156252270670907,7.1522272566446725
-6.029319234162229,6.456922069902404
-5.90238619765355,5.347711408833696
-5.775453161144872,3.8956985575306944
-5.648520124636193,2.1939613106322535
-5.521587088127515,0.35158544548147197
-5.394654051618836,-1.5133279600682028
-5.267721015110158,-3.281233112770195
-5.140787978601479,-4.838802700722513
-5.013854942092801,-6.086192468067268
-4.886921905584122,-6.94344149157201
-4.759988869075444,-7.3555978814773
-4.6330558325667655,-7.296241343875088
-4.5061227960580865,-6.76917678553754
-4.3791897595494085,-5.808190414881448
-4.25225672304073,-4.474883952626055
-4.1253236865320515,-2.854725807477539
-3.998390650023373,-1.0515723237850272
-3.8714576135146945,0.8189896770073631
-3.744524577006016,2.637052312576662
-3.6175915404973376,4.286073046022365
-3.490658503988659,5.660345365277309
-3.3637254674799806,6.671774845258205
-3.2367924309713016,7.255526230308573
-3.109859394462623,7.374179539463253
-2.9829263579539447,7.020128788331304
-2.855993321445266,6.2160695485857405
-2.7290602849365877,5.013544106259495
-2.602127248427909,3.489637465976424
-2.4751942119192307,1.7420360006532194
-2.3482611754105522,-0.11723449688667635
-2.2213281389018737,-1.9689899584907433
-2.094395102393195,-3.694528050053644
-1.9674620658845168,-5.183237297179533
-1.8405290293758378,-6.339687572422613
-1.7135959928671598,-7.089747408602145
-1.5866629563584809,-7.385336021495856
-1.4597299198498028,-7.207505415464811
-1.332796883341124,-6.567654992286525
-1.2058638468324459,-5.506800826358268
-1.078930810323767,-4.092946425907032
-0.9519977738150889,-2.416723529194907
-0.82506473730641,-0.5855823770199174
-0.6981317007977319,1.2830961262948348
-0.571198664289053,3.0695248352039184
-0.4442656277803749,4.659189030271534
-0.317332591271696,5.950187107839711
-0.19039955476301706,6.8597627375449255
-0.06346651825433902,7.329609759473412
0.06346651825433991,7.329609759768139
0.19039955476301795,6.859762737931277
0.3173325912716969,5.950187107819835
0.4442656277803749,4.659189030390634
0.5711986642890539,3.0695248356101783
0.6981317007977319,1.2830961261231955
0.8250647373064108,-0.58558237694808
0.9519977738150889,-2.416723529035231
1.0789308103237678,-4.092946426017793
1.2058638468324459,-5.506800826174363
1.3327968833411248,-6.5676549926383005
1.4597299198498028,-7.207505415199302
1.5866629563584818,-7.385336022104013
1.7135959928671598,-7.08974740848819
1.8405290293758387,-6.339687571691787
1.9674620658845168,-5.1832372971128455
2.0943951023931966,-3.6945280499871838
2.2213281389018746,-1.9689899583382253
2.3482611754105527,-0.11723449697490737
2.4751942119192307,1.7420360004984061
2.6021272484279105,3.4896374662550285
2.7290602849365886,5.013544106897913
2.8559933214452666,6.21606954855514
2.9829263579539447,7.020128788311237
3.1098593944626245,7.3741795398632854
3.2367924309713025,7.2555262303234604
3.3637254674799806,6.671774845455822
3.4906585039886586,5.660345365492477
3.6175915404973384,4.286073046210639
3.7445245770060165,2.6370523129592165
3.8714576135146945,0.8189896770655035
3.9983906500233743,-1.0515723239798833
4.125323686532052,-2.8547258078620623
4.25225672304073,-4.47488395280019
4.3791897595494085,-5.808190414865922
4.506122796058088,-6.769176785625387
4.633055832566766,-7.296241343618181
4.759988869075444,-7.3555978820524315
4.886921905584122,-6.943441491806973
5.013854942092802,-6.086192468598292
5.14078797860148,-4.838802701382921
5.267721015110158,-3.281233112746306
5.394654051618836,-1.513327959664213
5.521587088127516,0.35158544545478504
5.648520124636194,2.1939613107507663
5.775453161144872,3.895698557887971
5.902386197653552,5.347711408778057
6.02931923416223,6.456922070410195
6.156252270670908,7.152227256714214
6.283185307179586,7.389056100503071
