theta,rho,detJ
-6.283185307179586,-6.283185307179586,7.241766926572127
-6.283185307179586,-5.621797380108051,7.2417669265355356
-6.283185307179586,-4.960409453036515,7.241766926451301
-6.283185307179586,-4.29902152596498,7.241766926478961
-6.283185307179586,-3.6376335988934447,7.241766926150478
-6.283185307179586,-2.9762456718219092,7.241766926437647
-6.283185307179586,-2.314857744750374,7.241766926540945
-6.283185307179586,-1.6534698176788387,7.2417669248047085
-6.283185307179586,-0.9920818906073032,7.241766925535597
-6.283185307179586,-0.33069396353576774,7.241766925245772
-6.283185307179586,0.33069396353576774,7.241766925249766
-6.283185307179586,0.9920818906073032,7.241766925471782
-6.283185307179586,1.6534698176788378,7.241766925222657
-6.283185307179586,2.3148577447503733,7.241766925777051
-6.283185307179586,2.976245671821909,7.241766926498678
-6.283185307179586,3.6376335988934443,7.241766926543871
-6.283185307179586,4.29902152596498,7.241766926436583
-6.283185307179586,4.960409453036515,7.241766926360072
-6.283185307179586,5.621797380108051,7.241766926469047
-6.283185307179586,6.283185307179586,7.241766926572127
-5.621797380108051,-6.283185307179586,7.241766926497525
-5.621797380108051,-5.621797380108051,7.241766925417049
-5.621797380108051,-4.960409453036515,7.241766927259981
-5.621797380108051,-4.29902152596498,7.241766926543173
-5.621797380108051,-3.6376335988934447,7.241766926707932
-5.621797380108051,-2.9762456718219092,7.241766926270209
-5.621797380108051,-2.314857744750374,7.241766926664575
-5.621797380108051,-1.6534698176788387,7.2417669245449385
-5.621797380108051,-0.9920818906073032,7.241766926105195
-5.621797380108051,-0.33069396353576774,7.2417669250459475
-5.621797380108051,0.33069396353576774,7.241766924656834
-5.621797380108051,0.9920818906073032,7.241766926519709
-5.621797380108051,1.6534698176788378,7.241766924896432
-5.621797380108051,2.3148577447503733,7.2417669268608185
-5.621797380108051,2.976245671821909,7.241766926623132
-5.621797380108051,3.6376335988934443,7.241766925494162
-5.621797380108051,4.29902152596498,7.2417669261775695
-5.621797380108051,4.960409453036515,7.241766926434537
-5.621797380108051,5.621797380108051,7.241766926684918
-5.621797380108051,6.283185307179586,7.241766926469047
-4.960409453036515,-6.283185307179586,7.241766926463339
-4.960409453036515,-5.621797380108051,7.2417669271394995
-4.960409453036515,-4.960409453036515,7.241766926644456
-4.960409453036515,-4.29902152596498,7.241766926678812
-4.960409453036515,-3.6376335988934447,7.241766926510955
-4.960409453036515,-2.9762456718219092,7.241766926795199
-4.960409453036515,-2.314857744750374,7.241766926948843
-4.960409453036515,-1.6534698176788387,7.241766925427411
-4.960409453036515,-0.9920818906073032,7.241766926299155
-4.960409453036515,-0.33069396353576774,7.241766925261964
-4.960409453036515,0.33069396353576774,7.241766924967006
-4.960409453036515,0.9920818906073032,7.241766926578938
-4.960409453036515,1.6534698176788378,7.241766925168304
-4.960409453036515,2.3148577447503733,7.241766925818967
-4.960409453036515,2.976245671821909,7.241766926516754
-4.960409453036515,3.6376335988934443,7.241766926678425
-4.960409453036515,4.29902152596498,7.2417669266040825
-4.960409453036515,4.960409453036515,7.241766927187909
-4.960409453036515,5.621797380108051,7.241766926306409
-4.960409453036515,6.283185307179586,7.241766926360072
-4.29902152596498,-6.283185307179586,7.241766926478963
-4.29902152596498,-5.621797380108051,7.241766926652996
-4.29902152596498,-4.960409453036515,7.241766926683442
-4.29902152596498,-4.29902152596498,7.241766926883801
-4.29902152596498,-3.6376335988934447,7.241766926470241
-4.29902152596498,-2.9762456718219092,7.241766926735184
-4.29902152596498,-2.314857744750374,7.241766926715656
-4.29902152596498,-1.6534698176788387,7.241766925210608
-4.29902152596498,-0.9920818906073032,7.241766925696548
-4.29902152596498,-0.33069396353576774,7.2417669257604045
-4.29902152596498,0.33069396353576774,7.241766925433049
-4.29902152596498,0.9920818906073032,7.241766926042428
-4.29902152596498,1.6534698176788378,7.2417669247216425
-4.29902152596498,2.3148577447503733,7.241766927236195
-4.29902152596498,2.976245671821909,7.2417669260870134
-4.29902152596498,3.6376335988934443,7.2417669268769895
-4.29902152596498,4.29902152596498,7.2417669270067035
-4.29902152596498,4.960409453036515,7.241766926884882
-4.29902152596498,5.621797380108051,7.241766925698197
-4.29902152596498,6.283185307179586,7.241766926436585
-3.6376335988934447,-6.283185307179586,7.241766926150475
-3.6376335988934447,-5.621797380108051,7.2417669271287926
-3.6376335988934447,-4.960409453036515,7.241766926266868
-3.6376335988934447,-4.29902152596498,7.241766926722609
-3.6376335988934447,-3.6376335988934447,7.241766926874096
-3.6376335988934447,-2.9762456718219092,7.2417669266383475
-3.6376335988934447,-2.314857744750374,7.241766926597734
-3.6376335988934447,-1.6534698176788387,7.2417669253073855
-3.6376335988934447,-0.9920818906073032,7.241766925948546
-3.6376335988934447,-0.33069396353576774,7.241766925079052
-3.6376335988934447,0.33069396353576774,7.2417669255531045
-3.6376335988934447,0.9920818906073032,7.241766926199313
-3.6376335988934447,1.6534698176788378,7.241766925354577
-3.6376335988934447,2.3148577447503733,7.241766926213557
-3.6376335988934447,2.976245671821909,7.24176692670624
-3.6376335988934447,3.6376335988934443,7.2417669270683795
-3.6376335988934447,4.29902152596498,7.241766926755691
-3.6376335988934447,4.960409453036515,7.241766926230959
-3.6376335988934447,5.621797380108051,7.241766926786493
-3.6376335988934447,6.283185307179586,7.241766926075273
-2.9762456718219092,-6.283185307179586,7.241766926437647
-2.9762456718219092,-5.621797380108051,7.241766926708689
-2.9762456718219092,-4.960409453036515,7.241766926390459
-2.9762456718219092,-4.29902152596498,7.241766927221625
-2.9762456718219092,-3.6376335988934447,7.2417669264937725
-2.9762456718219092,-2.9762456718219092,7.241766927005003
-2.9762456718219092,-2.314857744750374,7.241766927116779
-2.9762456718219092,-1.6534698176788387,7.241766924570079
-2.9762456718219092,-0.9920818906073032,7.241766926401448
-2.9762456718219092,-0.33069396353576774,7.24176692568306
