param,val,profile_success,initial_energy,final_energy,energy_drift,initial_compact_radius_90,final_compact_radius_90,compact_radius_90_shift,initial_chirality_integral,final_chirality_integral,chirality_integral_shift
theta,-6.283185307179586,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
theta,-4.188790204786391,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
theta,-2.0943951023931957,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
theta,0.0,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
theta,2.094395102393195,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
theta,4.18879020478639,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
theta,6.283185307179586,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
phi,-6.283185307179586,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
phi,-4.188790204786391,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,-0.11679931703636134,-0.11675050012899348,4.881690736786848e-05
phi,-2.0943951023931957,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,-0.11679931703636107,-0.1167505001289932,4.881690736786848e-05
phi,0.0,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
phi,2.094395102393195,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,-0.11679931703636146,-0.11675050012899359,4.881690736786848e-05
phi,4.18879020478639,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,-0.1167993170363606,-0.11675050012899275,4.881690736784072e-05
phi,6.283185307179586,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
rho,-6.283185307179586,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
rho,-4.188790204786391,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
rho,-2.0943951023931957,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
rho,0.0,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
rho,2.094395102393195,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
rho,4.18879020478639,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
rho,6.283185307179586,True,0.0014512057301967528,0.0014518895967340962,6.838665373434197e-07,3.8890872965260117,3.9198129461883284,0.030725649662316723,0.2335986340727223,0.23350100025798662,-9.763381473568145e-05
