theta,phi,profile_success,energy_drift,compact_radius_90_shift,centroid_x_shift,chirality_integral_shift
-6.283185307179586,-6.283185307179586,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,-6.740533377797009e-05
-6.283185307179586,-2.0943951023931957,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,3.37026668890128e-05
-6.283185307179586,2.094395102393195,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,3.37026668890128e-05
-6.283185307179586,6.283185307179586,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,-6.740533377797009e-05
-2.0943951023931957,-6.283185307179586,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,-6.740533377797009e-05
-2.0943951023931957,-2.0943951023931957,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,3.37026668890128e-05
-2.0943951023931957,2.094395102393195,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,3.37026668890128e-05
-2.0943951023931957,6.283185307179586,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,-6.740533377797009e-05
2.094395102393195,-6.283185307179586,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,-6.740533377797009e-05
2.094395102393195,-2.0943951023931957,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,3.37026668890128e-05
2.094395102393195,2.094395102393195,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,3.37026668890128e-05
2.094395102393195,6.283185307179586,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,-6.740533377797009e-05
6.283185307179586,-6.283185307179586,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,-6.740533377797009e-05
6.283185307179586,-2.0943951023931957,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,3.37026668890128e-05
6.283185307179586,2.094395102393195,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,3.37026668890128e-05
6.283185307179586,6.283185307179586,True,5.22172335433663e-07,0.02863357459338678,0.05023039353852306,-6.740533377797009e-05
