step,time,total_energy,peak_qnorm,centroid_x,centroid_y,centroid_z,compact_radius_half,compact_radius_90,chirality_integral,weight_integral,seed
0.0,0.0,0.00117621231912792,0.03297442541400256,1.5814592106262642e-16,1.3837768092979812e-16,1.4331974096300518e-16,2.9618406439239773,3.8890872965260117,0.2335986340727223,0.2335986340727223,scalar
1.0,0.03,0.001176217307230328,0.03297412833502696,1.5814737692237447e-16,1.2849474374942926e-16,1.3220132289604741e-16,2.9618406439239773,3.8890872965260117,0.23359648363017205,0.23359648363017205,scalar
2.0,0.06,0.0011762321520692853,0.03297323711234574,0.0,1.0872932427529408e-16,1.3961833685350262e-16,2.9618406439239773,3.8890872965260113,0.2335900326895299,0.2335900326895299,scalar
3.0,0.09,0.0011762564971937676,0.032971751799401434,0.0,1.3838914523894468e-16,1.4703846681637873e-16,2.9618406439239773,3.8890872965260117,0.23357928250470297,0.23357928250470297,scalar
4.0,0.12,0.0011762897580432715,0.03296967249953588,1.5816921242228279e-16,1.3839806086949745e-16,1.3963375784154653e-16,2.9618406439239773,3.8890872965260117,0.23356423528095935,0.23356423528095935,scalar
5.0,0.15,0.0011763311389673136,0.03296699936598032,3.1636462255597095e-16,1.285231279133632e-16,1.2605152929964467e-16,2.9618406439239773,3.8890872965260117,0.23354489415368324,0.23354489415368324,scalar
6.0,0.18,0.0011763796562699394,0.0329637326018373,1.5819831840885554e-16,1.4831092350830206e-16,1.2853613370719512e-16,2.9618406439239773,3.8890872965260117,0.2335212631585984,0.2335212631585984,scalar
7.0,0.21,0.0011764341665088808,0.032959872460054114,0.0,1.4832865524464246e-16,1.334957897201782e-16,2.9618406439239773,3.8890872965260117,0.23349334719413845,0.23349334719413845,scalar
8.0,0.24,0.0011764933991073596,0.03295541924338664,0.0,1.3845916966331933e-16,1.3969541224959898e-16,2.9618406439239773,3.8890872965260117,0.23346115197681516,0.23346115197681516,scalar
9.0,0.27,0.0011765559921991383,0.032950373304353194,1.5826377276317762e-16,1.3848080116778042e-16,1.285893153700818e-16,2.9618406439239773,3.8890872965260117,0.23342468399058253,0.23342468399058253,scalar
