theta_pert,rho_pert,drift
-3.141592653589793,-3.141592653589793,2.4412676153378627
-3.141592653589793,-2.443460952792061,2.24655803426501
-3.141592653589793,-1.7453292519943295,2.0807230128380785
-3.141592653589793,-1.0471975511965979,1.9511389838238906
-3.141592653589793,-0.34906585039886595,1.8653761645981028
-3.141592653589793,0.34906585039886595,1.829607323967135
-3.141592653589793,1.0471975511965974,1.8467396967595853
-3.141592653589793,1.7453292519943293,1.9153542435986184
-3.141592653589793,2.443460952792061,2.0302379349634947
-3.141592653589793,3.141592653589793,2.184101666559617
-2.443460952792061,-3.141592653589793,2.216947840113547
-2.443460952792061,-2.443460952792061,2.0005232209118122
-2.443460952792061,-1.7453292519943295,1.8123130006267338
-2.443460952792061,-1.0471975511965979,1.6619306514665495
-2.443460952792061,-0.34906585039886595,1.5603520088548717
-2.443460952792061,0.34906585039886595,1.5174100026034119
-2.443460952792061,1.0471975511965974,1.5380239476920996
-2.443460952792061,1.7453292519943293,1.61976913001759
-2.443460952792061,2.443460952792061,1.7541197874294507
-2.443460952792061,3.141592653589793,1.93012182153231
-1.7453292519943295,-3.141592653589793,2.016203785603251
-1.7453292519943295,-2.443460952792061,1.7754754677843712
-1.7453292519943295,-1.7453292519943295,1.5603520088548724
-1.7453292519943295,-1.0471975511965979,1.3828353009598757
-1.7453292519943295,-0.34906585039886595,1.2589354117007725
-1.7453292519943295,0.34906585039886595,1.2053020763682634
-1.7453292519943295,1.0471975511965974,1.2311529730180366
-1.7453292519943295,1.7453292519943293,1.3318678665148058
-1.7453292519943295,2.443460952792061,1.4923659765447286
-1.7453292519943295,3.141592653589793,1.6957565347808516
-1.0471975511965979,-3.141592653589793,1.8467396967595862
-1.0471975511965979,-2.443460952792061,1.5804059412729818
-1.0471975511965979,-1.7453292519943295,1.3341919629664405
-1.0471975511965979,-1.0471975511965979,1.1214291204028892
-1.0471975511965979,-0.34906585039886595,0.9645144754439932
-1.0471975511965979,0.34906585039886595,0.8933772427169022
-1.0471975511965979,1.0471975511965974,0.9279587520347864
-1.0471975511965979,1.7453292519943293,1.057942255683886
-1.0471975511965979,2.443460952792061,1.254003991403181
-1.0471975511965979,3.141592653589793,1.4902885719748271
-0.34906585039886595,-3.141592653589793,1.717837924050038
-0.34906585039886595,-2.443460952792061,1.4276563189114515
-0.34906585039886595,-1.7453292519943295,1.1491683165494513
-0.34906585039886595,-1.0471975511965979,0.8933772427169018
-0.34906585039886595,-0.34906585039886595,0.6861543551256217
-0.34906585039886595,0.34906585039886595,0.581929998815417
-0.34906585039886595,1.0471975511965974,0.6337405393335781
-0.34906585039886595,1.7453292519943293,0.8122570049426261
-0.34906585039886595,2.443460952792061,1.0550097801309548
-0.34906585039886595,3.141592653589793,1.3272074643685614
0.34906585039886595,-3.141592653589793,1.6390962699705747
0.34906585039886595,-2.443460952792061,1.3318678665148067
0.34906585039886595,-1.7453292519943295,1.0277437757962862
0.34906585039886595,-1.0471975511965979,0.730610940741624
0.34906585039886595,-0.34906585039886595,0.45439767603363085
0.34906585039886595,0.34906585039886595,0.2726022238504629
0.34906585039886595,1.0471975511965974,0.3705354505600257
0.34906585039886595,1.7453292519943293,0.6288329595411424
0.34906585039886595,2.443460952792061,0.9212573392374536
0.34906585039886595,3.141592653589793,1.2235804437806828
1.0471975511965974,-3.141592653589793,1.6178553255369923
1.0471975511965974,-2.443460952792061,1.3056382676651521
1.0471975511965974,-1.7453292519943295,0.993517257436912
1.0471975511965974,-1.0471975511965979,0.6816242504989953
1.0471975511965974,-0.34906585039886595,0.37053545056002524
1.0471975511965974,0.34906585039886595,0.07163270611371785
1.0471975511965974,1.0471975511965974,0.2609900232933773
1.0471975511965974,1.7453292519943293,0.5711831257506023
1.0471975511965974,2.443460952792061,0.8829124289734678
1.0471975511965974,3.141592653589793,1.1949763071038224
1.7453292519943293,-3.141592653589793,1.6563287565321718
1.7453292519943293,-2.443460952792061,1.3530189877967944
1.7453292519943293,-1.7453292519943295,1.0550097801309553
1.7453292519943293,-1.0471975511965979,0.7684924945731874
1.7453292519943293,-0.34906585039886595,0.5130941584823628
1.7453292519943293,0.34906585039886595,0.36207780922362176
1.7453292519943293,1.0471975511965974,0.44055066406224014
1.7453292519943293,1.7453292519943293,0.6724724964556034
1.7453292519943293,2.443460952792061,0.9515794515345695
1.7453292519943293,3.141592653589793,1.2465702827704872
2.443460952792061,-3.141592653589793,1.7505838649640497
2.443460952792061,-2.443460952792061,1.4668944406110898
2.443460952792061,-1.7453292519943295,1.19756609618385
2.443460952792061,-1.0471975511965979,0.9548296354703179
2.443460952792061,-0.34906585039886595,0.7644504784652723
2.443460952792061,0.34906585039886595,0.6724724964556076
2.443460952792061,1.0471975511965974,0.7177769891566185
2.443460952792061,1.7453292519943293,0.8793964845542033
2.443460952792061,2.443460952792061,1.1075298511281273
2.443460952792061,3.141592653589793,1.3693269837564555
3.141592653589793,-3.141592653589793,1.8923035195336857
3.141592653589793,-2.443460952792061,1.633416065080427
3.141592653589793,-1.7453292519943295,1.3965791407922896
3.141592653589793,-1.0471975511965979,1.1949763071038204
3.141592653589793,-0.34906585039886595,1.049120238958761
3.141592653589793,0.34906585039886595,0.9841178792483861
3.141592653589793,1.0471975511965974,1.0156143696944449
3.141592653589793,1.7453292519943293,1.1356086116322803
3.141592653589793,2.443460952792061,1.3201860145096962
3.141592653589793,3.141592653589793,1.5463910017232563
