phi_pert,rho_pert,drift
-3.141592653589793,-3.141592653589793,2.010296717398634
-3.141592653589793,-2.443460952792061,1.768764632054524
-3.141592653589793,-1.7453292519943295,1.5527116855489558
-3.141592653589793,-1.0471975511965979,1.3742083744773328
-3.141592653589793,-0.34906585039886595,1.249453303544009
-3.141592653589793,0.34906585039886595,1.1953946135902114
-3.141592653589793,1.0471975511965974,1.2214552099336242
-3.141592653589793,1.7453292519943293,1.322908613910101
-3.141592653589793,2.443460952792061,1.4843757593180864
-3.141592653589793,3.141592653589793,1.6887289338892744
-2.443460952792061,-3.141592653589793,1.8419714641329448
-2.443460952792061,-2.443460952792061,1.5748315167989608
-2.443460952792061,-1.7453292519943295,1.3275841069915757
-2.443460952792061,-1.0471975511965979,1.1135594457324554
-2.443460952792061,-0.34906585039886595,0.9553530972542964
-2.443460952792061,0.34906585039886595,0.8834785027926998
-2.443460952792061,1.0471975511965974,0.9184328024250517
-2.443460952792061,1.7453292519943293,1.0495966765638525
-2.443460952792061,2.443460952792061,1.246971281765336
-2.443460952792061,3.141592653589793,1.4843757593180864
-1.7453292519943295,-3.141592653589793,1.7145187898026846
-1.7453292519943295,-2.443460952792061,1.4236608136103606
-1.7453292519943295,-1.7453292519943295,1.1442007546943054
-1.7453292519943295,-1.0471975511965979,0.8869782664115125
-1.7453292519943295,-0.34906585039886595,0.6778018488760381
-1.7453292519943295,0.34906585039886595,0.5720577512832328
-1.7453292519943295,1.0471975511965974,0.6246876167147324
-1.7453292519943295,1.7453292519943293,0.8052136296414033
-1.7453292519943295,2.443460952792061,1.049596676563852
-1.7453292519943295,3.141592653589793,1.3229086139101007
-1.0471975511965979,-3.141592653589793,1.637510399876261
-1.0471975511965979,-2.443460952792061,1.3299156895556064
-1.0471975511965979,-1.7453292519943295,1.0252126589929857
-1.0471975511965979,-1.0471975511965979,0.7270461293500035
-1.0471975511965979,-0.34906585039886595,0.4486434836885806
-1.0471975511965979,0.34906585039886595,0.26289864952045505
-1.0471975511965979,1.0471975511965974,0.36345597751747377
-1.0471975511965979,1.7453292519943293,0.6246876167147329
-1.0471975511965979,2.443460952792061,0.9184328024250515
-1.0471975511965979,3.141592653589793,1.2214552099336242
-0.34906585039886595,-3.141592653589793,1.6181643186121146
-0.34906585039886595,-2.443460952792061,1.3060211306302287
-0.34906585039886595,-1.7453292519943295,0.9940203461126764
-0.34906585039886595,-1.0471975511965979,0.6823573305309462
-0.34906585039886595,-0.34906585039886595,0.3718822767795242
-0.34906585039886595,0.34906585039886595,0.07830167460646018
-0.34906585039886595,1.0471975511965974,0.2628986495204555
-0.34906585039886595,1.7453292519943293,0.5720577512832337
-0.34906585039886595,2.443460952792061,0.8834785027926998
-0.34906585039886595,3.141592653589793,1.1953946135902114
0.34906585039886595,-3.141592653589793,1.6584996344786922
0.34906585039886595,-2.443460952792061,1.3556756504375254
0.34906585039886595,-1.7453292519943295,1.058414722130466
0.34906585039886595,-1.0471975511965979,0.773160269327043
0.34906585039886595,-0.34906585039886595,0.5200593267303926
0.34906585039886595,0.34906585039886595,0.3718822767795242
0.34906585039886595,1.0471975511965974,0.44864348368858087
0.34906585039886595,1.7453292519943293,0.6778018488760389
0.34906585039886595,2.443460952792061,0.9553530972542964
0.34906585039886595,3.141592653589793,1.249453303544009
1.0471975511965974,-3.141592653589793,1.7544047812043124
1.0471975511965974,-2.443460952792061,1.4714521969591141
1.0471975511965974,-1.7453292519943295,1.2031445560567973
1.0471975511965974,-1.0471975511965979,0.9618169788543254
1.0471975511965974,-0.34906585039886595,0.7731602693270428
1.0471975511965974,0.34906585039886595,0.682357330530946
1.0471975511965974,1.0471975511965974,0.7270461293500036
1.0471975511965974,1.7453292519943293,0.8869782664115129
1.0471975511965974,2.443460952792061,1.1135594457324554
1.0471975511965974,3.141592653589793,1.3742083744773328
1.7453292519943293,-3.141592653589793,1.8974722812914022
1.7453292519943293,-2.443460952792061,1.6394012595738878
1.7453292519943293,-1.7453292519943295,1.4035746309782582
1.7453292519943293,-1.0471975511965979,1.2031445560567973
1.7453292519943293,-0.34906585039886595,1.0584147221304658
1.7453292519943293,0.34906585039886595,0.9940203461126763
1.7453292519943293,1.0471975511965974,1.0252126589929857
1.7453292519943293,1.7453292519943293,1.1442007546943058
1.7453292519943293,2.443460952792061,1.3275841069915757
1.7453292519943293,3.141592653589793,1.5527116855489558
2.443460952792061,-3.141592653589793,2.0779835907523174
2.443460952792061,-2.443460952792061,1.8453322831021912
2.443460952792061,-1.7453292519943295,1.6394012595738878
2.443460952792061,-1.0471975511965979,1.4714521969591141
2.443460952792061,-0.34906585039886595,1.3556756504375254
2.443460952792061,0.34906585039886595,1.3060211306302287
2.443460952792061,1.0471975511965974,1.3299156895556066
2.443460952792061,1.7453292519943293,1.423660813610361
2.443460952792061,2.443460952792061,1.5748315167989608
2.443460952792061,3.141592653589793,1.768764632054524
3.141592653589793,-3.141592653589793,2.2870899352261254
3.141592653589793,-2.443460952792061,2.0779835907523174
3.141592653589793,-1.7453292519943295,1.8974722812914022
3.141592653589793,-1.0471975511965979,1.7544047812043126
3.141592653589793,-0.34906585039886595,1.6584996344786922
3.141592653589793,0.34906585039886595,1.6181643186121146
3.141592653589793,1.0471975511965974,1.637510399876261
3.141592653589793,1.7453292519943293,1.7145187898026848
3.141592653589793,2.443460952792061,1.8419714641329448
3.141592653589793,3.141592653589793,2.010296717398634
