omega,final_mass,half_radius,compactness_ratio
0.1,1.9213525538904304,2.970099999999981,0.6468982707284073
0.2,1.8101037688984893,2.8100999999999843,0.6441421191055476
0.30000000000000004,1.6918994465093498,2.640099999999988,0.6408467279683941
0.4,1.5635248294208701,2.450099999999992,0.6381473529328906
0.5,1.447163470326642,2.270099999999996,0.6374888640705892
0.6,1.325785418791235,2.0900999999999996,0.6343167402474691
0.7000000000000001,1.209060319868517,1.9101000000000015,0.6329827338194419
0.8,1.1086314234408152,1.7401000000000013,0.6371078808349028
0.9,1.0085754924398336,1.5901000000000012,0.6342843169862479
1.0,0.9080290762317152,1.440100000000001,0.6305319604414378
