theta,rho,phi_fixed,lambda_phi,lambda_plus,lambda_minus,detJ,gap_active_scale,anisotropy_ratio
-6.283185307179586,-6.283185307179586,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,-5.497787143782138,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,-4.71238898038469,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,-3.9269908169872414,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,-3.141592653589793,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,-2.356194490192345,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,-1.5707963267948966,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,-0.7853981633974483,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,0.0,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,0.7853981633974483,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,1.5707963267948966,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,2.356194490192344,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,3.141592653589793,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,3.9269908169872423,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,4.71238898038469,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,5.497787143782137,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-6.283185307179586,6.283185307179586,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,-6.283185307179586,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,-5.497787143782138,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,-4.71238898038469,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,-3.9269908169872414,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,-3.141592653589793,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,-2.356194490192345,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,-1.5707963267948966,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,-0.7853981633974483,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,0.0,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,0.7853981633974483,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,1.5707963267948966,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,2.356194490192344,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,3.141592653589793,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,3.9269908169872423,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,4.71238898038469,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,5.497787143782137,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-5.497787143782138,6.283185307179586,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,-6.283185307179586,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,-5.497787143782138,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,-4.71238898038469,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,-3.9269908169872414,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,-3.141592653589793,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,-2.356194490192345,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,-1.5707963267948966,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,-0.7853981633974483,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,0.0,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,0.7853981633974483,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,1.5707963267948966,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,2.356194490192344,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
-4.71238898038469,3.141592653589793,0.39269908169872414,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,5.828427124746188
