theta,phi,lambda_phi,lambda_plus,lambda_minus,detJ,gap_active_scale,anisotropy_ratio
-6.283185307179586,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
-5.497787143782138,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
-4.71238898038469,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
-3.9269908169872414,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
-3.141592653589793,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
-2.356194490192345,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
-1.5707963267948966,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
-0.7853981633974483,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
0.0,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
0.7853981633974483,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
1.5707963267948966,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
2.356194490192344,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
3.141592653589793,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
3.9269908169872423,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
4.71238898038469,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
5.497787143782137,-6.283185307179586,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,1.0000000000000009
