phi,omega,lambda_phi,lambda_plus,lambda_minus,detJ,gap_active_scale,gap_unit_scale,anisotropy_ratio,sheet_role
-5.497787143782138,0.5,2.718281828459045,5.43656365691809,0.0,-3.1671443650964773e-15,5.43656365691809,2.0,inf,lambda_minus_zero
-3.9269908169872414,0.5,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,2.0,inf,lambda_plus_zero
-2.356194490192345,0.5,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,2.0,inf,lambda_minus_zero
-0.7853981633974483,0.5,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,2.0,inf,lambda_plus_zero
0.0,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,0.0,1.0,regular
0.39269908169872414,0.5,2.718281828459045,4.640397342538603,0.7961663143794869,5.22485167412168,3.844231028159116,1.414213562373095,5.828427124746188,regular
0.7853981633974483,0.5,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,2.0,inf,lambda_minus_zero
2.356194490192345,0.5,2.718281828459045,0.0,5.43656365691809,-1.3573475850413473e-15,5.43656365691809,2.0,inf,lambda_plus_zero
3.9269908169872414,0.5,2.718281828459045,5.43656365691809,0.0,2.2622459750689125e-15,5.43656365691809,2.0,inf,lambda_minus_zero
5.497787143782138,0.5,2.718281828459045,0.0,5.43656365691809,-3.1671443650964773e-15,5.43656365691809,2.0,inf,lambda_plus_zero
