phi,omega,lambda_phi,lambda_plus,lambda_minus,detJ,gap_active_scale,gap_unit_scale,anisotropy_ratio
-6.283185307179586,0.5,2.718281828459045,2.7182818284590464,2.7182818284590438,7.38905609893065,2.6645352591003757e-15,9.797174393178826e-16,1.0000000000000009
-5.890486225480862,0.5,2.718281828459045,4.640397342538606,0.7961663143794843,5.224851674121673,3.8442310281591214,1.414213562373097,5.828427124746211
-5.497787143782138,0.5,2.718281828459045,5.43656365691809,0.0,-3.1671443650964773e-15,5.43656365691809,2.0,inf
-5.105088062083414,0.5,2.718281828459045,4.640397342538605,0.7961663143794857,-5.224851674121677,3.844231028159119,1.4142135623730958,5.8284271247462
-4.71238898038469,0.5,2.718281828459045,2.718281828459044,2.7182818284590464,-7.38905609893065,2.220446049250313e-15,7.347880794884119e-16,1.0000000000000009
-4.319689898685965,0.5,2.718281828459045,0.7961663143794845,4.640397342538606,-5.224851674121673,3.844231028159121,1.4142135623730967,5.828427124746209
-3.9269908169872414,0.5,2.718281828459045,0.0,5.43656365691809,2.2622459750689125e-15,5.43656365691809,2.0,inf
-3.5342917352885173,0.5,2.718281828459045,0.7961663143794873,4.640397342538603,5.224851674121681,3.8442310281591157,1.4142135623730947,5.828427124746186
-3.141592653589793,0.5,2.718281828459045,2.7182818284590455,2.7182818284590446,7.38905609893065,8.881784197001252e-16,4.898587196589413e-16,1.0000000000000002
-2.748893571891069,0.5,2.718281828459045,4.640397342538604,0.7961663143794864,5.224851674121679,3.8442310281591174,1.4142135623730954,5.828427124746193
-2.356194490192345,0.5,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,2.0,inf
-1.9634954084936211,0.5,2.718281828459045,4.640397342538605,0.7961663143794855,-5.224851674121676,3.844231028159119,1.414213562373096,5.828427124746201
-1.5707963267948966,0.5,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,2.4492935982947064e-16,1.0000000000000002
-1.178097245096172,0.5,2.718281828459045,0.7961663143794848,4.640397342538606,-5.224851674121674,3.844231028159121,1.4142135623730965,5.828427124746208
-0.7853981633974483,0.5,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,2.0,inf
-0.3926990816987246,0.5,2.718281828459045,0.7961663143794852,4.640397342538605,5.224851674121675,3.8442310281591197,1.4142135623730963,5.828427124746204
0.0,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,0.0,1.0
0.3926990816987246,0.5,2.718281828459045,4.640397342538605,0.7961663143794852,5.224851674121675,3.8442310281591197,1.4142135623730963,5.828427124746204
0.7853981633974483,0.5,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,2.0,inf
1.178097245096172,0.5,2.718281828459045,4.640397342538606,0.7961663143794848,-5.224851674121674,3.844231028159121,1.4142135623730965,5.828427124746208
1.5707963267948966,0.5,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,2.4492935982947064e-16,1.0000000000000002
1.9634954084936211,0.5,2.718281828459045,0.7961663143794855,4.640397342538605,-5.224851674121676,3.844231028159119,1.414213562373096,5.828427124746201
2.356194490192344,0.5,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,2.0,inf
2.7488935718910685,0.5,2.718281828459045,0.7961663143794845,4.640397342538606,5.224851674121674,3.844231028159121,1.4142135623730967,5.828427124746209
3.141592653589793,0.5,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,4.898587196589413e-16,1.0000000000000002
3.5342917352885177,0.5,2.718281828459045,4.640397342538605,0.7961663143794857,5.224851674121677,3.844231028159119,1.4142135623730958,5.8284271247462
3.9269908169872423,0.5,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,2.0,inf
4.319689898685965,0.5,2.718281828459045,4.640397342538606,0.7961663143794845,-5.224851674121673,3.844231028159121,1.4142135623730967,5.828427124746209
4.71238898038469,0.5,2.718281828459045,2.7182818284590464,2.718281828459044,-7.38905609893065,2.220446049250313e-15,7.347880794884119e-16,1.0000000000000009
5.105088062083414,0.5,2.718281828459045,0.7961663143794857,4.640397342538605,-5.224851674121677,3.844231028159119,1.4142135623730958,5.8284271247462
5.497787143782137,0.5,2.718281828459045,0.0,5.43656365691809,-1.6292744703144072e-14,5.43656365691809,2.0,inf
5.890486225480862,0.5,2.718281828459045,0.7961663143794843,4.640397342538606,5.224851674121673,3.8442310281591214,1.414213562373097,5.828427124746211
6.283185307179586,0.5,2.718281828459045,2.7182818284590438,2.7182818284590464,7.38905609893065,2.6645352591003757e-15,9.797174393178826e-16,1.0000000000000009
