phi,omega,effective_w_stiffness,effective_phi_stiffness,effective_pair_symmetric_stiffness,effective_pair_antisymmetric_stiffness,theta_rho_mixing
-6.283185307179586,0.5,2.718281828459045,2.718281828459045,2.7182818284590464,2.7182818284590438,1.3315740561611136e-15
-6.086835766330224,0.5,2.718281828459045,2.718281828459045,3.7585232487094067,1.6780404082086833,1.0402414202503618
-5.890486225480862,0.5,2.718281828459045,2.718281828459045,4.640397342538606,0.7961663143794843,1.922115514079561
-5.6941366846315,0.5,2.718281828459045,2.718281828459045,5.229646773369714,0.20691688354837678,2.5113649449106683
-5.497787143782138,0.5,2.718281828459045,2.718281828459045,5.43656365691809,0.0,2.718281828459045
-5.301437602932776,0.5,2.718281828459045,2.718281828459045,5.229646773369713,0.20691688354837767,2.5113649449106674
-5.105088062083414,0.5,2.718281828459045,2.718281828459045,4.640397342538605,0.7961663143794857,1.9221155140795594
-4.908738521234052,0.5,2.718281828459045,2.718281828459045,3.758523248709405,1.6780404082086853,1.0402414202503598
-4.71238898038469,0.5,2.718281828459045,2.718281828459045,2.718281828459044,2.7182818284590464,-9.986805421208352e-16
-4.516039439535327,0.5,2.718281828459045,2.718281828459045,1.6780404082086835,3.7585232487094067,-1.0402414202503616
-4.319689898685965,0.5,2.718281828459045,2.718281828459045,0.7961663143794845,4.640397342538606,-1.9221155140795605
-4.123340357836604,0.5,2.718281828459045,2.718281828459045,0.20691688354837678,5.229646773369714,-2.5113649449106683
-3.9269908169872414,0.5,2.718281828459045,2.718281828459045,0.0,5.43656365691809,-2.718281828459045
-3.730641276137879,0.5,2.718281828459045,2.718281828459045,0.2069168835483774,5.229646773369713,-2.511364944910668
-3.5342917352885173,0.5,2.718281828459045,2.718281828459045,0.7961663143794873,4.640397342538603,-1.9221155140795578
-3.3379421944391554,0.5,2.718281828459045,2.718281828459045,1.678040408208685,3.7585232487094054,-1.04024142025036
-3.141592653589793,0.5,2.718281828459045,2.718281828459045,2.7182818284590455,2.7182818284590446,6.657870280805568e-16
-2.945243112740431,0.5,2.718281828459045,2.718281828459045,3.7585232487094067,1.678040408208684,1.0402414202503611
-2.748893571891069,0.5,2.718281828459045,2.718281828459045,4.640397342538604,0.7961663143794864,1.9221155140795587
-2.552544031041707,0.5,2.718281828459045,2.718281828459045,5.229646773369713,0.2069168835483771,2.511364944910668
-2.356194490192345,0.5,2.718281828459045,2.718281828459045,5.43656365691809,0.0,2.718281828459045
-2.1598449493429825,0.5,2.718281828459045,2.718281828459045,5.229646773369713,0.2069168835483774,2.511364944910668
-1.9634954084936211,0.5,2.718281828459045,2.718281828459045,4.640397342538605,0.7961663143794855,1.9221155140795596
-1.7671458676442588,0.5,2.718281828459045,2.718281828459045,3.7585232487094054,1.6780404082086848,1.0402414202503603
-1.5707963267948966,0.5,2.718281828459045,2.718281828459045,2.7182818284590446,2.7182818284590455,-3.328935140402784e-16
-1.3744467859455343,0.5,2.718281828459045,2.718281828459045,1.6780404082086842,3.758523248709406,-1.040241420250361
-1.178097245096172,0.5,2.718281828459045,2.718281828459045,0.7961663143794848,4.640397342538606,-1.9221155140795603
-0.9817477042468106,0.5,2.718281828459045,2.718281828459045,0.2069168835483771,5.229646773369713,-2.511364944910668
-0.7853981633974483,0.5,2.718281828459045,2.718281828459045,0.0,5.43656365691809,-2.718281828459045
-0.589048622548086,0.5,2.718281828459045,2.718281828459045,0.2069168835483774,5.229646773369713,-2.511364944910668
-0.3926990816987246,0.5,2.718281828459045,2.718281828459045,0.7961663143794852,4.640397342538605,-1.92211551407956
-0.1963495408493623,0.5,2.718281828459045,2.718281828459045,1.6780404082086844,3.7585232487094054,-1.0402414202503607
0.0,0.5,2.718281828459045,2.718281828459045,2.718281828459045,2.718281828459045,0.0
0.1963495408493623,0.5,2.718281828459045,2.718281828459045,3.7585232487094054,1.6780404082086844,1.0402414202503607
0.3926990816987246,0.5,2.718281828459045,2.718281828459045,4.640397342538605,0.7961663143794852,1.92211551407956
0.589048622548086,0.5,2.718281828459045,2.718281828459045,5.229646773369713,0.2069168835483774,2.511364944910668
