theta,omega,lambda_phi,lambda_plus,lambda_minus,detJ,gap_active_scale,anisotropy_ratio
-6.283185307179586,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-5.890486225480862,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-5.497787143782138,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-5.105088062083414,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-4.71238898038469,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-4.319689898685965,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-3.9269908169872414,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-3.5342917352885173,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-3.141592653589793,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-2.748893571891069,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-2.356194490192345,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-1.9634954084936211,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-1.5707963267948966,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-1.178097245096172,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-0.7853981633974483,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-0.3926990816987246,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
0.0,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
0.3926990816987246,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
0.7853981633974483,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
1.178097245096172,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
1.5707963267948966,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
1.9634954084936211,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
2.356194490192344,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
2.7488935718910685,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
3.141592653589793,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
3.5342917352885177,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
3.9269908169872423,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
4.319689898685965,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
4.71238898038469,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
5.105088062083414,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
5.497787143782137,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
5.890486225480862,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
6.283185307179586,0.5,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
