phi,rho,l_plus,l_minus
-6.283185307179586,-6.283185307179586,2.7182818284590464,2.7182818284590438
-6.283185307179586,-6.026728764029399,2.7182818284590464,2.7182818284590438
-6.283185307179586,-5.770272220879212,2.7182818284590464,2.7182818284590438
-6.283185307179586,-5.513815677729025,2.7182818284590464,2.7182818284590438
-6.283185307179586,-5.257359134578838,2.7182818284590464,2.7182818284590438
-6.283185307179586,-5.00090259142865,2.7182818284590464,2.7182818284590438
-6.283185307179586,-4.744446048278463,2.7182818284590464,2.7182818284590438
-6.283185307179586,-4.487989505128276,2.7182818284590464,2.7182818284590438
-6.283185307179586,-4.231532961978089,2.7182818284590464,2.7182818284590438
-6.283185307179586,-3.9750764188279017,2.7182818284590464,2.7182818284590438
-6.283185307179586,-3.7186198756777147,2.7182818284590464,2.7182818284590438
-6.283185307179586,-3.462163332527527,2.7182818284590464,2.7182818284590438
-6.283185307179586,-3.20570678937734,2.7182818284590464,2.7182818284590438
-6.283185307179586,-2.949250246227153,2.7182818284590464,2.7182818284590438
-6.283185307179586,-2.6927937030769655,2.7182818284590464,2.7182818284590438
-6.283185307179586,-2.4363371599267785,2.7182818284590464,2.7182818284590438
-6.283185307179586,-2.1798806167765914,2.7182818284590464,2.7182818284590438
-6.283185307179586,-1.9234240736264043,2.7182818284590464,2.7182818284590438
-6.283185307179586,-1.6669675304762173,2.7182818284590464,2.7182818284590438
-6.283185307179586,-1.4105109873260302,2.7182818284590464,2.7182818284590438
-6.283185307179586,-1.1540544441758431,2.7182818284590464,2.7182818284590438
-6.283185307179586,-0.8975979010256552,2.7182818284590464,2.7182818284590438
-6.283185307179586,-0.6411413578754681,2.7182818284590464,2.7182818284590438
-6.283185307179586,-0.38468481472528104,2.7182818284590464,2.7182818284590438
-6.283185307179586,-0.12822827157509398,2.7182818284590464,2.7182818284590438
-6.283185307179586,0.1282282715750931,2.7182818284590464,2.7182818284590438
-6.283185307179586,0.38468481472528016,2.7182818284590464,2.7182818284590438
-6.283185307179586,0.6411413578754672,2.7182818284590464,2.7182818284590438
-6.283185307179586,0.8975979010256552,2.7182818284590464,2.7182818284590438
-6.283185307179586,1.1540544441758422,2.7182818284590464,2.7182818284590438
-6.283185307179586,1.4105109873260293,2.7182818284590464,2.7182818284590438
-6.283185307179586,1.6669675304762164,2.7182818284590464,2.7182818284590438
-6.283185307179586,1.9234240736264034,2.7182818284590464,2.7182818284590438
-6.283185307179586,2.1798806167765914,2.7182818284590464,2.7182818284590438
-6.283185307179586,2.4363371599267776,2.7182818284590464,2.7182818284590438
-6.283185307179586,2.6927937030769655,2.7182818284590464,2.7182818284590438
-6.283185307179586,2.9492502462271517,2.7182818284590464,2.7182818284590438
-6.283185307179586,3.2057067893773397,2.7182818284590464,2.7182818284590438
-6.283185307179586,3.462163332527526,2.7182818284590464,2.7182818284590438
-6.283185307179586,3.718619875677714,2.7182818284590464,2.7182818284590438
-6.283185307179586,3.9750764188279,2.7182818284590464,2.7182818284590438
