var1,var2,E_theta_i,E_theta_j,E_theta_k,E_phi_i,E_phi_j,E_phi_k
-6.283185307179586,-6.283185307179586,1.0,-4.898587196589413e-16,4.898587196589413e-16,4.898587196589413e-16,1.0,0.0
-6.283185307179586,-6.156252270670907,0.9679487013963559,-0.2511479871810805,4.898587196589413e-16,0.2511479871810805,0.9679487013963559,0.0
-6.283185307179586,-6.029319234162229,0.8738493770697848,-0.48619673610046904,4.898587196589413e-16,0.48619673610046904,0.8738493770697848,0.0
-6.283185307179586,-5.90238619765355,0.7237340381050693,-0.6900790114821128,4.898587196589412e-16,0.6900790114821128,0.7237340381050693,0.0
-6.283185307179586,-5.775453161144872,0.5272254676105023,-0.8497254299495146,4.898587196589414e-16,0.8497254299495146,0.5272254676105023,0.0
-6.283185307179586,-5.648520124636193,0.29692037532827376,-0.9549022414440743,4.898587196589414e-16,0.9549022414440743,0.29692037532827376,0.0
-6.283185307179586,-5.521587088127515,0.047581915823742105,-0.998867339183008,4.898587196589413e-16,0.998867339183008,0.047581915823742105,0.0
-6.283185307179586,-5.394654051618836,-0.2048066680651917,-0.9788024462147785,4.898587196589413e-16,0.9788024462147785,-0.2048066680651917,0.0
-6.283185307179586,-5.267721015110158,-0.4440666126057742,-0.8959937742913358,4.898587196589412e-16,0.8959937742913358,-0.4440666126057742,0.0
-6.283185307179586,-5.140787978601479,-0.6548607339452857,-0.7557495743542577,4.898587196589413e-16,0.7557495743542577,-0.6548607339452857,0.0
-6.283185307179586,-5.013854942092801,-0.8236765814298328,-0.5670598638627709,4.898587196589413e-16,0.5670598638627709,-0.8236765814298328,0.0
-6.283185307179586,-4.886921905584122,-0.9396926207859086,-0.342020143325668,4.898587196589413e-16,0.342020143325668,-0.9396926207859086,0.0
-6.283185307179586,-4.759988869075444,-0.9954719225730846,-0.09505604330418284,4.898587196589412e-16,0.09505604330418284,-0.9954719225730846,0.0
-6.283185307179586,-4.6330558325667655,-0.9874388886763942,0.15800139597335056,4.898587196589412e-16,-0.15800139597335056,-0.9874388886763942,0.0
-6.283185307179586,-4.5061227960580865,-0.9161084574320689,0.400930535406615,4.898587196589413e-16,-0.400930535406615,-0.9161084574320689,0.0
-6.283185307179586,-4.3791897595494085,-0.786053094742787,0.6181589862206056,4.898587196589413e-16,-0.6181589862206056,-0.786053094742787,0.0
-6.283185307179586,-4.25225672304073,-0.605609687137667,0.7957618405308319,4.898587196589413e-16,-0.7957618405308319,-0.605609687137667,0.0
-6.283185307179586,-4.1253236865320515,-0.38634512569312823,0.9223542941045817,4.898587196589413e-16,-0.9223542941045817,-0.38634512569312823,0.0
-6.283185307179586,-3.998390650023373,-0.14231483827328478,0.9898214418809328,4.898587196589413e-16,-0.9898214418809328,-0.14231483827328478,0.0
-6.283185307179586,-3.8714576135146945,0.11083819990101129,0.9938384644612541,4.898587196589413e-16,-0.9938384644612541,0.11083819990101129,0.0
-6.283185307179586,-3.744524577006016,0.35688622159187205,0.9341478602651065,4.898587196589412e-16,-0.9341478602651065,0.35688622159187205,0.0
-6.283185307179586,-3.6175915404973376,0.5800569095711983,0.8145759520503355,4.898587196589412e-16,-0.8145759520503355,0.5800569095711983,0.0
-6.283185307179586,-3.490658503988659,0.7660444431189781,0.6427876096865393,4.898587196589413e-16,-0.6427876096865393,0.7660444431189781,0.0
-6.283185307179586,-3.3637254674799806,0.9029265382866212,0.4297949120891715,4.898587196589413e-16,-0.4297949120891715,0.9029265382866212,0.0
-6.283185307179586,-3.2367924309713016,0.9819286972627069,0.18925124436040927,4.898587196589414e-16,-0.18925124436040927,0.9819286972627069,0.0
-6.283185307179586,-3.109859394462623,0.9979866764718842,-0.06342391965656541,4.898587196589412e-16,0.06342391965656541,0.9979866764718842,0.0
-6.283185307179586,-2.9829263579539447,0.9500711177409451,-0.3120334456984879,4.898587196589413e-16,0.3120334456984879,0.9500711177409451,0.0
-6.283185307179586,-2.855993321445266,0.8412535328311808,-0.5406408174555982,4.898587196589412e-16,0.5406408174555982,0.8412535328311808,0.0
-6.283185307179586,-2.7290602849365877,0.6785094115571317,-0.7345917086575338,4.898587196589413e-16,0.7345917086575338,0.6785094115571317,0.0
-6.283185307179586,-2.602127248427909,0.47227107477268215,-0.8814533634475823,4.898587196589413e-16,0.8814533634475823,0.47227107477268215,0.0
-6.283185307179586,-2.4751942119192307,0.23575893550942661,-0.9718115683235419,4.898587196589414e-16,0.9718115683235419,0.23575893550942661,0.0
-6.283185307179586,-2.3482611754105522,-0.015865963834808483,-0.999874127673875,4.898587196589413e-16,0.999874127673875,-0.015865963834808483,0.0
-6.283185307179586,-2.2213281389018737,-0.2664738136900355,-0.963842158559942,4.898587196589414e-16,0.963842158559942,-0.2664738136900355,0.0
-6.283185307179586,-2.094395102393195,-0.5000000000000011,-0.8660254037844378,4.898587196589413e-16,0.8660254037844378,-0.5000000000000011,0.0
-6.283185307179586,-1.9674620658845168,-0.7014748877063215,-0.7126941713788626,4.898587196589414e-16,0.7126941713788626,-0.7014748877063215,0.0
-6.283185307179586,-1.8405290293758378,-0.8579834132349777,-0.5136773915734053,4.898587196589413e-16,0.5136773915734053,-0.8579834132349777,0.0
-6.283185307179586,-1.7135959928671598,-0.9594929736144976,-0.28173255684142945,4.898587196589413e-16,0.28173255684142945,-0.9594929736144976,0.0
-6.283185307179586,-1.5866629563584809,-0.9994965423831852,-0.031727933498066525,4.898587196589412e-16,0.031727933498066525,-0.9994965423831852,0.0
-6.283185307179586,-1.4597299198498028,-0.9754297868854069,0.2203105327865408,4.898587196589414e-16,-0.2203105327865408,-0.9754297868854069,0.0
-6.283185307179586,-1.332796883341124,-0.8888354486549229,0.4582265217274113,4.898587196589412e-16,-0.4582265217274113,-0.8888354486549229,0.0
-6.283185307179586,-1.2058638468324459,-0.7452644496757546,0.6667690005162916,4.898587196589412e-16,-0.6667690005162916,-0.7452644496757546,0.0
-6.283185307179586,-1.078930810323767,-0.5539200638661096,0.8325698546347718,4.898587196589413e-16,-0.8325698546347718,-0.5539200638661096,0.0
-6.283185307179586,-0.9519977738150889,-0.32706796331742166,0.9450008187146685,4.898587196589413e-16,-0.9450008187146685,-0.32706796331742166,0.0
-6.283185307179586,-0.82506473730641,-0.07924995685678765,0.9968547759519425,4.898587196589414e-16,-0.9968547759519425,-0.07924995685678765,0.0
