angle_val,E_theta_i,E_theta_j,E_theta_k,E_phi_i,E_phi_j,E_phi_k,E_rho_k
-6.283185307179586,1.0,0.0,0.0,0.0,1.0,0.0,1
-6.156252270670907,1.0,0.0,0.0,0.0,1.0,0.0,1
-6.029319234162229,1.0,0.0,0.0,0.0,1.0,0.0,1
-5.90238619765355,1.0,0.0,0.0,0.0,1.0,0.0,1
-5.775453161144872,1.0,0.0,0.0,0.0,1.0,0.0,1
-5.648520124636193,1.0,0.0,0.0,0.0,1.0,0.0,1
-5.521587088127515,1.0,0.0,0.0,0.0,1.0,0.0,1
-5.394654051618836,1.0,0.0,0.0,0.0,1.0,0.0,1
-5.267721015110158,1.0,0.0,0.0,0.0,1.0,0.0,1
-5.140787978601479,1.0,0.0,0.0,0.0,1.0,0.0,1
-5.013854942092801,1.0,0.0,0.0,0.0,1.0,0.0,1
-4.886921905584122,1.0,0.0,0.0,0.0,1.0,0.0,1
-4.759988869075444,1.0,0.0,0.0,0.0,1.0,0.0,1
-4.6330558325667655,1.0,0.0,0.0,0.0,1.0,0.0,1
-4.5061227960580865,1.0,0.0,0.0,0.0,1.0,0.0,1
-4.3791897595494085,1.0,0.0,0.0,0.0,1.0,0.0,1
-4.25225672304073,1.0,0.0,0.0,0.0,1.0,0.0,1
-4.1253236865320515,1.0,0.0,0.0,0.0,1.0,0.0,1
-3.998390650023373,1.0,0.0,0.0,0.0,1.0,0.0,1
-3.8714576135146945,1.0,0.0,0.0,0.0,1.0,0.0,1
-3.744524577006016,1.0,0.0,0.0,0.0,1.0,0.0,1
-3.6175915404973376,1.0,0.0,0.0,0.0,1.0,0.0,1
-3.490658503988659,1.0,0.0,0.0,0.0,1.0,0.0,1
-3.3637254674799806,1.0,0.0,0.0,0.0,1.0,0.0,1
-3.2367924309713016,1.0,0.0,0.0,0.0,1.0,0.0,1
-3.109859394462623,1.0,0.0,0.0,0.0,1.0,0.0,1
-2.9829263579539447,1.0,0.0,0.0,0.0,1.0,0.0,1
-2.855993321445266,1.0,0.0,0.0,0.0,1.0,0.0,1
-2.7290602849365877,1.0,0.0,0.0,0.0,1.0,0.0,1
-2.602127248427909,1.0,0.0,0.0,0.0,1.0,0.0,1
-2.4751942119192307,1.0,0.0,0.0,0.0,1.0,0.0,1
-2.3482611754105522,1.0,0.0,0.0,0.0,1.0,0.0,1
-2.2213281389018737,1.0,0.0,0.0,0.0,1.0,0.0,1
