theta,rho,detJ,rankJ
-6.283185307179586,-6.283185307179586,0.0,3
-6.283185307179586,-5.890486225480862,0.0,3
-6.283185307179586,-5.497787143782138,0.0,3
-6.283185307179586,-5.105088062083414,0.0,3
-6.283185307179586,-4.71238898038469,0.0,3
-6.283185307179586,-4.319689898685965,0.0,3
-6.283185307179586,-3.9269908169872414,0.0,3
-6.283185307179586,-3.5342917352885173,0.0,3
-6.283185307179586,-3.141592653589793,0.0,3
-6.283185307179586,-2.748893571891069,0.0,3
-6.283185307179586,-2.356194490192345,0.0,3
-6.283185307179586,-1.9634954084936207,0.0,3
-6.283185307179586,-1.5707963267948966,0.0,3
-6.283185307179586,-1.1780972450961724,0.0,3
-6.283185307179586,-0.7853981633974483,0.0,3
-6.283185307179586,-0.39269908169872414,0.0,3
-6.283185307179586,0.0,0.0,3
-6.283185307179586,0.39269908169872414,0.0,3
-6.283185307179586,0.7853981633974483,0.0,3
-6.283185307179586,1.1780972450961724,0.0,3
-6.283185307179586,1.5707963267948966,0.0,3
-6.283185307179586,1.9634954084936207,0.0,3
-6.283185307179586,2.356194490192345,0.0,3
-6.283185307179586,2.748893571891069,0.0,3
-6.283185307179586,3.141592653589793,0.0,3
-6.283185307179586,3.5342917352885173,0.0,3
-6.283185307179586,3.9269908169872414,0.0,3
-6.283185307179586,4.319689898685965,0.0,3
-6.283185307179586,4.71238898038469,0.0,3
-6.283185307179586,5.105088062083414,0.0,3
-6.283185307179586,5.497787143782138,0.0,3
-6.283185307179586,5.890486225480862,0.0,3
-6.283185307179586,6.283185307179586,0.0,3
-5.890486225480862,-6.283185307179586,0.0,3
-5.890486225480862,-5.890486225480862,0.0,3
-5.890486225480862,-5.497787143782138,0.0,3
-5.890486225480862,-5.105088062083414,0.0,3
-5.890486225480862,-4.71238898038469,0.0,3
-5.890486225480862,-4.319689898685965,0.0,3
-5.890486225480862,-3.9269908169872414,0.0,3
-5.890486225480862,-3.5342917352885173,0.0,3
-5.890486225480862,-3.141592653589793,0.0,3
-5.890486225480862,-2.748893571891069,0.0,3
-5.890486225480862,-2.356194490192345,0.0,3
-5.890486225480862,-1.9634954084936207,0.0,3
-5.890486225480862,-1.5707963267948966,0.0,3
-5.890486225480862,-1.1780972450961724,0.0,3
-5.890486225480862,-0.7853981633974483,0.0,3
-5.890486225480862,-0.39269908169872414,0.0,3
-5.890486225480862,0.0,0.0,3
-5.890486225480862,0.39269908169872414,0.0,3
-5.890486225480862,0.7853981633974483,0.0,3
-5.890486225480862,1.1780972450961724,0.0,3
-5.890486225480862,1.5707963267948966,0.0,3
-5.890486225480862,1.9634954084936207,0.0,3
-5.890486225480862,2.356194490192345,0.0,3
-5.890486225480862,2.748893571891069,0.0,3
-5.890486225480862,3.141592653589793,0.0,3
-5.890486225480862,3.5342917352885173,0.0,3
-5.890486225480862,3.9269908169872414,0.0,3
-5.890486225480862,4.319689898685965,0.0,3
-5.890486225480862,4.71238898038469,0.0,3
-5.890486225480862,5.105088062083414,0.0,3
