value,detJ,rankJ,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
-6.283185307179586,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,4.898587196589413e-16,0.0
-6.086835766330224,18.55661646283281,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.38268343236509056,0.0
-5.890486225480862,14.202619362158767,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.7071067811865485,0.0
-5.6941366846315,7.686402210661204,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.9238795325112866,0.0
-5.497787143782138,0.0,3,2.117000016612675,2.117000016612675,2.117000016612675,0.0,1.0,0.0
-5.301437602932776,-7.686402210661219,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.9238795325112864,0.0
-5.105088062083414,-14.202619362158774,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.7071067811865478,0.0
-4.908738521234052,-18.556616462832807,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.38268343236508984,0.0
-4.71238898038469,-20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-3.6739403974420594e-16,0.0
-4.516039439535327,-18.55661646283281,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.38268343236509045,0.0
-4.319689898685965,-14.202619362158767,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.7071067811865482,0.0
-4.123340357836604,-7.686402210661204,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.9238795325112866,0.0
-3.9269908169872414,0.0,3,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-1.0000000000000002,0.0
-3.730641276137879,7.6864022106612175,4,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-0.9238795325112863,0.0
-3.5342917352885173,14.20261936215879,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.7071067811865474,0.0
-3.3379421944391554,18.556616462832807,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.38268343236508995,0.0
-3.141592653589793,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,2.4492935982947064e-16,0.0
-2.945243112740431,18.55661646283281,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.3826834323650904,0.0
-2.748893571891069,14.202619362158782,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.7071067811865477,0.0
-2.552544031041707,7.686402210661209,4,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.9238795325112865,0.0
-2.356194490192345,0.0,3,2.117000016612675,2.117000016612675,2.117000016612675,0.0,1.0,0.0
-2.1598449493429825,-7.6864022106612175,4,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.9238795325112863,0.0
-1.9634954084936207,-14.20261936215878,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.7071067811865474,0.0
-1.7671458676442586,-18.556616462832807,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.38268343236508956,0.0
-1.5707963267948966,-20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-1.2246467991473532e-16,0.0
-1.3744467859455345,-18.556616462832807,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.3826834323650899,0.0
-1.1780972450961724,-14.202619362158782,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.7071067811865476,0.0
-0.9817477042468103,-7.686402210661204,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.9238795325112868,0.0
-0.7853981633974483,0.0,3,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-1.0,0.0
-0.5890486225480862,7.686402210661204,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.9238795325112866,0.0
-0.39269908169872414,14.202619362158783,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.7071067811865475,0.0
-0.19634954084936207,18.556616462832807,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.3826834323650897,0.0
0.0,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
0.19634954084936207,18.556616462832807,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.3826834323650897,0.0
0.39269908169872414,14.202619362158783,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.7071067811865475,0.0
