value,detJ,rankJ,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
-6.283185307179586,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-6.086835766330224,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-5.890486225480862,20.08553692318767,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-5.6941366846315,20.08553692318767,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-5.497787143782138,20.08553692318767,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-5.301437602932776,20.08553692318768,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-5.105088062083414,20.085536923187668,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-4.908738521234052,20.085536923187664,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-4.71238898038469,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-4.516039439535327,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-4.319689898685965,20.08553692318767,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-4.123340357836604,20.08553692318767,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-3.9269908169872414,20.08553692318768,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-3.730641276137879,20.08553692318768,4,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0
-3.5342917352885173,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-3.3379421944391554,20.085536923187664,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-3.141592653589793,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-2.945243112740431,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-2.748893571891069,20.08553692318767,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-2.552544031041707,20.08553692318768,4,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0
-2.356194490192345,20.085536923187675,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
-2.1598449493429825,20.08553692318768,4,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0
-1.9634954084936207,20.085536923187664,4,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0
