label,family,source,dynamics_mode,closure_mode,success,failure_reason,steps,r_final,horizon_hit,regularity_ok,boundary_residual_qnorm,boundary_residual_state_prime_norm,final_mass,integrated_abs_ricci,peak_qnorm,half_mass_radius,mass_90_radius,ricci_half_radius,ricci_90_radius,settling_radius,core_radius,soft_region_width,theta_total_shift,phi_total_shift,rho_total_shift,omega_seed,theta_seed,phi_seed,rho_seed,w0,theta0,phi0,rho0,notes
continuation_00,continuation,linear_ordered_path_scalar_to_rich,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.011066977174822804,0.09646569594005977,0.05943756285506182,0.004307895242972155,0.024428055163203403,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.860999999999876,20.000000000000327,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-3.712023005428146,0.0,0.0,0.0,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_01,continuation,linear_ordered_path_scalar_to_rich,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.011486776444798431,0.09651977890252116,0.0640621421589423,0.004643272145847163,0.025361499935814383,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.860999999999876,20.000000000000327,0.0,0.0,0.0,0.23750000000000002,0.39269908169872414,-0.19634954084936207,0.19634954084936207,-3.674523005428146,0.39269908169872414,-0.19634954084936207,0.19634954084936207,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_02,continuation,linear_ordered_path_scalar_to_rich,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.01192224760131459,0.09657812548705805,0.06904614534117531,0.005004746882491801,0.026330613497352433,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.860999999999876,20.000000000000327,0.0,0.0,0.0,0.275,0.7853981633974483,-0.39269908169872414,0.39269908169872414,-3.637023005428146,0.7853981633974483,-0.39269908169872414,0.39269908169872414,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_03,continuation,linear_ordered_path_scalar_to_rich,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.012373945233268378,0.09664107615337646,0.07441744256129545,0.0053943483654623646,0.02733675882347593,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.860999999999876,20.000000000000327,0.0,0.0,0.0,0.3125,1.1780972450961724,-0.5890486225480862,0.5890486225480862,-3.599523005428146,1.1780972450961724,-0.5890486225480862,0.5890486225480862,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_04,continuation,linear_ordered_path_scalar_to_rich,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.012842439794862387,0.09670899925340166,0.0802060545052201,0.005814262924507777,0.02838135097186515,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.35,1.5707963267948966,-0.7853981633974483,0.7853981633974483,-3.562023005428146,1.5707963267948966,-0.7853981633974483,0.7853981633974483,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_05,continuation,linear_ordered_path_scalar_to_rich,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.013328317566015255,0.09678229343083807,0.08644431657850594,0.006266846468043277,0.029465859072380318,14.670999999999731,19.00100000000017,14.29099999999974,18.87100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.3875,1.9634954084936207,-0.9817477042468103,0.9817477042468103,-3.524523005428146,1.9634954084936207,-0.9817477042468103,0.9817477042468103,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_06,continuation,linear_ordered_path_scalar_to_rich,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.01383218053195448,0.09686139024554331,0.09316705534287803,0.006754637575498348,0.030591808393267573,14.670999999999731,19.00100000000017,14.28099999999974,18.87100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.425,2.356194490192345,-1.1780972450961724,1.1780972450961724,-3.487023005428146,2.356194490192345,-1.1780972450961724,1.1780972450961724,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_07,continuation,linear_ordered_path_scalar_to_rich,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.014354646168959833,0.09694675704667444,0.10041177805856726,0.007280371590316836,0.03176078248631887,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.4625,2.748893571891069,-1.3744467859455345,1.3744467859455345,-3.449523005428146,2.748893571891069,-1.3744467859455345,1.3744467859455345,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
continuation_08,continuation,linear_ordered_path_scalar_to_rich,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,3.141592653589793,-1.5707963267948966,1.5707963267948966,-3.412023005428146,3.141592653589793,-1.5707963267948966,1.5707963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_00,rich_neighborhood,ordered_rich_anchor_neighborhood,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,2.891592653589793,-1.8207963267948966,1.3207963267948966,-3.412023005428146,2.891592653589793,-1.8207963267948966,1.3207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_01,rich_neighborhood,ordered_rich_anchor_neighborhood,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,2.891592653589793,-1.8207963267948966,1.5707963267948966,-3.412023005428146,2.891592653589793,-1.8207963267948966,1.5707963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_02,rich_neighborhood,ordered_rich_anchor_neighborhood,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,2.891592653589793,-1.8207963267948966,1.8207963267948966,-3.412023005428146,2.891592653589793,-1.8207963267948966,1.8207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_03,rich_neighborhood,ordered_rich_anchor_neighborhood,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,2.891592653589793,-1.5707963267948966,1.3207963267948966,-3.412023005428146,2.891592653589793,-1.5707963267948966,1.3207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_04,rich_neighborhood,ordered_rich_anchor_neighborhood,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,2.891592653589793,-1.5707963267948966,1.5707963267948966,-3.412023005428146,2.891592653589793,-1.5707963267948966,1.5707963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
rich_nbhd_05,rich_neighborhood,ordered_rich_anchor_neighborhood,baseline_pullback,minimal_trace,True,,2000,20.001000000000328,False,True,0.014896347121438898,0.09703890012152258,0.1082188762467994,0.007846995788363861,0.03297442541400256,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0,0.5,2.891592653589793,-1.5707963267948966,1.8207963267948966,-3.412023005428146,2.891592653589793,-1.5707963267948966,1.8207963267948966,"Pullback ordered-variable runtime using the exact Jacobian-induced metric G on (w,theta,phi,rho). dynamics_mode=baseline_pullback. exploratory_directional adds small angular potentials built from cos(2phi), sin(2phi), and theta-rho separation; baseline_pullback keeps only the norm potential."
