phi,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,1.6102075683530544e-16,5.449933308271876e-16,4.954484825701706e-17
-6.234097921967246,2.117000016612675,2.117000016612675,2.117000016612675,8.670348444977986e-17,0.09801714032956071,0.0
-6.1850105367549055,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.19509032201612816,0.0
-6.135923151542564,2.117000016612675,2.117000016612675,2.117000016612675,4.335174222488993e-17,0.29028467725446355,-3.7158636192762793e-17
-6.086835766330224,2.117000016612675,2.117000016612675,2.117000016612675,8.051037841765272e-17,0.3826834323650906,-3.7158636192762793e-17
-6.037748381117884,2.117000016612675,2.1170000166126752,2.117000016612675,4.3351742224889916e-17,0.4713967368259981,8.670348444977983e-17
-5.988660995905543,2.117000016612675,2.117000016612675,2.117000016612675,-3.561035968473101e-17,0.5555702330196024,-1.2386212064254264e-17
-5.939573610693203,2.117000016612675,2.1170000166126752,2.117000016612675,-2.9417253652603874e-17,0.6343932841636454,4.3351742224889916e-17
-5.890486225480862,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0954056294324862e-16,0.7071067811865481,9.289659048190695e-18
-5.841398840268521,2.1170000166126752,2.117000016612675,2.1170000166126752,1.1225004683230425e-16,0.7730104533627373,-4.6448295240953484e-17
-5.792311455056181,2.117000016612675,2.117000016612675,2.117000016612675,1.470862682630194e-17,0.8314696123025456,3.0965530160635664e-17
-5.743224069843841,2.1170000166126752,2.1170000166126752,2.1170000166126752,-8.283279317970036e-17,0.881921264348355,-5.418967778111239e-17
-5.6941366846315,2.1170000166126752,2.117000016612675,2.1170000166126752,1.4437678437396374e-16,0.9238795325112865,5.651209254316007e-17
-5.64504929941916,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.2695867365860616e-16,0.9569403357322086,-8.360693143371625e-17
-5.595961914206819,2.1170000166126752,2.117000016612675,2.1170000166126752,-5.573795428914418e-17,0.9807852804032302,-1.8579318096381394e-17
-5.546874528994478,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.1147590857828834e-16,0.9951847266721967,8.670348444977982e-17
-5.497787143782138,2.117000016612675,2.117000016612675,2.117000016612675,-1.2386212064254264e-17,1.0000000000000002,-1.8579318096381397e-17
-5.448699758569798,2.117000016612675,2.117000016612675,2.117000016612675,-1.2386212064254264e-17,0.9951847266721969,3.0965530160635664e-17
-5.399612373357457,2.117000016612675,2.117000016612675,2.117000016612675,-3.4062083176699226e-17,0.9807852804032305,-9.289659048190698e-18
-5.350524988145116,2.1170000166126752,2.117000016612675,2.1170000166126752,8.515520794174806e-17,0.9569403357322084,-5.883450730520775e-17
-5.301437602932776,2.117000016612675,2.117000016612675,2.117000016612675,4.257760397087403e-18,0.9238795325112866,-6.038278381323954e-17
-5.252350217720435,2.117000016612675,2.117000016612675,2.117000016612675,-7.702675627458121e-17,0.8819212643483549,3.096553016063566e-18
-5.203262832508095,2.117000016612675,2.117000016612675,2.117000016612675,-3.483622143071512e-17,0.8314696123025451,4.954484825701706e-17
-5.154175447295755,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.773010453362737,-8.670348444977986e-17
-5.105088062083414,2.117000016612675,2.117000016612675,2.117000016612675,6.473731149207894e-17,0.7071067811865477,-3.831984357378663e-17
-5.056000676871073,2.117000016612675,2.117000016612675,2.117000016612675,-1.8579318096381397e-17,0.6343932841636447,1.548276508031783e-18
-5.006913291658733,2.117000016612675,2.117000016612675,2.117000016612675,-4.7996571748985274e-17,0.5555702330196015,-1.2386212064254264e-17
-4.957825906446392,2.117000016612675,2.117000016612675,2.117000016612675,2.477242412850853e-17,0.47139673682599725,-4.954484825701706e-17
-4.908738521234052,2.1170000166126752,2.1170000166126752,2.1170000166126752,-3.715863619276278e-17,0.3826834323650898,6.19310603212713e-17
-4.859651136021712,2.117000016612675,2.1170000166126743,2.117000016612675,-3.71586361927628e-17,0.2902846772544628,2.4772424128508535e-17
-4.81056375080937,2.117000016612675,2.117000016612675,2.117000016612675,9.908969651403412e-17,0.19509032201612742,1.2386212064254264e-17
-4.76147636559703,2.117000016612675,2.117000016612675,2.117000016612675,8.670348444977986e-17,0.09801714032955983,0.0
-4.71238898038469,2.1170000166126752,2.117000016612675,2.1170000166126752,3.715863619276279e-17,-3.963587860561363e-16,9.90896965140341e-17
-4.663301595172349,2.1170000166126752,2.117000016612675,2.1170000166126752,6.193106032127132e-17,-0.09801714032956063,1.4863454477105115e-16
-4.614214209960009,2.117000016612675,2.117000016612675,2.117000016612675,-1.2386212064254264e-17,-0.19509032201612792,4.954484825701706e-17
-4.565126824747668,2.117000016612675,2.117000016612675,2.117000016612675,1.2386212064254264e-17,-0.2902846772544634,1.7340696889955972e-16
-4.516039439535327,2.117000016612675,2.117000016612675,2.117000016612675,3.7158636192762793e-17,-0.38268343236509045,2.477242412850853e-17
-4.466952054322987,2.1170000166126752,2.117000016612675,2.1170000166126752,2.1675871112444958e-17,-0.471396736825998,2.4772424128508526e-17
-4.417864669110647,2.117000016612675,2.117000016612675,2.117000016612675,-3.561035968473101e-17,-0.5555702330196024,-1.2386212064254264e-17
-4.368777283898306,2.117000016612675,2.117000016612675,2.117000016612675,-1.184431528644314e-16,-0.6343932841636452,2.1675871112444964e-17
-4.319689898685965,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.1563690169362375e-16,-0.7071067811865481,1.3547419445278098e-17
-4.270602513473625,2.117000016612675,2.117000016612675,2.117000016612675,-5.883450730520776e-17,-0.7730104533627375,-3.0965530160635664e-17
-4.221515128261284,2.117000016612675,2.117000016612675,2.117000016612675,-1.385707474688446e-16,-0.8314696123025456,-1.5482765080317832e-17
-4.172427743048944,2.117000016612675,2.1170000166126752,2.117000016612675,6.154399119426337e-17,-0.881921264348355,-6.038278381323953e-17
-4.123340357836604,2.117000016612675,2.1170000166126752,2.117000016612675,1.4437678437396374e-16,-0.9238795325112866,5.651209254316007e-17
-4.074252972624263,2.117000016612675,2.117000016612675,2.117000016612675,1.548276508031783e-18,-0.9569403357322086,-6.193106032127132e-18
-4.025165587411922,2.117000016612675,2.1170000166126752,2.117000016612675,-5.573795428914418e-17,-0.9807852804032305,-1.8579318096381394e-17
-3.9760782021995817,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.1147590857828834e-16,-0.9951847266721967,8.670348444977982e-17
-3.9269908169872414,2.1170000166126752,2.117000016612675,2.1170000166126752,-6.193106032127132e-17,-0.9999999999999996,0.0
-3.877903431774901,2.1170000166126752,2.117000016612675,2.1170000166126752,-2.1056560509232245e-16,-0.9951847266721965,1.4863454477105115e-16
-3.8288160465625602,2.1170000166126743,2.117000016612675,2.1170000166126743,4.025518920882637e-17,-0.9807852804032304,1.2386212064254268e-17
-3.77972866135022,2.117000016612675,2.1170000166126752,2.117000016612675,-5.1093124765048836e-17,-0.9569403357322088,-4.3351742224889916e-17
-3.730641276137879,2.117000016612675,2.117000016612675,2.117000016612675,-1.741811071535756e-17,-0.9238795325112866,-5.573795428914419e-17
-3.6815538909255388,2.117000016612675,2.117000016612675,2.117000016612675,-7.702675627458121e-17,-0.8819212643483548,3.096553016063566e-18
-3.6324665057131984,2.117000016612675,2.117000016612675,2.117000016612675,-3.6384497938746905e-17,-0.8314696123025451,5.573795428914419e-17
-3.5833791205008576,2.117000016612675,2.1170000166126752,2.117000016612675,7.741382540158915e-18,-0.7730104533627365,3.096553016063566e-17
-3.5342917352885173,2.117000016612675,2.1170000166126752,2.117000016612675,2.7481908017564146e-17,-0.7071067811865474,1.1225004683230425e-17
-3.485204350076177,2.1170000166126752,2.1170000166126752,2.1170000166126752,-5.573795428914417e-17,-0.6343932841636454,7.741382540158913e-18
-3.436116964863836,2.117000016612675,2.117000016612675,2.117000016612675,-3.7158636192762793e-17,-0.5555702330196017,-1.1147590857828839e-16
