theta,phi,rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
-6.283185307179586,-6.283185307179586,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,3.197145255454877e-32,4.898587196589413e-16,3.197145255454877e-32
-6.283185307179586,-6.086835766330224,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,5.500583128649989e-33,0.38268343236509056,5.500583128649989e-33
-6.283185307179586,-5.890486225480862,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-4.4004665029199915e-32,0.7071067811865485,-4.4004665029199915e-32
-6.283185307179586,-5.6941366846315,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,2.750291564324995e-32,0.9238795325112866,2.750291564324995e-32
-6.283185307179586,-5.497787143782138,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-5.144289381528412e-32,1.0,-5.144289381528412e-32
-6.283185307179586,-5.301437602932776,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-5.500583128649989e-33,0.9238795325112864,-5.500583128649989e-33
-6.283185307179586,-5.105088062083414,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,0.7071067811865478,1.1001166257299979e-32
-6.283185307179586,-4.908738521234052,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-3.850408190054993e-32,0.38268343236508984,-3.850408190054993e-32
-6.283185307179586,-4.71238898038469,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,1.9762569013116167e-33,-3.673940397442059e-16,1.9762569013116167e-33
-6.283185307179586,-4.516039439535327,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,-0.38268343236509045,1.1001166257299979e-32
-6.283185307179586,-4.319689898685965,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-4.4004665029199915e-32,-0.7071067811865482,-4.4004665029199915e-32
-6.283185307179586,-4.123340357836604,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,2.750291564324995e-32,-0.9238795325112866,2.750291564324995e-32
-6.283185307179586,-3.9269908169872414,-6.283185307179586,2.117000016612675,2.1170000166126752,2.117000016612675,-6.058450287606305e-32,-1.0000000000000002,-6.058450287606305e-32
-6.283185307179586,-3.730641276137879,-6.283185307179586,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-0.9238795325112863,0.0
