phi,theta,rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
-1.2,-6.283185307179586,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,-0.675463180551151,-1.1001166257299979e-32
-1.2,-6.283185307179586,-5.497787143782138,2.117000016612675,2.1170000166126743,2.117000016612675,-8.670348444977987e-17,-0.6754631805511508,2.4772424128508535e-17
-1.2,-6.283185307179586,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,-0.675463180551151,-2.2002332514599957e-32
-1.2,-6.283185307179586,-3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,-8.670348444977986e-17,-0.675463180551151,-2.477242412850853e-17
-1.2,-6.283185307179586,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.675463180551151,-1.512660360378747e-32
-1.2,-6.283185307179586,-2.356194490192345,2.117000016612675,2.1170000166126743,2.117000016612675,-8.670348444977987e-17,-0.6754631805511508,-2.4772424128508535e-17
-1.2,-6.283185307179586,-1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,-5.500583128649989e-33,-0.675463180551151,-2.4752624078924953e-32
-1.2,-6.283185307179586,-0.7853981633974483,2.117000016612675,2.1170000166126743,2.117000016612675,-8.670348444977987e-17,-0.6754631805511508,-2.4772424128508535e-17
-1.2,-6.283185307179586,0.0,2.117000016612675,2.117000016612675,2.117000016612675,2.2002332514599957e-32,-0.675463180551151,0.0
-1.2,-6.283185307179586,0.7853981633974483,2.1170000166126743,2.117000016612675,2.1170000166126743,-8.670348444977987e-17,-0.6754631805511512,2.4772424128508535e-17
-1.2,-6.283185307179586,1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,-5.500583128649989e-33,-0.675463180551151,2.4752624078924953e-32
-1.2,-6.283185307179586,2.356194490192345,2.1170000166126743,2.117000016612675,2.1170000166126743,-8.670348444977987e-17,-0.6754631805511512,2.4772424128508535e-17
-1.2,-6.283185307179586,3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.675463180551151,1.512660360378747e-32
-1.2,-6.283185307179586,3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,-8.670348444977986e-17,-0.675463180551151,2.477242412850853e-17
-1.2,-6.283185307179586,4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,-0.675463180551151,2.2002332514599957e-32
-1.2,-6.283185307179586,5.497787143782138,2.1170000166126743,2.117000016612675,2.1170000166126743,-8.670348444977987e-17,-0.6754631805511512,-2.4772424128508535e-17
-1.2,-6.283185307179586,6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,-0.675463180551151,1.1001166257299979e-32
-1.2,-5.497787143782138,-6.283185307179586,2.117000016612675,2.1170000166126743,2.117000016612675,2.4772424128508535e-17,-0.6754631805511508,-8.670348444977987e-17
-1.2,-5.497787143782138,-5.497787143782138,2.117000016612675,2.1170000166126743,2.117000016612675,4.954484825701707e-17,-0.675463180551151,4.954484825701707e-17
