seed_id,omega,theta,phi,rho,regularity_ok,final_mass,mass_half_radius,mass_90_radius,integrated_R
theta_rho_slice_00,0.5,-6.283185307179586,-1.5707963267948966,-6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_01,0.5,-6.283185307179586,-1.5707963267948966,-4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_02,0.5,-6.283185307179586,-1.5707963267948966,-3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_03,0.5,-6.283185307179586,-1.5707963267948966,-1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_04,0.5,-6.283185307179586,-1.5707963267948966,0.0,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_05,0.5,-6.283185307179586,-1.5707963267948966,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_06,0.5,-6.283185307179586,-1.5707963267948966,3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_07,0.5,-6.283185307179586,-1.5707963267948966,4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_08,0.5,-6.283185307179586,-1.5707963267948966,6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_09,0.5,-4.71238898038469,-1.5707963267948966,-6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_10,0.5,-4.71238898038469,-1.5707963267948966,-4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_11,0.5,-4.71238898038469,-1.5707963267948966,-3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_12,0.5,-4.71238898038469,-1.5707963267948966,-1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_13,0.5,-4.71238898038469,-1.5707963267948966,0.0,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_14,0.5,-4.71238898038469,-1.5707963267948966,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_15,0.5,-4.71238898038469,-1.5707963267948966,3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_16,0.5,-4.71238898038469,-1.5707963267948966,4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_17,0.5,-4.71238898038469,-1.5707963267948966,6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
