family,anchor_label,omega,theta,phi,rho,trace_G_norm,trace_G_full,trace_G_u,trace_G_split,skyrme_density,topological_density,norm_eig0,norm_eig1,norm_eig2,norm_eig3,norm_trace,norm_det,norm_rank,full_eig0,full_eig1,full_eig2,full_eig3,full_trace,full_det,full_rank,u_eig0,u_eig1,u_eig2,u_eig3,u_trace,u_det,u_rank,split_eig0,split_eig1,split_eig2,split_eig3,split_trace,split_det,split_rank
periodic_simple,origin,0.0,0.0,0.0,0.0,0.12249999999999998,14.642500000000002,14.520000000000003,14.642500000000002,70.27680000000002,10.648000000000005,0.0,0.0,0.0,0.12249999999999998,0.12249999999999998,0.0,1,0.12249999999999998,4.840000000000001,4.840000000000001,4.840000000000001,14.642500000000002,13.889038240000009,4,0.0,4.840000000000001,4.840000000000001,4.840000000000001,14.520000000000003,0.0,3,0.12249999999999998,4.840000000000001,4.840000000000001,4.840000000000001,14.642500000000002,13.889038240000009,4
periodic_simple,theta_quarter,0.0,0.7853981633974483,0.0,0.0,0.12249999999999998,6.541580597257873,6.419080597257873,6.541580597257873,13.675936451205143,3.110554709715849,0.0,0.0,0.0,0.12249999999999998,0.12249999999999998,0.0,1,0.12249999999999994,1.9995402986289361,1.9995402986289361,2.4200000000000004,6.541580597257873,1.1852549487615922,4,0.0,1.9995402986289361,1.9995402986289361,2.4200000000000004,6.419080597257873,0.0,3,2.680037521572698e-05,1.9995402986289361,1.9995402986289361,2.5424731996247845,6.541580597257873,0.000272431662502799,4
periodic_simple,phi_quarter,0.0,0.0,0.7853981633974483,0.0,0.12249999999999998,6.541580597257873,6.419080597257873,6.541580597257873,13.675936451205143,3.110554709715849,0.0,0.0,0.0,0.12249999999999998,0.12249999999999998,0.0,1,0.12249999999999994,1.999540298628936,1.9995402986289361,2.42,6.541580597257873,1.1852549487615922,4,0.0,1.9995402986289361,1.9995402986289361,2.4200000000000004,6.419080597257873,0.0,3,2.68003752157131e-05,1.999540298628936,1.9995402986289361,2.5424731996247845,6.541580597257873,0.0002724316625027995,4
periodic_simple,rho_quarter,0.0,0.0,0.0,0.7853981633974483,0.12249999999999998,6.541580597257873,6.419080597257873,6.541580597257873,13.675936451205143,3.110554709715849,0.0,0.0,0.0,0.12249999999999998,0.12249999999999998,0.0,1,0.12249999999999994,1.9995402986289355,1.9995402986289361,2.42,6.541580597257873,1.1852549487615922,4,0.0,1.9995402986289361,1.9995402986289361,2.4200000000000004,6.419080597257873,0.0,3,2.68003752157131e-05,1.9995402986289355,1.9995402986289361,2.5424731996247845,6.541580597257873,0.0002724316625027995,4
periodic_simple,omega_quarter,0.7853981633974483,0.0,0.0,0.0,0.10047797972276054,23.919910887061256,14.520000000000003,14.58125,70.27680000000002,10.648000000000005,0.0,0.0,0.0,0.10047797972276054,0.10047797972276054,0.0,1,0.10047797972276054,7.939810969112832,7.939810969112832,7.939810969112832,23.919910887061256,50.29228672655942,4,0.0,4.840000000000001,4.840000000000001,4.840000000000001,14.520000000000003,0.0,3,0.061250000000000006,4.840000000000001,4.840000000000001,4.840000000000001,14.58125,6.944519120000005,4
periodic_simple,all_quarter,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.10047797972276054,4.2748616648129705,2.544647109916541,2.605897109916541,0.30553023150066316,0.09695269834501932,0.0,0.0,0.0,0.10047797972276054,0.10047797972276054,0.0,1,0.10047797972276054,0.10223910026689592,0.10223910026689682,3.969905484556418,4.2748616648129705,0.004169510763634851,4,0.0,0.06232355495826965,0.06232355495826997,2.420000000000001,2.544647109916541,0.0,3,0.04955862173803737,0.06232355495826969,0.06232355495827013,2.4316913782619642,2.605897109916541,0.0004680929607144829,4
periodic_simple,all_minus_quarter,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,-0.7853981633974483,0.037337160941644465,1.5885191802501237,2.544647109916541,2.6058971099165413,0.30553023150066316,0.09695269834501932,0.0,0.0,0.0,0.037337160941644465,0.037337160941644465,0.0,1,0.037337160941644465,0.037991585337670886,0.03799158533767118,1.475198848633137,1.5885191802501237,7.949991960452821e-05,4,0.0,0.0623235549582696,0.062323554958269835,2.4200000000000013,2.544647109916541,0.0,3,0.04955862173803737,0.06232355495826965,0.06232355495826973,2.4316913782619642,2.6058971099165413,0.00046809296071448244,4
periodic_simple,omega_pi,3.141592653589793,0.0,0.0,0.0,0.12249999999999998,14.642500000000002,14.520000000000003,14.642500000000002,70.27680000000002,10.648000000000005,0.0,0.0,0.0,0.12249999999999998,0.12249999999999998,0.0,1,0.12249999999999998,4.840000000000001,4.840000000000001,4.840000000000001,14.642500000000002,13.889038240000009,4,0.0,4.840000000000001,4.840000000000001,4.840000000000001,14.520000000000003,0.0,3,0.12249999999999998,4.840000000000001,4.840000000000001,4.840000000000001,14.642500000000002,13.889038240000009,4
periodic_simple,theta_pi,0.0,3.141592653589793,0.0,0.0,0.12249999999999998,14.642500000000002,14.520000000000003,14.642500000000002,70.27680000000002,-10.648000000000005,0.0,0.0,0.0,0.12249999999999998,0.12249999999999998,0.0,1,0.12249999999999998,4.840000000000001,4.840000000000001,4.840000000000001,14.642500000000002,13.889038240000009,4,0.0,4.840000000000001,4.840000000000001,4.840000000000001,14.520000000000003,0.0,3,0.12249999999999998,4.840000000000001,4.840000000000001,4.840000000000001,14.642500000000002,13.889038240000009,4
periodic_simple,phi_pi,0.0,0.0,3.141592653589793,0.0,0.12249999999999998,14.642500000000002,14.520000000000003,14.642500000000002,70.27680000000002,-10.648000000000005,0.0,0.0,0.0,0.12249999999999998,0.12249999999999998,0.0,1,0.12249999999999998,4.840000000000001,4.840000000000001,4.840000000000001,14.642500000000002,13.889038240000009,4,0.0,4.840000000000001,4.840000000000001,4.840000000000001,14.520000000000003,0.0,3,0.12249999999999998,4.839999999999997,4.840000000000001,4.840000000000001,14.642500000000002,13.889038240000009,4
