d_theta,d_phi,d_rho,abs_theta,abs_phi,abs_rho,final_mass,half_radius,compactness_ratio
-0.2,-0.2,-0.2,2.941592653589793,-0.2,-0.2,1.4815307819737915,2.3300999999999945,0.6358228324852131
-0.2,-0.2,0.0,2.941592653589793,-0.2,0.0,1.476667708407883,2.3300999999999945,0.6337357660220104
-0.2,-0.2,0.2,2.941592653589793,-0.2,0.2,1.4815307819737915,2.3300999999999945,0.6358228324852131
-0.2,0.0,-0.2,2.941592653589793,0.0,-0.2,1.4456423807232546,2.2800999999999956,0.6340258676037268
-0.2,0.0,0.0,2.941592653589793,0.0,0.0,1.447163470326642,2.270099999999996,0.6374888640705892
-0.2,0.0,0.2,2.941592653589793,0.0,0.2,1.4456423807232546,2.2800999999999956,0.6340258676037268
-0.2,0.2,-0.2,2.941592653589793,0.2,-0.2,1.4378825929898398,2.260099999999996,0.6362030852572197
-0.2,0.2,0.0,2.941592653589793,0.2,0.0,1.4348874392905178,2.250099999999996,0.637699408599849
-0.2,0.2,0.2,2.941592653589793,0.2,0.2,1.4378825929898398,2.260099999999996,0.6362030852572197
0.0,-0.2,-0.2,3.141592653589793,-0.2,-0.2,1.4815307819737915,2.3300999999999945,0.6358228324852131
0.0,-0.2,0.0,3.141592653589793,-0.2,0.0,1.476667708407883,2.3300999999999945,0.6337357660220104
0.0,-0.2,0.2,3.141592653589793,-0.2,0.2,1.4815307819737915,2.3300999999999945,0.6358228324852131
0.0,0.0,-0.2,3.141592653589793,0.0,-0.2,1.4456423807232546,2.2800999999999956,0.6340258676037268
0.0,0.0,0.0,3.141592653589793,0.0,0.0,1.447163470326642,2.270099999999996,0.6374888640705892
0.0,0.0,0.2,3.141592653589793,0.0,0.2,1.4456423807232546,2.2800999999999956,0.6340258676037268
0.0,0.2,-0.2,3.141592653589793,0.2,-0.2,1.4378825929898398,2.260099999999996,0.6362030852572197
0.0,0.2,0.0,3.141592653589793,0.2,0.0,1.4348874392905178,2.250099999999996,0.637699408599849
0.0,0.2,0.2,3.141592653589793,0.2,0.2,1.4378825929898398,2.260099999999996,0.6362030852572197
0.2,-0.2,-0.2,3.3415926535897933,-0.2,-0.2,1.4815307819737915,2.3300999999999945,0.6358228324852131
0.2,-0.2,0.0,3.3415926535897933,-0.2,0.0,1.476667708407883,2.3300999999999945,0.6337357660220104
0.2,-0.2,0.2,3.3415926535897933,-0.2,0.2,1.4815307819737915,2.3300999999999945,0.6358228324852131
0.2,0.0,-0.2,3.3415926535897933,0.0,-0.2,1.4456423807232546,2.2800999999999956,0.6340258676037268
0.2,0.0,0.0,3.3415926535897933,0.0,0.0,1.447163470326642,2.270099999999996,0.6374888640705892
0.2,0.0,0.2,3.3415926535897933,0.0,0.2,1.4456423807232546,2.2800999999999956,0.6340258676037268
0.2,0.2,-0.2,3.3415926535897933,0.2,-0.2,1.4378825929898398,2.260099999999996,0.6362030852572197
0.2,0.2,0.0,3.3415926535897933,0.2,0.0,1.4348874392905178,2.250099999999996,0.637699408599849
0.2,0.2,0.2,3.3415926535897933,0.2,0.2,1.4378825929898398,2.260099999999996,0.6362030852572197
