phi,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho,sigma_max,sigma_mid,sigma_min,condition
-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,1.6102075683530544e-16,5.449933308271876e-16,4.954484825701706e-17,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-6.1850105367549055,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.19509032201612816,0.0,2.3143083706037277,2.117000016612675,1.8993037951917147,1.2185035255879761
-6.086835766330224,2.117000016612675,2.117000016612675,2.117000016612675,8.051037841765272e-17,0.3826834323650906,-3.7158636192762793e-17,2.4893286698562225,2.117000016612675,1.663316239957989,1.4966057626654907
-5.988660995905543,2.117000016612675,2.117000016612675,2.117000016612675,-3.561035968473101e-17,0.5555702330196024,-1.2386212064254264e-17,2.6403753732125264,2.117000016612675,1.4113100400723222,1.8708684117893903
-5.890486225480862,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0954056294324862e-16,0.7071067811865481,9.289659048190695e-18,2.7659938183487958,2.1170000166126752,1.145712153000213,2.4142135623730976
-5.792311455056181,2.117000016612675,2.117000016612675,2.117000016612675,1.470862682630194e-17,0.8314696123025456,3.0965530160635664e-17,2.8649742309683366,2.117000016612675,0.86908043158474,3.2965582089383245
-5.6941366846315,2.1170000166126752,2.117000016612675,2.1170000166126752,1.4437678437396374e-16,0.9238795325112865,5.651209254316007e-17,2.9363633755894285,2.117000016612675,0.5840789905254175,5.027339492125845
-5.595961914206819,2.1170000166126752,2.117000016612675,2.1170000166126752,-5.573795428914418e-17,0.9807852804032302,-1.8579318096381394e-17,2.9794737357240924,2.117000016612675,0.29345254949728056,10.153170387608792
-5.497787143782138,2.117000016612675,2.117000016612675,2.117000016612675,-1.2386212064254264e-17,1.0000000000000002,-1.8579318096381397e-17,2.993890135037712,2.117000016612675,0.0,inf
-5.399612373357457,2.117000016612675,2.117000016612675,2.117000016612675,-3.4062083176699226e-17,0.9807852804032305,-9.289659048190698e-18,2.9794737357240924,2.1170000166126743,0.293452549497279,10.153170387608846
-5.301437602932776,2.117000016612675,2.117000016612675,2.117000016612675,4.257760397087403e-18,0.9238795325112866,-6.038278381323954e-17,2.936363375589428,2.117000016612675,0.5840789905254182,5.027339492125837
-5.203262832508095,2.117000016612675,2.117000016612675,2.117000016612675,-3.483622143071512e-17,0.8314696123025451,4.954484825701706e-17,2.8649742309683366,2.1170000166126743,0.8690804315847415,3.296558208938319
-5.105088062083414,2.117000016612675,2.117000016612675,2.117000016612675,6.473731149207894e-17,0.7071067811865477,-3.831984357378663e-17,2.7659938183487944,2.1170000166126752,1.145712153000213,2.4142135623730967
-5.006913291658733,2.117000016612675,2.117000016612675,2.117000016612675,-4.7996571748985274e-17,0.5555702330196015,-1.2386212064254264e-17,2.6403753732125255,2.1170000166126752,1.4113100400723237,1.8708684117893877
-4.908738521234052,2.1170000166126752,2.1170000166126752,2.1170000166126752,-3.715863619276278e-17,0.3826834323650898,6.19310603212713e-17,2.4893286698562216,2.117000016612675,1.6633162399579904,1.496605762665489
-4.81056375080937,2.117000016612675,2.117000016612675,2.117000016612675,9.908969651403412e-17,0.19509032201612742,1.2386212064254264e-17,2.314308370603727,2.117000016612675,1.8993037951917153,1.2185035255879753
-4.71238898038469,2.1170000166126752,2.117000016612675,2.1170000166126752,3.715863619276279e-17,-3.963587860561363e-16,9.90896965140341e-17,2.1170000166126752,2.1170000166126752,2.117000016612675,1.0000000000000002
-4.614214209960009,2.117000016612675,2.117000016612675,2.117000016612675,-1.2386212064254264e-17,-0.19509032201612792,4.954484825701706e-17,2.3143083706037273,2.117000016612675,1.8993037951917149,1.2185035255879757
-4.516039439535327,2.117000016612675,2.117000016612675,2.117000016612675,3.7158636192762793e-17,-0.38268343236509045,2.477242412850853e-17,2.489328669856222,2.117000016612675,1.6633162399579893,1.4966057626654903
-4.417864669110647,2.117000016612675,2.117000016612675,2.117000016612675,-3.561035968473101e-17,-0.5555702330196024,-1.2386212064254264e-17,2.640375373212527,2.117000016612675,1.4113100400723226,1.8708684117893901
-4.319689898685965,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.1563690169362375e-16,-0.7071067811865481,1.3547419445278098e-17,2.7659938183487958,2.1170000166126752,1.145712153000213,2.4142135623730976
-4.221515128261284,2.117000016612675,2.117000016612675,2.117000016612675,-1.385707474688446e-16,-0.8314696123025456,-1.5482765080317832e-17,2.864974230968337,2.1170000166126743,0.8690804315847405,3.296558208938323
-4.123340357836604,2.117000016612675,2.1170000166126752,2.117000016612675,1.4437678437396374e-16,-0.9238795325112866,5.651209254316007e-17,2.9363633755894276,2.1170000166126752,0.5840789905254175,5.027339492125844
-4.025165587411922,2.117000016612675,2.1170000166126752,2.117000016612675,-5.573795428914418e-17,-0.9807852804032305,-1.8579318096381394e-17,2.979473735724092,2.1170000166126752,0.293452549497276,10.153170387608949
-3.9269908169872414,2.1170000166126752,2.117000016612675,2.1170000166126752,-6.193106032127132e-17,-0.9999999999999996,0.0,2.993890135037712,2.117000016612675,4.2146848510894035e-08,71034733.10142885
-3.8288160465625602,2.1170000166126743,2.117000016612675,2.1170000166126743,4.025518920882637e-17,-0.9807852804032304,1.2386212064254268e-17,2.9794737357240915,2.117000016612675,0.2934525494972775,10.153170387608895
-3.730641276137879,2.117000016612675,2.117000016612675,2.117000016612675,-1.741811071535756e-17,-0.9238795325112866,-5.573795428914419e-17,2.936363375589428,2.117000016612675,0.5840789905254182,5.027339492125837
