rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho,sigma_max,sigma_mid,sigma_min,condition
-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,0.0,2.2002332514599957e-32,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-6.1850105367549055,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-1.238621206425426e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-6.086835766330224,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-5.988660995905543,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-5.890486225480862,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-5.792311455056181,2.117000016612675,2.117000016612675,2.117000016612675,0.0,4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-5.6941366846315,2.117000016612675,2.117000016612675,2.117000016612675,0.0,4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-5.595961914206819,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,9.908969651403408e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-5.497787143782138,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-5.399612373357457,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-5.301437602932776,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-5.203262832508095,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-5.105088062083414,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-5.006913291658733,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-4.908738521234052,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-4.81056375080937,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,0.0,2.2002332514599957e-32,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-4.614214209960009,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-4.516039439535327,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.0,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-4.417864669110647,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-4.319689898685965,2.117000016612675,2.117000016612675,2.117000016612675,0.0,4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-4.221515128261284,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,4.954484825701704e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-4.123340357836604,2.117000016612675,2.117000016612675,2.117000016612675,0.0,4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-4.025165587411922,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,9.908969651403408e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-3.9269908169872414,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.0,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
-3.8288160465625602,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-4.954484825701706e-17,0.0,2.117000016612675,2.117000016612675,2.117000016612675,1.0
-3.730641276137879,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-9.908969651403408e-17,0.0,2.1170000166126752,2.1170000166126752,2.1170000166126752,1.0
